"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Asotin","State Measures Initiative Measure No. 591 Concerns firearms","Yes","","4648","60.9814","State Measures"
"Asotin","State Measures Initiative Measure No. 591 Concerns firearms","No","","2974","39.0186","State Measures"
"Asotin","State Measures Initiative Measure No. 594 Concerns background checks for firearm sales and transfers","Yes","","3964","51.4672","State Measures"
"Asotin","State Measures Initiative Measure No. 594 Concerns background checks for firearm sales and transfers","No","","3738","48.5328","State Measures"
"Asotin","Advisory Votes Advisory Vote No. 8 (Senate Bill 6505) Concerns marijuana excise tax","Repealed","","4065","56.8214","Advisory Votes"
"Asotin","Advisory Votes Advisory Vote No. 8 (Senate Bill 6505) Concerns marijuana excise tax","Maintained","","3089","43.1786","Advisory Votes"
"Asotin","Advisory Votes Advisory Vote No. 9 (Engrossed Substitute House Bill 1287) Concerns leasehold excise tax on tribal property","Repealed","","3850","54.9372","Advisory Votes"
"Asotin","Advisory Votes Advisory Vote No. 9 (Engrossed Substitute House Bill 1287) Concerns leasehold excise tax on tribal property","Maintained","","3158","45.0628","Advisory Votes"
"Asotin","COUNTYWIDE PTBA Proposition No. 1 PTBA Continuing Sales and Use Tax","Yes","","6133","80.3064","COUNTYWIDE"
"Asotin","COUNTYWIDE PTBA Proposition No. 1 PTBA Continuing Sales and Use Tax","No","","1504","19.6936","COUNTYWIDE"
"Asotin","Congressional District 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","4553","60.1533","Congressional District 5"
"Asotin","Congressional District 5 U.S. Representative","Joseph (Joe) Pakootas","(Prefers Democratic Party)","3016","39.8467","Congressional District 5"
"Asotin","Legislative District 9 State Representative Pos. 1","Susan Fagan","(Prefers Republican Party)","5854","100","Legislative District 9"
"Asotin","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers G.O.P. Party)","5724","100","Legislative District 9"
"Asotin","COUNTYWIDE COUNTY ASSESSOR","Chris Wood","(Prefers Republican Party)","5839","100","COUNTYWIDE"
"Asotin","COUNTYWIDE COUNTY AUDITOR","Darla McKay","(States No Party Preference)","5974","100","COUNTYWIDE"
"Asotin","COUNTYWIDE COUNTY CLERK","Marie Eggart","(States No Party Preference)","5985","100","COUNTYWIDE"
"Asotin","COUNTYWIDE COUNTY COMMISSIONER 3","James (Jim) Jeffords","(Prefers Republican Party)","5687","100","COUNTYWIDE"
"Asotin","COUNTYWIDE COUNTY PROSECUTOR","Benjamin C. Nichols","(States No Party Preference)","5927","100","COUNTYWIDE"
"Asotin","COUNTYWIDE COUNTY SHERIFF","John Hilderbrand","(Prefers Nonpartisan Party)","4445","59.1877","COUNTYWIDE"
"Asotin","COUNTYWIDE COUNTY SHERIFF","Dan Hally","(States No Party Preference)","3065","40.8123","COUNTYWIDE"
"Asotin","COUNTYWIDE COUNTY TREASURER","Holly Schiffer","(States No Party Preference)","4304","59.6949","COUNTYWIDE"
"Asotin","COUNTYWIDE COUNTY TREASURER","Tiffany Rogers","(Prefers Democratic Party)","2906","40.3051","COUNTYWIDE"
"Asotin","COUNTYWIDE DISTRICT COURT JUDGE","Jane E. Richards","","2224","30.8161","COUNTYWIDE"
"Asotin","COUNTYWIDE DISTRICT COURT JUDGE","Ray D. Lutes","","4993","69.1839","COUNTYWIDE"
"Asotin","Supreme Court Justice Position 1","Mary Yu","","5377","100","Supreme Court"
"Asotin","Supreme Court Justice Position 3","Mary E. Fairhurst","","5362","100","Supreme Court"
"Asotin","Supreme Court Justice Position 4","Eddie Yoon","","1565","26.0486","Supreme Court"
"Asotin","Supreme Court Justice Position 4","Charles W. Johnson","","4443","73.9514","Supreme Court"
"Asotin","Supreme Court Justice Position 7","Debra L. Stephens","","4472","73.3596","Supreme Court"
"Asotin","Supreme Court Justice Position 7","John (Zamboni) Scannell","","1624","26.6404","Supreme Court"
"Asotin","Asotin, Columbia, Garfield Superior Court Judge Position 1","Scott D. Gallina","","5756","100","Asotin, Columbia, Garfield Superior Court"
"Asotin","CITY OF CLARKSTON City of Clarkston Proposition No. 1 Emergency Medical Services Excess Tax Levy","Yes, Levy","","1311","73.5278","CITY OF CLARKSTON"
"Asotin","CITY OF CLARKSTON City of Clarkston Proposition No. 1 Emergency Medical Services Excess Tax Levy","No, Levy","","472","26.4722","CITY OF CLARKSTON"
"Asotin","PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 1","Judy R Ridge","","4881","100","PUBLIC UTILITY DISTRICT"
"Benton","State Measures Initiative Measure No. 1351 Concerns K-12 education","Yes","","21535","40.6397","State Measures"
"Benton","State Measures Initiative Measure No. 1351 Concerns K-12 education","No","","31455","59.3603","State Measures"
"Benton","State Measures Initiative Measure No. 591 Concerns firearms","Yes","","29521","55.3636","State Measures"
"Benton","State Measures Initiative Measure No. 591 Concerns firearms","No","","23801","44.6364","State Measures"
"Benton","State Measures Initiative Measure No. 594 Concerns background checks for firearm sales and transfers","Yes","","23354","43.5546","State Measures"
"Benton","State Measures Initiative Measure No. 594 Concerns background checks for firearm sales and transfers","No","","30266","56.4454","State Measures"
"Benton","Advisory Votes Advisory Vote No. 8 (Senate Bill 6505) Concerns marijuana excise tax","Repealed","","27064","54.3967","Advisory Votes"
"Benton","Advisory Votes Advisory Vote No. 8 (Senate Bill 6505) Concerns marijuana excise tax","Maintained","","22689","45.6033","Advisory Votes"
"Benton","Advisory Votes Advisory Vote No. 9 (Engrossed Substitute House Bill 1287) Concerns leasehold excise tax on tribal property","Repealed","","27318","56.7812","Advisory Votes"
"Benton","Advisory Votes Advisory Vote No. 9 (Engrossed Substitute House Bill 1287) Concerns leasehold excise tax on tribal property","Maintained","","20793","43.2188","Advisory Votes"
"Benton","Benton County Benton County Advisory Proposition No. 14-7 CREATION OF A BENTON COUNTY CONSERVATION FUTURES FUND","Yes","","24927","47.4511","Benton County"
"Benton","Benton County Benton County Advisory Proposition No. 14-7 CREATION OF A BENTON COUNTY CONSERVATION FUTURES FUND","No","","27605","52.5489","Benton County"
"Benton","Congressional District 4 U.S. Representative","Clint Didier","(Prefers Republican Party)","24955","49.1792","Congressional District 4"
"Benton","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","25788","50.8208","Congressional District 4"
"Benton","Legislative District 8 State Senator","Sharon Brown","(Prefers Republican Party)","30552","74.1535","Legislative District 8"
"Benton","Legislative District 8 State Senator","Doug McKinley","(Prefers Democratic Party)","10649","25.8465","Legislative District 8"
"Benton","Legislative District 8 State Representative Pos. 1","Brad Klippert","(Prefers Republican Party)","31811","100","Legislative District 8"
"Benton","Legislative District 8 State Representative Pos. 2","Larry Haler","(Prefers Republican Party)","32188","78.5782","Legislative District 8"
"Benton","Legislative District 8 State Representative Pos. 2","Eric Kalia","(Prefers Democratic Party)","8775","21.4218","Legislative District 8"
"Benton","Legislative District 16 State Representative Pos. 1","Maureen S. Walsh","(Prefers Republican Party)","4697","48.0168","Legislative District 16"
"Benton","Legislative District 16 State Representative Pos. 1","Mary Ruth Edwards","(Prefers Republican Party)","5085","51.9832","Legislative District 16"
"Benton","Legislative District 16 State Representative Pos. 2","Terry R. Nealey","(Prefers Republican Party)","7705","74.9951","Legislative District 16"
"Benton","Legislative District 16 State Representative Pos. 2","Frank Blair","(Prefers Democratic Party)","2569","25.0049","Legislative District 16"
"Benton","Benton County Assessor","Bill Spencer","(Prefers Republican Party)","25741","55.0351","Benton County"
"Benton","Benton County Assessor","Mary M. Phillips","(Prefers Republican Party)","21031","44.9649","Benton County"
"Benton","Benton County Auditor","Brenda Chilton","(Prefers Republican Party)","40668","100","Benton County"
"Benton","Benton County Clerk","Josie Delvin","(Prefers Republican Party)","39523","100","Benton County"
"Benton","Benton County Commissioner District #2","Shon Small","(Prefers Republican  Party)","28185","62.1609","Benton County"
"Benton","Benton County Commissioner District #2","Timothy Dalton","(Prefers Republican Party)","17157","37.8391","Benton County"
"Benton","Benton County Coroner","John Hansens","(Prefers Republican Party)","38510","100","Benton County"
"Benton","Benton County Prosecuting Attorney","Andy Miller","(Prefers Democratic Party)","35821","100","Benton County"
"Benton","Benton County Sheriff","Steve Keane","(Prefers Republican Party)","38096","100","Benton County"
"Benton","Benton County Treasurer","Duane A. Davidson","(Prefers Republican Party)","38215","100","Benton County"
"Benton","Benton County District Court Judge 1","Terry M Tanner","","34017","100","Benton County"
"Benton","Benton County District Court Judge 2","Robert Ingvalson","","33695","100","Benton County"
"Benton","Benton County District Court Judge 3","Dan Kathren","","33926","100","Benton County"
"Benton","Benton County District Court Judge 4","Joe Burrowes","","33717","100","Benton County"
"Benton","Benton County District Court Judge 5","Katy Butler (Rapacz)","","33428","100","Benton County"
"Benton","Benton County PUD Commissioner Pos. 2","Jeff Hall","","23284","80.1184","Benton County PUD"
"Benton","Benton County PUD Commissioner Pos. 2","Pat Tucker","","5778","19.8816","Benton County PUD"
"Benton","Supreme Court Justice Position 1","Mary Yu","","34899","100","Supreme Court"
"Benton","Supreme Court Justice Position 3","Mary E. Fairhurst","","34584","100","Supreme Court"
"Benton","Supreme Court Justice Position 4","Eddie Yoon","","11343","26.9462","Supreme Court"
"Benton","Supreme Court Justice Position 4","Charles W. Johnson","","30752","73.0538","Supreme Court"
"Benton","Supreme Court Justice Position 7","Debra L. Stephens","","32742","76.4911","Supreme Court"
"Benton","Supreme Court Justice Position 7","John (Zamboni) Scannell","","10063","23.5089","Supreme Court"
"Benton","City Of Prosser City of Prosser Proposition No. 14-8 Creation of the West Benton Regional Fire Authority","Yes","","738","56.0364","City Of Prosser"
"Benton","City Of Prosser City of Prosser Proposition No. 14-8 Creation of the West Benton Regional Fire Authority","No","","579","43.9636","City Of Prosser"
"Benton","Grandview School District 116/200 Grandview School District #116-200 Proposition No. 1 Capital Improvements Levy","Yes","","32","44.4444","Grandview School District 116/200"
"Benton","Grandview School District 116/200 Grandview School District #116-200 Proposition No. 1 Capital Improvements Levy","No","","40","55.5556","Grandview School District 116/200"
"Benton","Fire District #3 Fire District No. 3 Proposition No. 14-8 Creation of the West Benton Regional Fire Authority","Yes","","799","51.8831","Fire District #3"
"Benton","Fire District #3 Fire District No. 3 Proposition No. 14-8 Creation of the West Benton Regional Fire Authority","No","","741","48.1169","Fire District #3"
"Chelan","State Measures Initiative Measure No. 1351 Concerns K-12 education","Yes","","9514","41.8695","State Measures"
"Chelan","State Measures Initiative Measure No. 1351 Concerns K-12 education","No","","13209","58.1305","State Measures"
"Chelan","State Measures Initiative Measure No. 591 Concerns firearms","Yes","","13067","57.2386","State Measures"
"Chelan","State Measures Initiative Measure No. 591 Concerns firearms","No","","9762","42.7614","State Measures"
"Chelan","State Measures Initiative Measure No. 594 Concerns background checks for firearm sales and transfers","Yes","","9876","42.7996","State Measures"
"Chelan","State Measures Initiative Measure No. 594 Concerns background checks for firearm sales and transfers","No","","13199","57.2004","State Measures"
"Chelan","Advisory Votes Advisory Vote No. 8 (Senate Bill 6505) Concerns marijuana excise tax","Repealed","","10943","52.2164","Advisory Votes"
"Chelan","Advisory Votes Advisory Vote No. 8 (Senate Bill 6505) Concerns marijuana excise tax","Maintained","","10014","47.7836","Advisory Votes"
"Chelan","Advisory Votes Advisory Vote No. 9 (Engrossed Substitute House Bill 1287) Concerns leasehold excise tax on tribal property","Repealed","","10424","51.7423","Advisory Votes"
"Chelan","Advisory Votes Advisory Vote No. 9 (Engrossed Substitute House Bill 1287) Concerns leasehold excise tax on tribal property","Maintained","","9722","48.2577","Advisory Votes"
"Chelan","Congressional District 8 U.S. Representative","Dave Reichert","(Prefers Republican Party)","15584","70.2362","Congressional District 8"
"Chelan","Congressional District 8 U.S. Representative","Jason Ritchie","(Prefers Democratic Party)","6604","29.7638","Congressional District 8"
"Chelan","Legislative District 12 State Representative Pos. 1","Cary Condotta","(Prefers Republican Party)","15635","100","Legislative District 12"
"Chelan","Legislative District 12 State Representative Pos. 2","Brad Hawkins","(Prefers Republican Party)","16332","100","Legislative District 12"
"Chelan","CHELAN COUNTY ASSESSOR","Deanna C. Walter","(Prefers Republican Party)","15194","100","CHELAN COUNTY"
"Chelan","CHELAN COUNTY AUDITOR","Skip Moore","(Prefers Republican Party)","15229","100","CHELAN COUNTY"
"Chelan","CHELAN COUNTY CLERK","Kim Morrison","(Prefers Republican Party)","15032","100","CHELAN COUNTY"
"Chelan","CHELAN COUNTY COMMISSIONER 2","Keith W. Goehner","(Prefers Republican Party)","14049","78.4247","CHELAN COUNTY"
"Chelan","CHELAN COUNTY COMMISSIONER 2","Chuck Slowe","(Prefers Republican Party)","3865","21.5753","CHELAN COUNTY"
"Chelan","CHELAN COUNTY CORONER","Wayne E. Harris","(Prefers Republican Party)","15005","100","CHELAN COUNTY"
"Chelan","CHELAN COUNTY PROSECUTING ATTORNEY","Douglas J. Shae","(Prefers Republican Party)","14720","100","CHELAN COUNTY"
"Chelan","CHELAN COUNTY SHERIFF","Brian Burnett","(Prefers Republican Party)","15617","100","CHELAN COUNTY"
"Chelan","CHELAN COUNTY TREASURER","David E. Griffiths","(Prefers Republican Party)","15054","100","CHELAN COUNTY"
"Chelan","CHELAN COUNTY DISTRICT COURT JUDGE #01","Roy S. Fore","","13234","100","CHELAN COUNTY"
"Chelan","CHELAN COUNTY DISTRICT COURT JUDGE #02","Nancy Anne Harmon","","13402","100","CHELAN COUNTY"
"Chelan","Supreme Court Justice Position 1","Mary Yu","","13502","100","Supreme Court"
"Chelan","Supreme Court Justice Position 3","Mary E. Fairhurst","","13408","100","Supreme Court"
"Chelan","Supreme Court Justice Position 4","Eddie Yoon","","4406","25.4594","Supreme Court"
"Chelan","Supreme Court Justice Position 4","Charles W. Johnson","","12900","74.5406","Supreme Court"
"Chelan","Supreme Court Justice Position 7","Debra L. Stephens","","13264","75.5138","Supreme Court"
"Chelan","Supreme Court Justice Position 7","John (Zamboni) Scannell","","4301","24.4862","Supreme Court"
"Chelan","Court of Appeals, Division 3, District 3 Judge Position 1","Stephen M. Brown","","13041","100","Court of Appeals, Division 3, District 3"
"Chelan","Court of Appeals, Division 3, District 3 Judge Position 2","Rob Lawrence-Berrey","","13019","100","Court of Appeals, Division 3, District 3"
"Chelan","HOSPITAL DIST NO 2 LAKE CHELAN PROPOSITION 1 BONDS FOR NEW HOSPITAL","Approved","","2156","57.7088","HOSPITAL DIST NO 2 LAKE CHELAN"
"Chelan","HOSPITAL DIST NO 2 LAKE CHELAN PROPOSITION 1 BONDS FOR NEW HOSPITAL","Rejected","","1580","42.2912","HOSPITAL DIST NO 2 LAKE CHELAN"
"Chelan","PUD ALL PUBLIC UTILITY DIST COMMISSIONER DIST 1","Vicki Malloy","","9072","49.6878","PUD ALL"
"Chelan","PUD ALL PUBLIC UTILITY DIST COMMISSIONER DIST 1","Garry Arseneault","","9186","50.3122","PUD ALL"
"Chelan","PUD ALL PUBLIC UTILITY DIST COMMISSIONER B","Dennis Bolz","","11960","66.7336","PUD ALL"
"Chelan","PUD ALL PUBLIC UTILITY DIST COMMISSIONER B","Bob Goedde","","5962","33.2664","PUD ALL"
"Clallam","State Measures Initiative Measure No. 1351 Concerns K-12 education","Yes","","13317","47.2519","State Measures"
"Clallam","State Measures Initiative Measure No. 1351 Concerns K-12 education","No","","14866","52.7481","State Measures"
"Clallam","State Measures Initiative Measure No. 591 Concerns firearms","Yes","","14858","52.363","State Measures"
"Clallam","State Measures Initiative Measure No. 591 Concerns firearms","No","","13517","47.637","State Measures"
"Clallam","State Measures Initiative Measure No. 594 Concerns background checks for firearm sales and transfers","Yes","","14886","51.9617","State Measures"
"Clallam","State Measures Initiative Measure No. 594 Concerns background checks for firearm sales and transfers","No","","13762","48.0383","State Measures"
"Clallam","Advisory Votes Advisory Vote No. 8 (Senate Bill 6505) Concerns marijuana excise tax","Repealed","","12946","49.157","Advisory Votes"
"Clallam","Advisory Votes Advisory Vote No. 8 (Senate Bill 6505) Concerns marijuana excise tax","Maintained","","13390","50.843","Advisory Votes"
"Clallam","Advisory Votes Advisory Vote No. 9 (Engrossed Substitute House Bill 1287) Concerns leasehold excise tax on tribal property","Repealed","","11550","45.7788","Advisory Votes"
"Clallam","Advisory Votes Advisory Vote No. 9 (Engrossed Substitute House Bill 1287) Concerns leasehold excise tax on tribal property","Maintained","","13680","54.2212","Advisory Votes"
"Clallam","Congressional District 6 U.S. Representative","Derek Kilmer","(Prefers Democratic Party)","16001","56.8217","Congressional District 6"
"Clallam","Congressional District 6 U.S. Representative","Marty McClendon","(Prefers Republican Party)","12159","43.1783","Congressional District 6"
"Clallam","Legislative District 24 State Representative Pos. 1","Kevin Van De Wege","(Prefers Democratic Party)","18253","100","Legislative District 24"
"Clallam","Legislative District 24 State Representative Pos. 2","Steve Tharinger","(Prefers Democratic Party)","14310","51.375","Legislative District 24"
"Clallam","Legislative District 24 State Representative Pos. 2","Thomas W. Greisamer","(Prefers Republican Party)","13544","48.625","Legislative District 24"
"Clallam","COUNTYWIDE Assessor","Pamela Rushton","","17683","100","COUNTYWIDE"
"Clallam","COUNTYWIDE Auditor","Kim Yacklin","","9338","40.7613","COUNTYWIDE"
"Clallam","COUNTYWIDE Auditor","Shoona Riggs","","13571","59.2387","COUNTYWIDE"
"Clallam","COUNTYWIDE Commissioner Dist. No. 3","Sissi Bruch","(Prefers Democratic Party)","13087","48.32","COUNTYWIDE"
"Clallam","COUNTYWIDE Commissioner Dist. No. 3","Bill Peach","(Prefers Republican Party)","13997","51.68","COUNTYWIDE"
"Clallam","COUNTYWIDE Director of Community Development","Mary Ellen Winborn","","14895","61.2006","COUNTYWIDE"
"Clallam","COUNTYWIDE Director of Community Development","Sheila Roark Miller","","9443","38.7994","COUNTYWIDE"
"Clallam","COUNTYWIDE Prosecuting Attorney","Mark Nichols","(Prefers Republican  Party)","12399","52.301","COUNTYWIDE"
"Clallam","COUNTYWIDE Prosecuting Attorney","William Payne","(Prefers Republican Party)","11308","47.699","COUNTYWIDE"
"Clallam","COUNTYWIDE Sheriff","Bill Benedict","","18995","100","COUNTYWIDE"
"Clallam","COUNTYWIDE Treasurer","Selinda Barkhuis","","17312","100","COUNTYWIDE"
"Clallam","Supreme Court Justice Position 1","Mary Yu","","16672","100","Supreme Court"
"Clallam","Supreme Court Justice Position 3","Mary E. Fairhurst","","16409","100","Supreme Court"
"Clallam","Supreme Court Justice Position 4","Eddie Yoon","","5668","26.4922","Supreme Court"
"Clallam","Supreme Court Justice Position 4","Charles W. Johnson","","15727","73.5078","Supreme Court"
"Clallam","Supreme Court Justice Position 7","Debra L. Stephens","","16356","75.2311","Supreme Court"
"Clallam","Supreme Court Justice Position 7","John (Zamboni) Scannell","","5385","24.7689","Supreme Court"
"Clallam","Court of Appeals, Division 2, District 2 Judge Position 1","Lisa L. Sutton","","16133","100","Court of Appeals, Division 2, District 2"
"Clallam","Clallam Superior Court Judge Position 3","Christopher Melly","","17032","100","Clallam Superior Court"
"Clallam","COURT DISTRICT 1 Judge - District Court 1","Rick Porter","","13704","58.1787","COURT DISTRICT 1"
"Clallam","COURT DISTRICT 1 Judge - District Court 1","Cathy Marshall","","9851","41.8213","COURT DISTRICT 1"
"Clallam","COURT DISTRICT 2 Judge - District Court 2","John H. Doherty","","1285","100","COURT DISTRICT 2"
"Clallam","PUBLIC UTILITY DIST 1 Commissioner District No. 2","Hugh Haffner","","12428","100","PUBLIC UTILITY DIST 1"
"Clallam","FIRE DISTRICT 2 Proposition Authorizing Property Tax Levy ","APPROVED","","2195","61.5536","FIRE DISTRICT 2"
"Clallam","FIRE DISTRICT 2 Proposition Authorizing Property Tax Levy ","REJECTED","","1371","38.4464","FIRE DISTRICT 2"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Nola E. Judd","","3537","9.1212","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Ken Hays","","4100","10.573","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Ted Miller","","3386","8.7318","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Anita L. Ready","","2269","5.8513","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Jon Alan Kirshbaum","","2379","6.1349","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Bill Lowman","","2275","5.8667","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Bryon C. Gunnerson","","2509","6.4702","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Timothy Bruce","","2665","6.8725","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Brandon Janisse","","2158","5.565","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Jerry Sinn","","3357","8.657","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Ronald Bell","","3821","9.8535","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Sue W. Forde","","5061","13.0512","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 1 Charter Review Commission - Commissioner District No.  1","Henning Holmgaard","","1261","3.2518","CHARTER REVIEW COMMISSION 1"
"Clallam","CHARTER REVIEW COMMISSION 2 Charter Review Commission - Commissioner District No. 2","Judi Hangartner","","875","2.7596","CHARTER REVIEW COMMISSION 2"
"Clallam","CHARTER REVIEW COMMISSION 2 Charter Review Commission - Commissioner District No. 2","Lindsey Schromen-Wawrin","","1559","4.9167","CHARTER REVIEW COMMISSION 2"
"Clallam","CHARTER REVIEW COMMISSION 2 Charter Review Commission - Commissioner District No. 2","Norma E. Turner","","3094","9.7578","CHARTER REVIEW COMMISSION 2"
"Clallam","CHARTER REVIEW COMMISSION 2 Charter Review Commission - Commissioner District No. 2","Maggie Roth","","2763","8.7139","CHARTER REVIEW COMMISSION 2"
"Clallam","CHARTER REVIEW COMMISSION 2 Charter Review Commission - Commissioner District No. 2","Susan Shotthafer","","1325","4.1788","CHARTER REVIEW COMMISSION 2"
