MeasID,YEAR,CO#,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPICNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,Passfail_sum,typerec,topcrec,OTH
201300011,2013,38,1,SAN FRANCISCO,2013-11-05,San Francisco,0,M,C,(INITIATIVE) Shall the City ordinance increasing legal building height limits on an approximately half-acre portion of the 8 Washington Street Site along Drumm Street take effect?,40,Initiative,22,Land Use: Zoning,84083,41497,125580,0.67,M,1,Pass,0,201300011,84083,41497,125580,0.669557254339863,1,Pass,40,20,
201300012,2013,38,1,SAN FRANCISCO,2013-11-05,San Francisco,0,M,D,(INITIATIVE) Shall it be City policy to use all available opportunities to reduce the City’s cost of prescription drugs and to ask state and federal representatives to sponsor legislation to reduce drug prices paid by the government?,40,Initiative,200,Other,97804,24690,122494,0.798,M,1,Pass,0,201300012,97804,24690,122494,0.7984391072215782,1,Pass,40,200,
201300013,2013,7,2,CONTRA COSTA,2013-06-04,Hercules,0,M,A,"To restore Hercules to financial stability, enhance fiscal accountability, continue to maintain our own local Police Department, and prevent drastic cuts to neighborhood police officers, youth/senior programs, and other services, shall Hercules modernize its utility users tax with equal treatment of taxpayers regardless of technology, increase the rate by 2% for 5 years, maintain current low-income exemptions, with citizens’ oversight, independent audits, and local control of revenues?",5,Utility Tax,112,Revenues: Tax Creation/Incr./Contin.,2248,920,3168,0.71,M,1,Pass,0,201300013,2248,920,3168,0.7095959595959596,1,Pass,1,110,
201300014,2013,7,2,CONTRA COSTA,2013-11-05,Antioch,0,M,C,"To fund all essential city services including increased police staffing to reduce crime and gang activities and improve 911 emergency response time; restored code enforcement to clean up blighted properties; and local economic development and job creation, shall the City of Antioch adopt a one-half cent transactions and use (sales) tax, expiring in seven years, with mandatory annual audits and independent citizens’ oversight and for local Antioch use only?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,7609,3566,11175,0.681,M,1,Pass,0,201300014,7609,3566,11175,0.6808948545861297,1,Pass,1,110,
201300015,2013,7,2,CONTRA COSTA,2013-11-05,San Ramon,0,M,D,"Shall an ordinance be adopted by the people to amend the City Municipal Code to change the general municipal election date from November of odd-numbered years to November of even-numbered years and to extend the terms of the Mayor and all City Council members by one year to make that change? (Saves approximately $142,000 per election.)",70,Ordinance,48,Governance: Elections,6737,1371,8108,0.831,M,1,Pass,0,201300015,6737,1371,8108,0.8309077454366058,1,Pass,70,40,
201300016,2013,7,2,CONTRA COSTA,2013-11-05,San Ramon,0,M,E,"Shall Article III of the City of San Ramon Charter be amended to: a) change the mayoral election date from odd-numbered years to the date of the statewide general election during even-numbered years; and b) extend by one year the term of the Mayor elected in 2013 to accommodate the election date change; and c) extend the cumulative total number of years the mayor elected in 2013 may serve from eight to nine years? (Saves approximately $142,000 per election.)",70,Ordinance,48,Governance: Elections,6578,1508,8086,0.814,M,1,Pass,0,201300016,6578,1508,8086,0.8135048231511254,1,Pass,70,40,
201300017,2013,10,2,FRESNO,2013-06-04,Fresno,0,M,G,"Shall Ordinance 2012-26 which grants to Mid Valley Disposal an exclusive franchise for the collection of residential solid waste, recyclable materials, and organic materials within the City of Fresno be adopted?",70,Ordinance,103,General Services: Solid Waste,29039,29901,58940,0.493,M,2,Fail,0,201300017,29039,29901,58940,0.4926874787919919,2,Fail,70,100,
201300018,2013,10,2,FRESNO,2013-07-23,Firebaugh,0,M,A,"Shall Ordinance 13-01 be adopted to lower the commercial rate for utility users tax from 10% to 7.5% immediately, lower the residential rate to 7.5% effective July 1, 2019, allow the City Council the ability to further lower the commercial rate on or after July 1, 2019 upon making certain findings, and to remove the cap on City utility users taxes?",5,Utility Tax,111,Revenues: Tax Repeal/Reduction/Limit,431,139,570,0.756,M,1,Pass,0,201300018,431,139,570,0.756140350877193,1,Pass,1,110,
201300019,2013,10,2,FRESNO,2013-07-23,Firebaugh,0,M,B,Shall an ordinance be adopted to amend the City's Utility Users Tax in order to impose a 5% utility users tax on new telecommunication technologies such as wireless and voice over internet services?,5,Utility Tax,112,Revenues: Tax Creation/Incr./Contin.,235,342,577,0.407,M,2,Fail,0,201300019,235,342,577,0.4072790294627383,2,Fail,1,110,
201300020,2013,10,2,FRESNO,2013-11-05,Huron,0,M,P,"To hire additional police officers for crime suppression and prevention, increased police patrols to protect neighborhoods, schools and parks and to purchase necessary related equipment or facilities to expand police protection services, shall the City of Huron enact a One Cent ($0.01) sales taxes requiring that revenues receive from such sales tax be used exclusively for public safety purposes?",4,Sales Tax,32,Safety: Police,109,47,156,0.699,T,1,PassT,0,201300020,109,47,156,0.6987179487179487,1,PassT,1,30,
201300021,2013,10,2,FRESNO,2013-11-05,Selma,0,M,K,"Shall the City of Selma increase the existing transient occupancy tax for the privilege of occupancy in any room, hotel, inn, motel or other lodging, for occupancy? for a period of less than 30 days, from 6% to 12% of the rent charged by the operator of such lodging?",9,Transient Occupancy Tax,112,Revenues: Tax Creation/Incr./Contin.,595,591,1186,0.502,M,1,Pass,0,201300021,595,591,1186,0.5016863406408094,1,Pass,1,110,
201300022,2013,17,2,LAKE,2013-11-05,Clearlake,0,M,H,"Shall the City of Clearlake impose a retail transactions and use tax at the rate of one percent (1%) within the City to be used for repair of City streets and roads and other transportation services and code enforcement, and shall the appropriations limit for the City of Clearlake for roadway repair and maintenance and code enforcement be increased for Fiscal Year 2013-2014 by the amount of the tax proceeds received by the City during that period.",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,1127,737,1864,0.605,T,2,FailT,0,201300022,1127,737,1864,0.6046137339055794,2,FailT,1,110,
201300023,2013,19,2,LOS ANGELES,2013-03-05,Carson,0,M,M,"Shall the City of Carson eliminate the direct election of a mayor and return to selection of a mayor by the city council, on a rotating basis, with the mayor to be compensated the same as all other members of the City Council, the same to be effective commencing in 2017?",70,Ordinance,43,Governance: Organization,1851,9222,11073,0.167,M,2,Fail,0,201300023,1851,9222,11073,0.16716337036033596,2,Fail,70,40,
201300024,2013,19,2,LOS ANGELES,2013-03-05,La Habra Heights,0,M,A,"Shall an ordinance be adopted to renew the City's authority to spend existing revenues from the special fire tax, approved by two-thirds of the City's voters in 1997, to provide essential fire and life-safety services, by renewing the voter-approved amendment to the City's appropriation limit?",70,Ordinance,114,Revenues: Voter Approval Requirement,748,519,1267,0.59,M,1,Pass,0,201300024,748,519,1267,0.590370955011839,1,Pass,70,110,
201300025,2013,19,2,LOS ANGELES,2013-03-05,La Habra Heights,0,M,B,"In order to fund general municipal services, shall an ordinance be adopted to increase the existing tax on resource extraction activities in the City of La Habra Heights and provide for future annual adjustments to reflect changes in the natural resource market?",7,Miscellaneous Tax,112,Revenues: Tax Creation/Incr./Contin.,644,623,1267,0.508,M,1,Pass,0,201300025,644,623,1267,0.5082872928176796,1,Pass,1,110,
201300026,2013,19,2,LOS ANGELES,2013-03-05,Los Angeles,0,M,A,"(INITIATIVE) To offset severe and repeated State cuts and provide funding for: 911 emergency response services; maintaining firefighter, paramedic, and police officer staffing levels; continuing community policing, senior services, after-school gang and drug prevention programs; repairing potholes and sidewalks; and other general municipal services; shall the City of Los Angeles enact a one-half cent transactions and use (generally referred to as sales) tax, with required independent audits, public review of expenditures, and all funds used locally?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,153000,184559,337559,0.453,M,2,Fail,0,201300026,153000,184559,337559,0.45325409780216197,2,Fail,1,110,
201300027,2013,19,2,LOS ANGELES,2013-03-05,Los Angeles,0,M,B,"Shall the Charter be amended to authorize the City Council to allow sworn police personnel who are transferred from the Department of General Services to the Police Department to purchase, at their own expense, retirement credit for prior sworn City service after they become members of the Fire and Police Pension Plan?",20,Charter Amendment,42,Governance: Personnel/Labor Relations,186937,135025,321962,0.581,M,1,Pass,0,201300027,186937,135025,321962,0.5806182096023754,1,Pass,20,40,
201300028,2013,19,2,LOS ANGELES,2013-03-05,Monterey Park,0,M,DD,"Shall the ordinance that does not increase the City's telephone utility user tax rate but rather amends the
City's telephone utility tax code to reflect changes in electronic communication equipment, methods and regulations be adopted?",70,Ordinance,200,Other,2551,1693,4244,0.601,M,1,Pass,0,201300028,2551,1693,4244,0.6010838831291234,1,Pass,70,200,
201300029,2013,19,2,LOS ANGELES,2013-03-05,Monterey Park,0,M,EE,"Shall the ordinance implementing term limits for the City Council, City Treasurer, and City Clerk be adopted?",70,Ordinance,45,Governance: Political Reform/Term Limits,3589,862,4451,0.806,M,1,Pass,0,201300029,3589,862,4451,0.8063356549090092,1,Pass,70,40,
201300030,2013,19,2,LOS ANGELES,2013-03-05,Redondo Beach,0,M,A,"Shall Redondo Beach Phase Out Existing Power Generation and Power Transmission from an Approximately 50-Acre Site and Set New Land Use and Development Standards by Amending the General Plan, Coastal Land Use Plan, Harbor/Civic Center Specific Plan, Coastal Zoning, Zoning, and City Charter; the new land use would be allocated between 60-70% to parks and open space and the remaining 30-40% allocated between commercial, institutional or marine related light industrial/boatyard uses?",70,Ordinance,22,Land Use: Zoning,6295,6552,12847,0.49,M,2,Fail,0,201300030,6295,6552,12847,0.48999766482447266,2,Fail,70,20,
201300031,2013,19,2,LOS ANGELES,2013-03-05,Rolling Hills,0,M,A,"Shall an Ordinance be adopted amending the zoning ordinance to allow stables constructed prior to July 12, 2010 to be used for residential purposes?",70,Ordinance,22,Land Use: Zoning,359,450,809,0.444,M,2,Fail,0,201300031,359,450,809,0.4437577255871446,2,Fail,70,20,
201300032,2013,19,2,LOS ANGELES,2013-03-05,Rolling Hills,0,M,B,"Shall an Ordinance be adopted amending the current view preservation regulations by limiting protection only to views that existed at the time the owner acquired the property, exempting trees that were mature when the property was acquired, and establishing a higher burden of proof to show the existence of a protected view?",70,Ordinance,20,Land Use,408,403,811,0.503,M,1,Pass,0,201300032,408,403,811,0.5030826140567201,1,Pass,70,20,
201300033,2013,19,2,LOS ANGELES,2013-03-05,San Dimas,0,M,A,"To provide funding for general city services, including public safety (Sheriff), parks and recreation, and maintenance of city streets and public area landscaping, shall the City of San Dimas approve an ordinance amending the San Dimas Municipal Code to increase the transient occupancy tax rate from eight (8%) to twelve (12%) on the rate charged to hotel and recreational vehicle campground guests staying within the City to be effective July 1, 2013?",9,Transient Occupancy Tax,112,Revenues: Tax Creation/Incr./Contin.,1508,1192,2700,0.559,M,1,Pass,0,201300033,1508,1192,2700,0.5585185185185185,1,Pass,1,110,
201300034,2013,19,2,LOS ANGELES,2013-03-05,San Gabriel,0,M,SG,"To provide funding for general city services, including public safety, repairing, paving and maintaining local streets, keeping public areas and landscape clean and well maintained, and preserving fire and paramedic emergency response times, shall the City of San Gabriel approve an ordinance amending the San Gabriel Municipal Code to increase the transient occupancy tax rate charged to hotel guests staying within the City from ten percent (10%) to twelve percent (12%), to be effective April 1, 2013?",9,Transient Occupancy Tax,112,Revenues: Tax Creation/Incr./Contin.,2143,631,2774,0.773,M,1,Pass,0,201300034,2143,631,2774,0.7725306416726748,1,Pass,1,110,
201300035,2013,19,2,LOS ANGELES,2013-03-05,West Hollywood,0,M,C,"Shall an ordinance be adopted limiting the number of terms a person may serve on the West Hollywood City Council to no more than three terms, including partial terms, whether or not consecutive, commencing with terms served by persons elected at or after the March 2013 election?",70,Ordinance,45,Governance: Political Reform/Term Limits,3139,1888,5027,0.624,M,1,Pass,0,201300035,3139,1888,5027,0.6244280883230555,1,Pass,70,40,
201300036,2013,19,2,LOS ANGELES,2013-04-02,Glendale,0,M,A,Shall the Charter be amended to convert the position of City Treasurer from elected to an appointed position; the appointment be made by the City Manager; be at-will; that the City Manager may assign certain duties to other deputies or the Director of Finance; that the minimum qualifications shall be in the Charter by reference to the Government Code; that the bond and oath of the City Clerk be filed with the City Attorney?,20,Charter Amendment,43,Governance: Organization,4726,13812,18538,0.255,M,2,Fail,0,201300036,4726,13812,18538,0.25493580753047795,2,Fail,20,40,
201300037,2013,19,2,LOS ANGELES,2013-04-02,Glendale,0,M,B,"Shall the Charter be amended to update accounting provisions to eliminate obsolete funds and to reflect generally accepted accounting principles, to ensure proper accounting by establishing separate water and electric utility funds, and to clarify existing language regarding fund transfers?",20,Charter Amendment,49,Governance: Budget Processes,8767,8954,17721,0.495,M,2,Fail,0,201300037,8767,8954,17721,0.49472377405338297,2,Fail,20,40,
201300038,2013,19,2,LOS ANGELES,2013-04-02,Glendale,0,M,C,"Shall the Charter be amended to reflect the correct title of the Director of Finance, remove obsolete language regarding petty cash handling, require that the budget be adopted by June 30, and eliminate inefficiencies in bond sales by allowing flexibility?",20,Charter Amendment,43,Governance: Organization,7613,9933,17546,0.434,M,2,Fail,0,201300038,7613,9933,17546,0.43388806565599,2,Fail,20,40,
201300039,2013,19,2,LOS ANGELES,2013-04-02,Inglewood,0,M,P,Shall the Charter be amended to allow for the publication of a summary of an ordinance?,20,Charter Amendment,40,Governance,3974,1573,5547,0.716,M,1,Pass,0,201300039,3974,1573,5547,0.716423291869479,1,Pass,20,40,
201300040,2013,19,2,LOS ANGELES,2013-04-02,Inglewood,0,M,W,Shall the Charter be amended to allow for the waiving of a full reading of an ordinance when a majority of the Councilmembers present agree to the waiver?,20,Charter Amendment,40,Governance,3154,2369,5523,0.571,M,1,Pass,0,201300040,3154,2369,5523,0.5710664493934456,1,Pass,20,40,
201300041,2013,19,2,LOS ANGELES,2013-04-09,Burbank,0,M,S,"Shall an ordinance be adopted by the City of Burbank establishing a special tax not exceeding 2% on fees and charges for sewer and refuse collection services to be used exclusively to support the City's Sewer Fund and Refuse Assistance Programs that reduce rates for eligible low-income customers, including seniors over 62 years of age, persons with a permanent disability, persons requiring life support, or households with a disabled person or person requiring life support?",5,Utility Tax,112,Revenues: Tax Creation/Incr./Contin.,3806,4930,8736,0.436,T,2,FailT,0,201300041,3806,4930,8736,0.4356684981684982,2,FailT,1,110,
201300042,2013,19,2,LOS ANGELES,2013-04-09,Vernon,0,M,K,Shall an ordinance be adopted to increase the rates of the City's existing business license taxes and to modify the method for calculating such taxes?,2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,37,5,42,0.881,M,1,Pass,0,201300042,37,5,42,0.8809523809523809,1,Pass,1,110,
201300043,2013,19,2,LOS ANGELES,2013-04-09,Vernon,0,M,L,"Shall an ordinance be adopted to authorize, for a period of ten years, the levy of an annual special parcel tax on non-residential parcels at the rate of $0.03 per square foot (adjusted annually for inflation) to fund (i) City fire protection services and projects, (ii) City health services and projects, and (iii) City police services and projects?",3,Property Tax,112,Revenues: Tax Creation/Incr./Contin.,36,6,42,0.857,T,1,PassT,0,201300043,36,6,42,0.8571428571428571,1,PassT,1,110,
201300044,2013,19,2,LOS ANGELES,2013-04-09,Vernon,0,M,M,"Shall an ordinance be adopted to authorize, for a period of ten years, the levy of a 1% utility users' tax on electricity, gas, telecommunications, video and water utility services, with exemptions for residential services provided to persons with disabilities and low income households?",5,Utility Tax,112,Revenues: Tax Creation/Incr./Contin.,34,7,41,0.829,M,1,Pass,0,201300044,34,7,41,0.8292682926829268,1,Pass,1,110,
201300045,2013,19,2,LOS ANGELES,2013-04-16,Compton,0,M,I,"Shall the ""Police Powers"" that can be provided in the City of Compton by a municipal Police Department be provided by the Los Angeles County Sheriff's Department?",70,Ordinance,32,Safety: Police,3779,2428,6207,0.609,M,1,Pass,0,201300045,3779,2428,6207,0.6088287417431931,1,Pass,70,30,
201300046,2013,19,2,LOS ANGELES,2013-05-05,Bradbury,0,M,BB,"In order to preserve Bradbury’s essential city services, maintain a safe and quality community and meet the obligations of State and Federal Mandates, shall an ordinance be adopted to establish a Utility Users Tax on gas, electric, cable, trash, and telecommunications services at a rate not to exceed 7.5% (5.5% the first year) and 3.75% on water (2.75% the first year) for a period of 5 years, with exemptions for solar and certain low income households.",5,Utility Tax,112,Revenues: Tax Creation/Incr./Contin.,163,110,273,0.597,M,1,Pass,0,201300046,163,110,273,0.5970695970695971,1,Pass,1,110,
201300047,2013,19,2,LOS ANGELES,2013-05-21,Los Angeles,0,M,C,(INITIATIVE) Shall the voters adopt a resolution that there should be limits on political campaign spending and that corporations should not have the constitutional rights of human beings and instruct Los Angeles elected officials and area legislative representatives to promote that policy through amendments to the United States Constitution?,80,Policy/Position,45,Governance: Political Reform/Term Limits,285770,87037,372807,0.767,M,1,Pass,0,201300047,285770,87037,372807,0.766536036072284,1,Pass,80,40,
201300048,2013,19,2,LOS ANGELES,2013-05-21,Los Angeles,0,M,D,"(INITIATIVE) Shall an ordinance regulating businesses where marijuana is cultivated, processed, distributed, delivered or given away to qualified patients or primary caregivers (MMBs) by: (1) prohibiting MMBs but providing limited immunity for MMBs that operated since September 2007, timely registered with the City, generally have not ceased operations, pay City taxes, pass annual background checks, are separated from residential zones, maintain certain distances from schools, parks, child care facilities, other designated places and other MMBs, and meet other requirements and operational standards; (2) exempting dwelling units used by three or fewer patients/caregivers to cultivate medical marijuana on-site for their patients or themselves, and other exemptions; and (3) increasing the MMB tax to $60 per each $1,000 of gross receipts; be adopted?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,234793,141240,376033,0.624,M,1,Pass,0,201300048,234793,141240,376033,0.6243946674892895,1,Pass,1,110,
201300049,2013,19,2,LOS ANGELES,2013-05-21,Los Angeles,0,M,E,"(INITIATIVE) Shall an ordinance regulating associations of six or more qualified patients and/or primary caregivers who gather to cultivate, distribute or engage in other activities related to marijuana for medical purposes (MMCs) by: (1) prohibiting MMCs but providing limited immunity for MMCs that operated since September 2007, timely registered with the City, generally have not ceased operations for 90 days, pass annual background checks, are separated from residential zones, maintain certain distances from schools, parks, child care facilities and other designated places, and satisfy other requirements; (2) establishing operational standards enforceable as infractions; and (3) exempting associations of five or fewer patients/caregivers who process or cultivate medical marijuana on-site for MMCs, their patients or themselves, and other exemptions; be adopted?",70,Ordinance,200,Other,117421,225227,342648,0.343,M,2,Fail,0,201300049,117421,225227,342648,0.3426869557096496,2,Fail,70,200,
201300050,2013,19,2,LOS ANGELES,2013-05-21,Los Angeles,0,M,F,"(INITIATIVE) Shall an ordinance regulating associations of qualified patients and/or primary caregivers who cultivate, provide or engage in other activities related to marijuana for medical purposes (MMCs) by: (1) prohibiting MMCs but providing limited immunity for MMCs that register with the City (without limiting the number that can register but giving registration priority to those possessing City tax certificates by October 2012), generally have not ceased operations for more than 90 days, pass annual background checks, are separated from residential uses, maintain certain distances from schools, parks, child care facilities, other designated places and other MMCs, and meet other requirements and operational standards; (2) exempting dwellings zoned residential, and other exemptions; and (3) increasing the MMC tax to $60 per each $1,000 of gross receipts; be adopted?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,144268,206015,350283,0.412,M,2,Fail,0,201300050,144268,206015,350283,0.4118612664616895,2,Fail,1,110,
201300051,2013,19,2,LOS ANGELES,2013-06-04,San Fernando,0,M,A,"To stabilize the City financially and offset severe cuts in federal and state funding as well as sharp reductions in general fund revenues which threaten the City’s ability to adequately provide general municipal services, including but not limited to police and fire service; and street, sidewalk, park and other vital infrastructure maintenance, shall an ordinance imposing a temporary, seven-year half percent (1/2%) transactions and use (sales) tax be approved?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,567,369,936,0.606,M,1,Pass,0,201300051,567,369,936,0.6057692307692307,1,Pass,1,110,
201300052,2013,19,2,LOS ANGELES,2013-07-02,Monterey Park,0,M,FF,Shall an ordinance amending the Monterey Park Municipal Code to authorize and direct the City Council to negotiate to transfer all functions of the Monterey Park Fire Department to the consolidated Fire Protection District of Los Angeles County (aka the Los Angeles County Fire Department) be adopted?,70,Ordinance,33,Safety: Fire,2290,4102,6392,0.358,M,2,Fail,0,201300052,2290,4102,6392,0.35826032540675845,2,Fail,70,30,
201300053,2013,19,2,LOS ANGELES,2013-11-05,El Monte,0,M,EM,"Shall the term of office for the elected office of Mayor be extended from two (2) years to four (4) years, commencing with the 2015 General Municipal Election cycle?",70,Ordinance,43,Governance: Organization,1921,2665,4586,0.419,M,2,Fail,0,201300053,1921,2665,4586,0.4188835586567815,2,Fail,70,40,
201300054,2013,19,2,LOS ANGELES,2013-11-05,El Monte,0,M,GG,"To preserve and stabilize funding for essential public services such as keeping the City’s four fire stations open; maintaining staffing levels for emergency response police services; street lighting and repair; senior services; and youth parks programs and to build the City’s “rainy day"" general fund reserves, shall the City’s existing one half of one percent (1/2%) transactions and use tax be extended for five years?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,3331,1366,4697,0.709,M,1,Pass,0,201300054,3331,1366,4697,0.7091760698318076,1,Pass,1,110,
201300055,2013,19,2,LOS ANGELES,2013-11-05,El Monte,0,M,RM,Shall the City Council be reorganized to replace the current structure of one elected Mayor serving a two-year term and four elected Council Members serving staggered four-year terms with a structure composed of five elected City Council Members who will share the title of Mayor on a rotating basis subject to voter approved procedures for accomplishing the rotation?,70,Ordinance,43,Governance: Organization,1798,2686,4484,0.401,M,2,Fail,0,201300055,1798,2686,4484,0.4009812667261374,2,Fail,70,40,
201300056,2013,19,2,LOS ANGELES,2013-11-05,Hawthorne,0,M,A,"Shall the directly elected mayor for the City of Hawthorne serve a four-year term of office rather than a two-year term of office, so that all members of the City Council of the City of Hawthorne serve four-year terms of office, effective for the 2015 election?",70,Ordinance,43,Governance: Organization,2088,2031,4119,0.507,M,1,Pass,0,201300056,2088,2031,4119,0.5069191551347414,1,Pass,70,40,
201300057,2013,19,2,LOS ANGELES,2013-11-05,Hermosa Beach,0,M,B,"Shall an ordinance be adopted to incrementally, over a five-year period, reduce the postmidnight operating hours of specified businesses in the downtown area of Hermosa Beach?",70,Ordinance,200,Other,1318,3523,4841,0.272,M,2,Fail,0,201300057,1318,3523,4841,0.2722577979756249,2,Fail,70,200,
201300058,2013,19,2,LOS ANGELES,2013-11-05,Santa Fe Springs,0,M,S,"Shall Ordinance No. 1044, which would increase the oil barrel tax charged to operators of oil wells in the City from $.20 per barrel to an amount ranging from a minimum of $.41 to a maximum of $.52 per barrel, be adopted?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,1309,506,1815,0.721,M,1,Pass,0,201300058,1309,506,1815,0.7212121212121212,1,Pass,1,110,
201300059,2013,21,2,MARIN,2013-11-05,Corte Madera,0,M,B,"To maintain essential Town services including but not limited to: current levels of local fire prevention, flood control, streets and potholes, disaster preparedness, safe routes to schools, and senior and youth programs, shall the Town enact a half-cent sales tax for 6 years, requiring a citizen’s oversight committee review and annual examination to ensure funds are spent locally as promised for the benefit of Corte Madera residents?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,1785,837,2622,0.681,M,1,Pass,0,201300059,1785,837,2622,0.6807780320366132,1,Pass,1,110,
201300060,2013,21,2,MARIN,2013-11-05,Larkspur,0,M,C,"To repair aging and deteriorating neighborhood streets and roads; repair potholes; maintain police and fire protection; maintain 9-1-1 emergency/medical response; clear hazardous and flammable brush to prevent fires and improve emergency vehicle access; and maintain essential city services, shall the City of Larkspur enact a ½ cent sales tax for 5 years with annual performance reviews, independent annual audits, citizens oversight, and no money for Sacramento?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,2771,884,3655,0.758,M,1,Pass,0,201300060,2771,884,3655,0.7581395348837209,1,Pass,1,110,
