MeasureID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,TYPEREC,TOPICREC
201400011,2014,17,1,LAKE,2014-06-03,Lake,0,Measure,N,Shall County Ordinance No. 2997 that proposes limits on indoor cultivation of medical marijuana to 100 square feet; prohibits outdoor cultivation within Community Growth Boundaries or on parcels smaller than 1 acre; allows outdoor cultivation of 6 mature or 12 immature plants on parcels larger than 1 acre; allows collective or cooperative organizations outdoor cultivation of up to 48 mature or 72 immature plants on Agriculture zoned property of at least 20 acres; be adopted?,70,Ordinance,22,Land Use: Zoning,7835,7352,15187,0.5159017580825707,M,1,Pass,0,201400011,7835,7352,15187,0.5159017580825707,1,Pass,70,20
201400012,2014,47,1,SISKIYOU,2014-06-03,Lake Shastina CSD,1,Measure,D,"To maintain local fire protection, emergency medical and police fist responder services for properties within Lake Shastina Community Service District, so that victims of crime, heart attack, stroke and fire emergencies can receive rapid response, shall the existing police and fire special taxes be replaced with a public safety tax of $124 per parcel annually, subject to yearly adjustment for six years, and collected per District policy, with all revenure staying in our community.",3,Property Tax,34,Safety: Multiple Emergency Services,443,335,778,0.5694087403598972,T,2,FailT,0,201400012,443,335,778,0.5694087403598972,2,FailT,1,30
201400013,2014,21,1,MARIN,2014-06-03,Marin,0,Measure,A,"To provide critical funding to: upgrade local libraries, prevent closures, and maintain library hours; provide children, teen, senior and disabled programs including public education support; maintain books and digital collections; enhance library facilities and ADA accessibility; and ensure local funding can’t be taken by the State, shall Marin County Free Library extend the current approved 2010, $49 parcel tax for 9 years with annual CPI adjustment, including independent citizen oversight and senior citizen exemptions? (2/3 vote)",3,Property Tax,71,Facilities: Libraries,26075,7130,33205,0.7852733022135221,T,1,PassT,0,201400013,26075,7130,33205,0.7852733022135221,1,PassT,1,70
201400014,2014,21,1,MARIN,2014-06-03,Marin,0,Measure,B,"To enhance local farmers’ contributions to our economy and provide Marin residents access to healthy, locally-grown food, shall Marin County permit the Agricultural Institute of Marin to create a permanent home for the Farmer’s Market at Marin Civic Center, including a market canopy designed to respect Frank Lloyd Wright’s building, accessible to pedestrians, bikes and public transit and an eco-friendly indoor market building not to exceed 30,000 square feet at no cost to Marin taxpayers?",70,Ordinance,78,Facilities: Parks & Recreation,47724,10681,58405,0.8171218217618355,M,1,Pass,0,201400014,47724,10681,58405,0.8171218217618355,1,Pass,70,70
201400015,2014,30,1,ORANGE,2014-06-03,Orange,0,Measure,A,"To prevent the County of Orange from paying required employee contributions for members of the board of supervisors and other county elected officials who begin a term on or after June 4, 2014.",70,Ordinance,42,Governance: Personnel/Labor Relations,277669,38395,316064,0.8785214386959603,M,1,Pass,0,201400015,277669,38395,316064,0.8785214386959603,1,Pass,70,40
201400016,2014,13,1,IMPERIAL,2014-06-03,Salton CSD,1,Measure,E1,Shall the Salton Community Services District be authorized to levy a special tax for Fire Protection/Emergency Medical Services for ten years?,7,Miscellaneous Tax,34,Safety: Multiple Emergency Services,115,162,277,0.4151624548736462,T,2,FailT,0,201400016,115,162,277,0.4151624548736462,2,FailT,1,30
201400017,2014,13,1,IMPERIAL,2014-06-03,Salton CSD,1,Measure,E2,Shall the Salton Community Services District be authorized to increase its California Constitution Article XIII B appropriations limit for four years be increased by revenues from the special tax Fire Protection/Emergency Medical Services?,60,Gann Limit,110,Revenues,100,165,265,0.37735849056603776,T,2,FailT,0,201400017,100,165,265,0.37735849056603776,2,FailT,60,110
201400018,2014,35,1,SAN BENITO,2014-06-03,San Benito,0,Measure,F,"Should the San Benito County Vehicle Abatement Program and associated vehicle registration fees (one dollar per vehicle and an additional two dollars for certain commercial vehicles) be renewed for a 10-year term under California Vehicle Code Sections 9250.7 and 22710, or any successor statutes thereto, for the purposes of removal and disposal of abandoned, wrecked, dismantled, or inoperative vehicles?",7,Miscellaneous Tax,64,Transport: Agencies,4443,2583,7026,0.6323654995730145,T,2,FailT,0,201400018,4443,2583,7026,0.6323654995730145,2,FailT,1,60
201400019,2014,38,1,SAN FRANCISCO,2014-06-03,San Francisco,0,Measure,A,"To improve fire, earthquake and emergency response by: improving and/or replacing deteriorating cisterns, pipes, and tunnels, and related facilities to ensure firefighters a reliable water supply for fires and disasters; improving and/or replacing neighborhood fire and police stations; replacing certain seismically-unsafe police and medical examiner facilities with earthquake-safe buildings and to pay related costs, shall the City and County of San Francisco issue $400,000,000 in general obligation bonds, subject to citizen oversight and regular audits?",11,GO Bond,34,Safety: Multiple Emergency Services,96137,25491,121628,0.7904183247278587,T,1,PassT,0,201400019,96137,25491,121628,0.7904183247278587,1,PassT,10,30
201400020,2014,38,1,SAN FRANCISCO,2014-06-03,San Francisco,0,Measure,B,"Shall the City be prevented from allowing any development on Port property to exceed the height limits in effect as of January 1, 2014, unless the City's voters have approved a height limit increase?",70,Ordinance,26,Land Use: Voter Approval,71421,49870,121291,0.5888400623294391,M,1,Pass,0,201400020,71421,49870,121291,0.5888400623294391,1,Pass,70,20
201400021,2014,42,1,SANTA BARBARA,2014-06-03,Santa Barbara,0,Measure,M,"(INITIATIVE) Shall the County Facilities Maintenance Ordinance requiring the County to keep County owned roads, parks and buildings in their current condition or better be adopted?",40,Initiative,70,Facilities,33899,36589,70488,0.4809187379412099,M,2,Fail,0,201400021,33899,36589,70488,0.4809187379412099,2,Fail,40,70
201400022,2014,44,1,SANTA CRUZ,2014-06-03,Santa Cruz,0,Measure,F,"To properly maintain Santa Cruz County parks, facilities, beach access, and open space; clean bathrooms; repair roofs and electrical systems; keep facilities open and safe; provide recreation to children, teenagers, families, and seniors: shall Santa Cruz County levy an annual tax of $8.50 per improved parcel, replacing an expiring service charge on residential units within the County’s Park and Recreation District, with all funds staying local?",3,Property Tax,78,Facilities: Parks & Recreation,19438,6065,25503,0.7621848409990981,T,1,PassT,0,201400022,19438,6065,25503,0.7621848409990981,1,PassT,1,70
201400023,2014,44,1,SANTA CRUZ,2014-06-03,Santa Cruz,0,Measure,H,"Shall Section 406 of the City Charter be changed and subdivision (k) of Section 1503 be added to the City Charter to require a vacant (as defined) Council seat be filled only by voters at either a General Municipal Election or a Special Municipal Election rather than by Council election, required to be held within ninety (90) days after the vacancy (as defined) occurs?",20,Charter Amendment,42,Governance: Personnel/Labor Relations,2813,1610,4423,0.6359936694551209,M,1,Pass,0,201400023,2813,1610,4423,0.6359936694551209,1,Pass,20,40
201400024,2014,44,1,SANTA CRUZ,2014-06-03,Santa Cruz,0,Measure,I,Shall Sections 500 and 504 of the Watsonville City Charter be changed so that the Mayor and Mayor Pro Tempore are required to be selected in numerical order according to the District number where they reside rather than elected by the Council?,20,Charter Amendment,43,Governance: Organization,2681,1734,4415,0.6072480181200453,M,1,Pass,0,201400024,2681,1734,4415,0.6072480181200453,1,Pass,20,40
201400025,2014,44,1,SANTA CRUZ,2014-06-03,Santa Cruz,0,Measure,J,Shall the Watsonville Municipal Code be amended to add a procedure that requires public places (as defined) be named only after being nominated by a member of the City Council and voted upon by voters in the City of Watsonville at a General or Special Municipal Election?,20,Charter Amendment,43,Governance: Organization,2740,1693,4433,0.6180915858335213,M,1,Pass,0,201400025,2740,1693,4433,0.6180915858335213,1,Pass,20,40
201400026,2014,47,1,SISKIYOU,2014-06-03,Siskiyou,0,Measure,C,(INITIATIVE) Shall an ordinance be adopted establishing the Republic of Jefferson Territory with the boundaries of all Siskiyou county?,40,Initiative,44,Governance: Incorporation/Formation/Annexation,6219,5009,11228,0.553883149269683,M,1,Pass,0,201400026,6219,5009,11228,0.553883149269683,1,Pass,40,40
201400027,2014,18,1,LASSEN,2014-06-03,Southern Cascades CSD,1,Measure,X,"Shall the order adopted on February 10, 2014 by the Local Agency Formation Commission of Lassen County ordering the formation of a Community Services District in the territory described, known as the Southern Cascades Community Services District, be approved? (NOTE: Formation of the District is contingent upon approval of an accompanying special tax measure.)",13,Mello/Roos Bond,44,Governance: Incorporation/Formation/Annexation,187,123,310,0.603225806451613,M,1,Pass,1,201400027,347,238,585,0.5931623931623932,1,Pass,10,40
201400028,2014,25,1,MODOC,2014-06-03,Southern Cascades CSD,1,Measure,X,"Shall the order adopted on February 10, 2014 by the Local Agency Formation Commission of Lassen County ordering the formation of a Community Services District in the territory described, known as the Southern Cascades Community Services District, be approved? (NOTE: Formation of the District is contingent upon approval of an accompanying special tax measure.)",13,Mello/Roos Bond,44,Governance: Incorporation/Formation/Annexation,160,115,275,0.5818181818181818,M,1,Pass,1,201400027,347,238,585,0.5931623931623932,1,Pass,10,40
201400029,2014,18,1,LASSEN,2014-06-03,Southern Cascades CSD,1,Measure,Y,"Shall a measure be adopted to assess a special tax of $65 per annum per parcel regardless of the size for up to two parcels owned by each unique landowner regardless of which county the parcels are located, the special tax will be assessed only if the Southern Cascades Community Services District is formed and shall be collected in the same manner as taxes on real property, commencing in the 2014-2015 fiscal year, with the revenue to be used for local ambulance, emergency medical response and training and any lawful purpose of the Southern Cascades Community Services District? (NOTE: Passage of a Special tax is required for the District to be formed.)",3,Property Tax,36,Safety: Emergency Medical/Paramedic,155,118,273,0.5677655677655677,T,2,FailT,1,201400028,310,236,546,0.5677655677655677,2,FailT,1,30
201400030,2014,25,1,MODOC,2014-06-03,Southern Cascades CSD,1,Measure,Y,"Shall a measure be adopted to assess a special tax of $65 per annum per parcel regardless of the size for up to two parcels owned by each unique landowner regardless of which county the parcels are located, the special tax will be assessed only if the Southern Cascades Community Services District is formed and shall be collected in the same manner as taxes on real property, commencing in the 2014-2015 fiscal year, with the revenue to be used for local ambulance, emergency medical response and training and any lawful purpose of the Southern Cascades Community Services District? (NOTE: Passage of a Special tax is required for the District to be formed.)",3,Property Tax,34,Safety: Multiple Emergency Services,155,118,273,0.5677655677655677,T,2,FailT,1,201400028,310,236,546,0.5677655677655677,2,FailT,1,30
201400031,2014,52,1,TEHAMA,2014-06-03,Tehama,0,Measure,A,(ADVISORY) Should the Tehama County Board of Supervisors adopt a Declaration of Support for the proposed separation from the State of California and formation of a new state?,30,Advisory,200,Other,7242,5484,12726,0.5690711928335691,M,1,Pass,0,201400029,7242,5484,12726,0.5690711928335691,1,Pass,30,200
201400032,2014,52,1,TEHAMA,2014-06-03,Tehama,0,Measure,B,"Shall the Tehama County Charter be amended to increase the salary of members of the Board of Supervisors to $3,795 per month effective January 1, 2015?",20,Charter Amendment,42,Governance: Personnel/Labor Relations,2873,9757,12630,0.22747426761678544,M,2,Fail,0,201400030,2873,9757,12630,0.22747426761678544,2,Fail,20,40
201400033,2014,52,1,TEHAMA,2014-06-03,Tehama,0,Measure,C,Shall the Tehama County Charter be amended to provide that vacancies occurring on the Board of Supervisors shall be filled within ninety (90) days by the remaining members of the Board of Supervisors?,20,Charter Amendment,43,Governance: Organization,7327,4956,12283,0.5965155092404136,M,1,Pass,0,201400031,7327,4956,12283,0.5965155092404136,1,Pass,20,40
201400034,2014,1,1,ALAMEDA,2014-11-04,Alameda,0,Measure,BB,"Shall voters authorize implementing the Alameda County 30 year Transportation Expenditure Plan to: Expand and modernize BART in Alameda County; Improve transit connections to jobs and schools; Fix roads, improve highways and increase bicycle and pedestrian safety; Reduce traffic congestion and improve air quality; and Keep senior, student, and disabled fares affordable? Approval augments by ½ cent and extends the existing County sales tax, with independent oversight and audits. All money will benefit local residents.",4,Sales Tax,61,Transport: Mass Transit,240557,99417,339974,0.7075746968885857,T,1,PassT,0,201400032,240557,99417,339974,0.7075746968885857,1,PassT,1,60
201400035,2014,4,1,BUTTE,2014-11-04,Butte,0,Measure,A,"Shall Ordinance 4075, an ordinance amending Sections 34A-4, 34A-5 and 34A-8 to Article I, Chapter 34A entitled, “Restrictions on Cultivation of Medical Marijuana” of the Butte County Code, be adopted?",70,Ordinance,22,Land Use: Zoning,36634,24187,60821,0.6023248549020898,M,1,Pass,0,201400033,36634,24187,60821,0.6023248549020898,1,Pass,70,20
201400036,2014,4,1,BUTTE,2014-11-04,Butte,0,Measure,B,(INITIATIVE) Shall the ordinance entitled “Initiative Measure to Enact Voter Approved County Ordinance on Marijuana Cultivation” be adopted?,40,Initiative,22,Land Use: Zoning,39888,20696,60584,0.6583916545622607,M,1,Pass,0,201400034,39888,20696,60584,0.6583916545622607,1,Pass,40,20
201400037,2014,9,1,EL DORADO,2014-11-04,Cameron Estates CSD,1,Measure,D,"Shall the Cameron Estates Community Services District levy a special tax for the purpose of providing vitally needed road improvements, upgrades, and increased road maintenance at an annual rate not to exceed an increase of $100 per year per parcel over and above the current rate, for a total not to exceed $350 per parcel per year?",3,Property Tax,62,Transport: Roads,258,147,405,0.6370370370370371,T,2,FailT,0,201400035,258,147,405,0.6370370370370371,2,FailT,1,60
201400038,2014,21,1,MARIN,2014-11-04,CSA #27,1,Measure,P,"Shall there be a continuation of the four year special tax for paramedic services in the amount of $57 in the first year and raising the tax $6 annually to a maximum of $75 per taxable living unit, or per 1,500 square feet of structure on a developed parcel in non-residential use, with the appropriations limit increased by the amount of said tax for the next four years?",3,Property Tax,36,Safety: Emergency Medical/Paramedic,416,199,615,0.6764227642276422,T,1,PassT,0,201400036,416,199,615,0.6764227642276422,1,PassT,1,30
201400039,2014,8,1,DEL NORTE,2014-11-04,Del Norte,0,Measure,F,"Shall Del Norte County Ordinance No. 2014-009 be approved? If approved, this ordinance will impose a County-wide special sales tax at the rate of of one quarter of one percent (0.25%) for a period of seven (7) years and require that all revenues be spent for the specific purpose of funding the Del Norte County Fairgrounds.",4,Sales Tax,78,Facilities: Parks & Recreation,4828,2392,7220,0.6686980609418283,T,1,PassT,0,201400037,4828,2392,7220,0.6686980609418283,1,PassT,1,70
201400040,2014,9,1,EL DORADO,2014-11-04,El Dorado,0,Measure,M,"Shall the ordinance, amending the County of El Dorado General Plan to provide (1) County shall not approve single-family housing subdivisions of five or more parcels if CalTrans determines that Highway 50 traffic has reached, or is forecast to reach, Level of Service F (2) lands designated open-space, agricultural, or natural resources shall remain in those categories and (3) lands designated as low-density residential, medium-density residential, or rural residential shall not be rezoned to higher density, be adopted?",70,Ordinance,22,Land Use: Zoning,25074,34055,59129,0.42405587782644727,M,2,Fail,0,201400038,25074,34055,59129,0.42405587782644727,2,Fail,70,20
201400041,2014,9,1,EL DORADO,2014-11-04,El Dorado,0,Measure,N,"Shall the ordinance, amending the County of El Dorado General Plan to extend the measure Y policies through 2025 and require the County to (1) emphasize improvements to local roadways when specifying expenditures in the Capital Improvement Program (2) rely first on state or federal funding for Highway 50 improvements (3) provide an annual report detailing traffic volumes and allocation of traffic impact mitigation fees and (4) encourage planning and zoning in Community Regions, be adopted?",70,Ordinance,63,Transport: Traffic Regulation/Reduction,14240,44148,58388,0.24388572994450913,M,2,Fail,0,201400039,14240,44148,58388,0.24388572994450913,2,Fail,70,60
201400042,2014,9,1,EL DORADO,2014-11-04,El Dorado,0,Measure,O,"Shall the ordinance, amending the County of El Dorado General Plan to (1) convert the communities of Camino, Pollock Pines, and Shingle Springs from Community Regions to Rural Centers, establish Cedar Grove as a Rural Center, and place the Platted Lands overlay on certain areas contiguous to those communities and (2) remove from the El Dorado Hills and Cameron Park Community Regions those Low Density Residential areas within one mile of Green Valley Road, be adopted?",70,Ordinance,21,Land Use: Growth Cap/Boundary,19420,38453,57873,0.335562352046723,M,2,Fail,0,201400040,19420,38453,57873,0.335562352046723,2,Fail,70,20
201400043,2014,9,1,EL DORADO,2014-11-04,El Dorado,0,Measure,Q,"Shall section 203 of the El Dorado County Charter, be amended in part, to allow the Board of Supervisors to consolidate the date set for an election to fill a vacancy on the Board of Supervisors with a scheduled primary, general, or special election, involving the district where the vacancy occurs, when the vacancy occurs more than 90 days but less than 180 days before the scheduled primary, general, or special election?",20,Charter Amendment,48,Governance: Elections,36068,16646,52714,0.6842205106802747,M,1,Pass,0,201400041,36068,16646,52714,0.6842205106802747,1,Pass,20,40
201400044,2014,9,1,EL DORADO,2014-11-04,El Dorado,0,Measure,R,Shall section 206 of the El Dorado County Charter be amended to reflect current practice by replacing the words “presiding officer” with “Chair” and “presiding officer pro tem” with “Vice Chair” and “alternate presiding officer pro tem” with “Second Vice Chair.”,20,Charter Amendment,40,Governance,34833,16964,51797,0.6724906847886943,M,1,Pass,0,201400042,34833,16964,51797,0.6724906847886943,1,Pass,20,40
201400045,2014,9,1,EL DORADO,2014-11-04,El Dorado,0,Measure,S,"Shall section 210 d. of the El Dorado County Charter be deleted from the Charter because it was repealed effective January 26, 2006, under the plain language of Charter section 210 d.?",20,Charter Amendment,40,Governance,39350,11887,51237,0.767999687725667,M,1,Pass,0,201400043,39350,11887,51237,0.767999687725667,1,Pass,20,40
201400046,2014,10,1,FRESNO,2014-11-04,Fresno,0,Measure,Z,"To ensure the continuing success of Fresno Chaffee Zoo by providing necessary funding for repairs and maintenance, improved animal care, continuing the zoo’s Species Survival and Children’s Education Programs, maintaining low entrance fees, improving visitor amenities, and providing animals with safer more spacious natural habitats; shall Fresno County voters extend the existing 1/10th of one percent sales tax for ten additional years, with all proceeds exclusively for Fresno Chaffee Zoo?",4,Sales Tax,75,Facilities: Zoos,112377,43427,155804,0.7212715976483274,T,1,PassT,0,201400044,112377,43427,155804,0.7212715976483274,1,PassT,1,70
201400047,2014,12,1,HUMBOLDT,2014-11-04,Humboldt,0,Measure,P,"Shall the ordinance prohibiting the propagation, cultivation, raising or growing of genetically engineered organisms (also known as GMOs) in Humboldt County be adopted?",70,Ordinance,54,Environment: Regulation/Mitigation,22733,14426,37159,0.611776420248123,M,1,Pass,0,201400045,22733,14426,37159,0.611776420248123,1,Pass,70,50
201400048,2014,12,1,HUMBOLDT,2014-11-04,Humboldt,0,Measure,Z,"To maintain/improve essential services, such as 24-hour sheriff's patrols; 9-1-1 emergency response; crime investigation/prosecution; drug/illegal marijuana growhouse enforcement/prevention; services for abused children/mentally ill; rural fire protection; road repairs; and other County services, shall County of Humboldt pursuant to County Ordinance No. 2517 enact a 1/2% sales tax, for five years, all revenue for the County, none for the State of California, with annual audits and public review?",4,Sales Tax,34,Safety: Multiple Emergency Services,20673,16279,36952,0.559455509850617,M,1,Pass,0,201400046,20673,16279,36952,0.559455509850617,1,Pass,1,30
201400049,2014,17,1,LAKE,2014-11-04,Lake,0,Measure,O,"(INITIATIVE) Shall 'The Medical Marijuana Control Act InitiativeMeasure' which seeks to repeal any then-existing County regulations contained in Article 72 of the Lake County Zoning Ordinance and to establish new regulations regarding the size, location, and manner in which medical marijuana may be cultivated in unincorporated areas of Lake County be adopted?",40,Initiative,22,Land Use: Zoning,6674,10606,17280,0.38622685185185185,M,2,Fail,0,201400047,6674,10606,17280,0.38622685185185185,2,Fail,40,20
201400050,2014,17,1,LAKE,2014-11-04,Lake,0,Measure,P,(INITIATIVE) Shall 'The Freedom to Garden Human Rights Restoration Act of 2014 Initiative Measure' which seeks to restore the natural human right to grow and use plants for the basic necessities of life and to exempt residents residing within the unincorporated areas of Lake County from any County permitting or other County ordinances that would limit an individual’s outside and/or greenhouse home gardening efforts be adopted?,40,Initiative,22,Land Use: Zoning,5904,11326,17230,0.34265815438189207,M,2,Fail,0,201400048,5904,11326,17230,0.34265815438189207,2,Fail,40,20
201400051,2014,17,1,LAKE,2014-11-04,Lake,0,Measure,S,"Shall Article VI be added to Chapter 18 of the Lake County Code imposing a one-half of one percent (0.50%) transaction and use tax (sales tax) to implement a Healthy Lake Tax for the County of Lake for a maximum period of ten (10) years with all revenues exclusively under Lake County Watershed Protection District control to combat aquatic weeds, algae, invasive mussels and fund wetland restoration and water quality projects with an expenditure plan with citizen oversight for revenues generated?”",4,Sales Tax,54,Environment: Regulation/Mitigation,11037,6308,17345,0.6363217065436725,T,2,FailT,0,201400049,11037,6308,17345,0.6363217065436725,2,FailT,1,50
201400052,2014,18,1,LASSEN,2014-11-04,Lassen,0,Measure,Z,"Shall Ordinance No. 2014-004 be enacted? (The Ordinance would limit to three the number of times a person can serve as a member of the Board of Supervisors in Lassen County. The Ordinance would only apply to persons that commence a term of office after January 1, 2015. The limitation applies regardless of whether the three terms were served consecutively or not. Likewise, if a person becomes a member ofthe Board of Supervisors as a result of a special election or appointment by the Governor, an only serves a partial term, they shall be deemed, for purposes of the Ordinance, to have served a full four year term if they have served more than two years.)",70,Ordinance,45,Governance: Political Reform/Term Limits,4845,1896,6741,0.7187360925678683,M,1,Pass,0,201400050,4845,1896,6741,0.7187360925678683,1,Pass,70,40
201400053,2014,19,1,LOS ANGELES,2014-11-04,Los Angeles,0,Measure,P,"To ensure continued funding from an expiring voter-approved measure for improving the safety of neighborhood parks and senior/youth recreation areas; assisting in gang prevention; protecting rivers, beaches, water sources; repairing, acquiring/preserving parks/natural areas; maintaining zoos, museums; providing youth job-training, shall Los Angeles County levy an annual $23/parcel special tax, requiring annual independent financial audits and all funds used locally?",3,Property Tax,112,Revenues: Tax Creation/Incr./Contin.,862224,508672,1370896,0.6289492419556261,T,2,FailT,0,201400051,862224,508672,1370896,0.6289492419556261,2,FailT,1,110
201400054,2014,21,1,MARIN,2014-11-04,Marin,0,Measure,A,"To replace Marin County’s aging emergency communications system; reduce 911 response times; improve communications reliability during earthquakes, floods, fires, and other disasters; and ensure reliable com munications among police, fire, and paramedic first responders throughout Marin County, shall an ordinance be adopted authorizing an annual parcel tax for 20 years based on land use, including $29 per single-family home, with public audits, expenditure reports, citizen oversight and low-income senior exemptions?",70,Ordinance,34,Safety: Multiple Emergency Services,53125,26415,79540,0.6679029419160171,T,1,PassT,0,201400052,53125,26415,79540,0.6679029419160171,1,PassT,70,30
201400055,2014,22,1,MARIPOSA,2014-11-04,Mariposa,0,Measure,K,"Shall Chapter 3.36 of the Mariposa County ordinance code be amended to increase the rate of tax imposed on occupants of lodging within the County who reside in such lodging for thirty consecutive calendar days or less, from ten-percent (10%) to eleven and one quarter-percent (11.25%) of the rent charged by operators of such lodging?",9,Transient Occupancy Tax,112,Revenues: Tax Creation/Incr./Contin.,2153,4367,6520,0.33021472392638035,M,2,Fail,0,201400053,2153,4367,6520,0.33021472392638035,2,Fail,1,110
