MeasID_First,MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec
201500016,201500016,2015,36,1,SAN BERNARDINO,2015-09-01,CSA #70,1,I,Z,"Shall County Service Area 70, P-6 (El Mirage) levy an annual Special Tax of $12 per parcel beginning in FY 2016/17 with an annual inflationary increase of 3.75% each year thereafter for the provision of recreation and park services?",3,Property Tax,78,Facilities: Parks & Recreation,18,53,71,0.2535211267605634,T,2,FailT,0,201500014,18,53,71,0.2535211267605634,2,FailT,1,70
201500017,201500017,2015,9,1,EL DORADO,2015-11-03,Cosumnes River CSD,1,M,D,"Shall the Consumnes River Community Services District increase the current annual special tax to fund maintaining, upgrading, and improving District roads by $100 per parcel per year such that the total tax will increase from $150 to $250 per parcel per year?",3,Property Tax,62,Transport: Roads,57,40,97,0.5876288659793815,T,2,FailT,0,201500015,57,40,97,0.5876288659793815,2,FailT,1,60
201500018,201500018,2015,9,1,EL DORADO,2015-11-03,El Dorado Hills CSD,1,A,E,"(ADVISORY) Should the El Dorado County Board of Supervisors re-zone the approximately 100 acres of the former executive golf course in El Dorado Hills from its current land use designation as ""open space recreation"" to a designation that allows residential housing and commercial development on the property?",30,Advisory,22,Land Use: Zoning,811,8236,9047,0.08964297557201283,M,2,Fail,0,201500016,811,8236,9047,0.08964297557201283,2,Fail,30,20
201500019,201500019,2015,36,1,SAN BERNARDINO,2015-11-03,Helendale CSD,1,A,CC,"(ADVISORY) Shall the Helendale Community Services District pursue the exercies of legal authority to provide local police protection services at a cost that will be paid by customers of, and/or property owners in, the District in amounts and in a manner to be determined later in accordance with applicable legal requirements?",30,Advisory,32,Safety: Police,198,676,874,0.22654462242562928,M,2,Fail,0,201500017,198,676,874,0.22654462242562928,2,Fail,30,30
201500020,201500020,2015,21,1,MARIN,2015-11-03,Marinwood CSD,1,M,H,"Shall the appropriations limit established for Marinwood Community Services District pursuant to Article XIII B of the California Constitution be increased over the appropriations limit established by said article for each of the four fiscal years 2016-2017 through 2019-2020 in the amount equal to the revenue received from the special tax for fire protection and emergency services previously approved by the voters in November, 2011.",60,Gann Limit,110,Revenues,1168,266,1434,0.8145048814504882,M,1,Pass,0,201500018,1168,266,1434,0.8145048814504882,1,Pass,60,110
201500021,201500021,2015,21,1,MARIN,2015-11-03,Marinwood CSD,1,M,I,"To provide park, open space and street landscape maintenance, shall an ordinance be adopted to replace the existing special tax of $189.56 per parcel with a special tax of $189.56 per unit on each parcel within the Marinwood Community Services District, with an annual cost of living adjustment, and to increase the District appropriations limit by the amount of the proceeds received from the special tax?",3,Property Tax,105,General Services: Maintenance,1090,35,1125,0.9688888888888889,T,1,PassT,0,201500019,1090,35,1125,0.9688888888888889,1,PassT,1,100
201500022,201500022,2015,38,1,SAN FRANCISCO,2015-11-03,San Francisco,0,I,E,"(INITIATIVE) Shall the City broadcast all City meetings live on the Internet; allow members of the public to submit electronically during the meeting live, written, video, or audio comments from any location and require those comments be played; require pre-recorded video testimony to be played during a meeting; and allow the public or board, commission, or committee members to request that discussion of a particular agenda item begin at a specific time?",40,Initiative,40,Governance,65044,129213,194257,0.3348347807286224,M,2,Fail,0,201500020,65044,129213,194257,0.3348347807286224,2,Fail,40,40
201500023,201500023,2015,38,1,SAN FRANCISCO,2015-11-03,San Francisco,0,I,F,(INITIATIVE) Shall the City limit short-term rentals of a housing unit to 75 days per year regardless of whether the rental is hosted or unhosted; require owners to provide proof that they authorize the unit as a short-term rental; require residents who offer short-term rentals to submit quarterly reports on the number of days they live in the unit and the number of days the unit is rented; prohibit short-term rentals of in-law units; allow interested parties to sue hosting platforms; and make it a misdemeanor for a hosting platform to unlawfully list a unit as a short-term rental?,40,Initiative,22,Land Use: Zoning,88945,111348,200293,0.44407443095864557,M,2,Fail,0,201500021,88945,111348,200293,0.44407443095864557,2,Fail,40,20
201500024,201500024,2015,38,1,SAN FRANCISCO,2015-11-03,San Francisco,0,I,G,"(INITIATIVE) Shall the City define ‘renewable, greenhouse-gas free electricity’ to mean electricity derived exclusively from certain renewable resources located within or adjacent to the California border or electricity derived from Hetch Hetchy, except for electricity from other types of resources such as rooftop solar and other large hydroelectric facilities; require CleanPowerSF to inform customers and potential customers of the planned percentage of ‘renewable, greenhouse-gas free electricity’ to be provided; and prohibit CleanPowerSF from marketing, advertising or making any public statement that its electricity is ‘clean’ or ‘green’ unless the electricity is ‘renewable, greenhouse gas-free electricity’ as defined in this measure?",40,Initiative,50,Environment,41780,144852,186632,0.22386300312915255,M,2,Fail,0,201500022,41780,144852,186632,0.22386300312915255,2,Fail,40,50
201500025,201500025,2015,38,1,SAN FRANCISCO,2015-11-03,San Francisco,0,I,I,"(INITIATIVE) Shall the City suspend the issuance of permits on certain types of housing and business development projects in the Mission District for at least 18 months; and develop a Neighborhood Stabilization Plan for the Mission District by January 31, 2017?",40,Initiative,21,Land Use: Growth Cap/Boundary,83415,111543,194958,0.4278613855291909,M,2,Fail,0,201500023,83415,111543,194958,0.4278613855291909,2,Fail,40,20
201500026,201500026,2015,38,1,SAN FRANCISCO,2015-11-03,San Francisco,0,M,A,"To finance the construction, development, acquisition, and preservation of housing affordable to low- and middle-income households through programs that will prioritize vulnerable populations such as San Francisco’s working families, veterans, seniors, disabled persons; to assist in the acquisition, rehabilitation, and preservation of affordable rental apartment buildings to prevent the eviction of long-term residents; to repair and reconstruct dilapidated public housing; to fund a middle-income rental program; and to provide for homeownership down payment assistance opportunities for educators and middle-income households; shall the City and County of San Francisco issue $310 million in general obligation bonds, subject to independent citizen oversight and regular audits?",11,GO Bond,81,Housing: Affordable,148513,51486,199999,0.7425687128435642,T,1,PassT,0,201500024,148513,51486,199999,0.7425687128435642,1,PassT,10,80
201500027,201500027,2015,38,1,SAN FRANCISCO,2015-11-03,San Francisco,0,M,B,"Shall the City amend the Charter to allow parents who are both City employees to each take the maximum amount of paid parental leave for which they qualify for the birth, adoption or foster parenting of the same child, if both parents are City employees; and to provide each parent the opportunity to keep up to 40 hours of sick leave at the end of paid parental leave?",20,Charter Amendment,42,Governance: Personnel/Labor Relations,133718,62864,196582,0.6802148721653051,M,1,Pass,0,201500025,133718,62864,196582,0.6802148721653051,1,Pass,20,40
201500028,201500028,2015,38,1,SAN FRANCISCO,2015-11-03,San Francisco,0,M,C,"Shall the City regulate expenditure lobbyists by requiring them to register with the Ethics Commission, pay a $500 registration fee, and file monthly disclosures regarding their lobbying activities?",70,Ordinance,40,Governance,144053,48443,192496,0.7483428227080043,M,1,Pass,0,201500026,144053,48443,192496,0.7483428227080043,1,Pass,70,40
201500029,201500029,2015,38,1,SAN FRANCISCO,2015-11-03,San Francisco,0,M,D,Shall the City increase the height limit for 10 of the 28 acres of the Mission Rock site from one story to height limits ranging from 40 to 240 feet and make it City policy to encourage the development on the Mission Rock site provided that it includes eight acres of parks and open space and housing of which at least 33% is affordable for low- and middle-income households?,70,Ordinance,81,Housing: Affordable,146716,51434,198150,0.7404289679535705,M,1,Pass,0,201500027,146716,51434,198150,0.7404289679535705,1,Pass,70,80
201500030,201500030,2015,38,1,SAN FRANCISCO,2015-11-03,San Francisco,0,M,H,"Shall the City use the State definition of ‘eligible renewable energy resources’ when referring to terms such as ‘clean energy,’ ‘green energy,’ and ‘renewable Greenhouse Gas-free Energy’; and shall CleanPowerSF be urged to inform customers and potential customers of the planned percentage of types of renewable energy to be supplied in each communication; and shall it be City policy for CleanPowerSF to use electricity generated within California and San Francisco when possible?",80,Policy/Position,50,Environment,148213,36495,184708,0.8024178703683652,M,1,Pass,0,201500028,148213,36495,184708,0.8024178703683652,1,Pass,80,50
201500031,201500031,2015,38,1,SAN FRANCISCO,2015-11-03,San Francisco,0,M,J,"Shall the City establish a Legacy Business Historic Preservation Fund, which would give grants to Legacy Businesses and to building owners who lease space to those businesses for terms of at least 10 years; and expand the definition of a Legacy Business to include those that have operated in San Francisco for more than 20 years, are at risk of displacement and meet the other requirements of the Registry?",70,Ordinance,20,Land Use,108907,82268,191175,0.5696717667058977,M,1,Pass,0,201500029,108907,82268,191175,0.5696717667058977,1,Pass,70,20
201500032,201500032,2015,38,1,SAN FRANCISCO,2015-11-03,San Francisco,0,M,K,"Shall the City expand the allowable uses of surplus property to include building affordable housing for a range of households from those who are homeless or those with very low income to those with incomes up to 120% of the area median income; and, for projects of more than 200 units, make some housing available for households earning up to 150% or more of the area median income?",70,Ordinance,81,Housing: Affordable,143918,50041,193959,0.7420021757175486,M,1,Pass,0,201500030,143918,50041,193959,0.7420021757175486,1,Pass,70,80
201500033,201500033,2015,15,1,KERN,2015-11-03,Stallions Springs CSD,1,M,B,"Shall the Stallion Springs Community Services District levy an annual special tax beginning with fiscal year 2017 of up to $50 per parcel for the sole purpose of funding police protection services, all as provided in District resolution 2015-08?",3,Property Tax,32,Safety: Police,500,224,724,0.6906077348066298,T,1,PassT,0,201500031,500,224,724,0.6906077348066298,1,PassT,1,30
201500034,201500034,2015,53,1,TRINITY,2015-11-03,Trinity,0,M,W,"Shall the County of Trinity adopt an ordinance amending section 3.28 of the Trinity County Code by imposing a special five percent (5%) tax charged to guests of hotels and motels under the County’s Transient Occupancy Tax Ordinance for the purpose of providing more funding to local law enforcement, fire protection and promotion of tourism, with the maximum amount collected not exceeding two million dollars $2,000,000 per calendar year?",9,Transient Occupancy Tax,34,Safety: Multiple Emergency Services,1579,1112,2691,0.5867707172054998,T,2,FailT,0,201500032,1579,1112,2691,0.5867707172054998,2,FailT,1,30
201500035,201500035,2015,19,2,LOS ANGELES,2015-03-03,Azusa,0,M,A,"Shall an ordinance amending the Azusa Municipal Code be YES adopted to increase the rate of the Transient Occupancy (Room) Tax from 7.5% to 10%, and to apply the Tax to all rent charged by hotel operators, including online travel companies, for the transient occupancy of any hotel room, to help maintain general City services such as police and fire protection, street operations and maintenance, and library, parks and recreation services?",9,Transient Occupancy Tax,112,Revenues: Tax Creation/Incr./Contin.,944,728,1672,0.5645933014354066,M,1,Pass,0,201500033,944,728,1672,0.5645933014354066,1,Pass,1,110
201500036,201500036,2015,19,2,LOS ANGELES,2015-03-03,Bell,0,M,C,"Shall the City Charter be amended to: revise Councilmember candidate residency requirements to 30 days, limit Councilmember compensation for sitting on multiple City bodies, require written expense reimbursement policies, limit indemnification of elected officials, establish a citizen planning commission, changing recall procedures, eliminate the assistant chief administrative officer position, prohibiting conflicts of interest or financial interests in City contracts, and prohibit franchises of indefinite duration, all consistent with state law?",20,Charter Amendment,42,Governance: Personnel/Labor Relations,1390,336,1726,0.8053302433371958,M,1,Pass,0,201500034,1390,336,1726,0.8053302433371958,1,Pass,20,40
201500037,201500037,2015,19,2,LOS ANGELES,2015-03-03,Carson,0,M,A,"Shall Ordinance 14-1544 be adopted extending the 2% Utility Users' Tax on electricity & gas, and adding water, cable, telephone & cellular utilities to continue essential services, including police, park enforcement teams, gang intervention, youth recreation programs, graffiti removal, Meals on Wheels, senior programs & stroke recovery, sidewalk & street repair, city special events, staffing parks, and addressing blight caused by loss of redevelopment revenue, while exempting senior and low-income households?",5,Utility Tax,112,Revenues: Tax Creation/Incr./Contin.,4257,4683,8940,0.4761744966442953,M,2,Fail,0,201500035,4257,4683,8940,0.4761744966442953,2,Fail,1,110
201500038,201500038,2015,19,2,LOS ANGELES,2015-03-03,Cerritos,0,M,A,"To assist in the recovery of expenses for providing general city services, including police, library and park services, shall the City of Cerritos adopt an ordinance increasing the existing Transient Occupancy Tax (which is a hotel bed tax) from a rate of six percent (6%) to twelve percent (12%), which is a rate closer to the average for other Southern California cities?",9,Transient Occupancy Tax,112,Revenues: Tax Creation/Incr./Contin.,5255,2209,7464,0.7040460878885316,M,1,Pass,0,201500036,5255,2209,7464,0.7040460878885316,1,Pass,1,110
201500039,201500039,2015,19,2,LOS ANGELES,2015-03-03,Cudahy,0,M,A,"Shall the ordinance adopting term limits for Cudahy City Council Members be adopted?
These term limits provide that no person shall serve more than eight years, or two four-year terms as a member of the Cudahy City Council, with any portion of a term, whether by election or appointment, counting as a full term.",70,Ordinance,45,Governance: Political Reform/Term Limits,672,133,805,0.8347826086956521,M,1,Pass,0,201500037,672,133,805,0.8347826086956521,1,Pass,70,40
201500040,201500040,2015,19,2,LOS ANGELES,2015-03-03,Hermosa Beach,0,M,O,"Shall E&B Corporation’s 34-well oil and gas drilling/ production project at the City’s 555 Sixth Street maintenance yard be approved by 1) amending the General Plan and Municipal Code to exempt the project from the City’s oil drilling ban and repeal the restriction on City’s use of project royalties, 2) awarding a pipeline franchise to transport oil/gas underground, 3) approving a 34-year development agreement, and 4) determining that project financial benefits outweigh its unavoidable environmental impacts?",70,Ordinance,22,Land Use: Zoning,1538,5968,7506,0.2049027444710898,M,2,Fail,0,201500038,1538,5968,7506,0.2049027444710898,2,Fail,70,20
201500041,201500041,2015,19,2,LOS ANGELES,2015-03-03,La Habra Heights,0,M,A,"Shall an ordinance be adopted that prohibits land use for certain treatments of oil or gas wells that are designed to enhance production or recovery, any new oil and gas wells, and reactivation of idle wells?",70,Ordinance,54,Environment: Regulation/Mitigation,802,1061,1863,0.43048845947396674,M,2,Fail,0,201500039,802,1061,1863,0.43048845947396674,2,Fail,70,50
201500042,201500042,2015,19,2,LOS ANGELES,2015-03-03,Los Angeles,0,M,1,"Shall the City Charter be amended to: 1) change the City's primary and general election dates to June and November of even-numbered years beginning in 2020 so that City elections are held on the same dates as Federal and State elections; 2) provide that, in 2015 and 2017 only, candidates be elected for a term of 5/12 years to transition to the new election dates; 3) adjust vacancy election schedules and allow temporary appointments to fill vacant offices until an election is held; 4) enable initiative and referendum elections to be scheduled at either the next City or next State election; and 5) allow initiative proponents to withdraw their measure prior to scheduling an election?",20,Charter Amendment,48,Governance: Elections,139292,41081,180373,0.7722441828876827,M,1,Pass,0,201500040,139292,41081,180373,0.7722441828876827,1,Pass,20,40
201500043,201500043,2015,19,2,LOS ANGELES,2015-03-03,Los Angeles,0,M,2,"Shall the City Charter be amended to: 1) change the LAUSD Board of Education’s primary and general election dates to June and November of even numbered years beginning in 2020 so that LAUSD elections are held on the same dates as Federal and State elections; 2) provide that, in 2015 and 2017 only, candidates be elected for a term of 5 ½ to transition to the new election dates; and 3) adjust vacancy election schedules and allow temporary appointments to fill vacant offices until an election held?",20,Charter Amendment,48,Governance: Elections,160601,49380,209981,0.7648358661021711,M,1,Pass,0,201500041,160601,49380,209981,0.7648358661021711,1,Pass,20,40
201500044,201500044,2015,19,2,LOS ANGELES,2015-03-03,Paramount,0,M,P,"To preserve youth after-school educational programs; 9-1-1 emergency response; neighborhood/school Sheriff patrols and Sheriff’s station; drug/gang prevention; street repairs; seniors programs; parks and general services, shall Ordinance No. 1052 be adopted to update the City’s utility users tax and increase the rate by two and a half percent; with all funds used only in Paramount, subject to independent financial audits, and requiring equal treatment of taxpayers regardless of technology?",5,Utility Tax,112,Revenues: Tax Creation/Incr./Contin.,700,230,930,0.7526881720430108,M,1,Pass,0,201500042,700,230,930,0.7526881720430108,1,Pass,1,110
201500045,201500045,2015,19,2,LOS ANGELES,2015-03-03,Redondo Beach,0,M,B,"Shall Redondo Beach phase-out power generation from a 50-acre Site currently occupied by the Redondo Beach Generating Plant and establish new land use and development standards for the Site by amending the General Plan, Coastal Land Use Plan, Harbor/Civic Center Specific Plan, Coastal Zoning, Zoning, and City Charter; with the new land use allowing 600 residential units; 85,000 square feet of commercial development; 250 hotel rooms and requiring 10 acres of public open space?",20,Charter Amendment,22,Land Use: Zoning,6072,6684,12756,0.4760112888052681,M,2,Fail,0,201500043,6072,6684,12756,0.4760112888052681,2,Fail,20,20
201500046,201500046,2015,47,2,SISKIYOU,2015-03-03,Weed,0,M,O,"Shall the City of Weed impose a Transactions and Use Tax of 0.25% of the gross receipts of any sale or use pursuant to Revenue and Taxation Code Section 7285.9 to fund the operation, maintenance, and improvement of a public library, to fund a portion of the costs of providing Senior Nutrition Meals within the city limit of the City of Weed and other senior programs and services, and for general municipal purposes including, police, fire protection and street maintenance and improvements?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,196,79,275,0.7127272727272728,M,1,Pass,0,201500044,196,79,275,0.7127272727272728,1,Pass,1,110
201500047,201500047,2015,36,2,SAN BERNARDINO,2015-03-24,Chino,0,M,V,"Shall the General Plan of the City of Chino be amended to change the land use designation of 12.75 acres of vacant land from General Commercial to Residential-RD12, generally located on the west side of Central Avenue, north of Francis Avenue, for a maximum of 113 single-family dwelling units?",20,Charter Amendment,22,Land Use: Zoning,1717,1365,3082,0.5571057754704737,M,1,Pass,0,201500045,1717,1365,3082,0.5571057754704737,1,Pass,20,20
201500048,201500048,2015,19,2,LOS ANGELES,2015-04-07,Glendale,0,M,C,"Shall City Charter Article IV, Section 3 be amended to require the city council to establish by ordinance the method of the council compensation?",20,Charter Amendment,42,Governance: Personnel/Labor Relations,4008,13136,17144,0.23378441437237518,M,2,Fail,0,201500046,4008,13136,17144,0.23378441437237518,2,Fail,20,40
201500049,201500049,2015,19,2,LOS ANGELES,2015-04-07,Glendale,0,M,D,"Shall the City institute by-district elections for city council, by amending the Charter Article IV, Section 1 and adopting an ordinance requiring the city to prepare a district plan subject to voter approval?",20,Charter Amendment,43,Governance: Organization,6508,10711,17219,0.37795458505139673,M,2,Fail,0,201500047,6508,10711,17219,0.37795458505139673,2,Fail,20,40
201500050,201500050,2015,19,2,LOS ANGELES,2015-04-07,Glendale,0,M,E,"Shall City Charter Article IV, Section 1 and Article XII, Section 1 be amended and Article XII Section 3 be added to require the Board of Education to establish the method of electing the members of the Board of Education and, if the Board of Education establishes trustee areas as the method for electing its members, require that the Board arrange said trustee areas pursuant to the California Education Code?",20,Charter Amendment,12,Education: Districts,5557,10349,15906,0.3493650194895008,M,2,Fail,0,201500048,5557,10349,15906,0.3493650194895008,2,Fail,20,10
201500051,201500051,2015,19,2,LOS ANGELES,2015-04-07,Glendale,0,M,O,Shall the Glendale Municipal Code be amended to increase the rate of the Transient Occupancy Tax (a hotel bed tax paid when overnight visitors rent a room) by 2% to preserve and enhance funding for essential public services and maintain public areas and support quality of life activities?,9,Transient Occupancy Tax,112,Revenues: Tax Creation/Incr./Contin.,9934,6717,16651,0.596600804756471,M,1,Pass,0,201500049,9934,6717,16651,0.596600804756471,1,Pass,1,110
201500052,201500052,2015,19,2,LOS ANGELES,2015-04-14,Vernon,0,M,O,"Shall Chapter 3.7 of Article III of the Vernon City Charter be amended to clarify that the candidate(s) with the next subsequent highest number of votes in an election with multiple seats, shall be elected to fill the unexpired term or terms after all full terms of office are filled by candidate(s) who have received a higher number of votes?",20,Charter Amendment,48,Governance: Elections,29,4,33,0.8787878787878788,M,1,Pass,0,201500050,29,4,33,0.8787878787878788,1,Pass,20,40
201500053,201500053,2015,19,2,LOS ANGELES,2015-04-14,Vernon,0,M,P,"Shall Chapter 7.4 of Article VII of the Vernon City Charter be amended to allow the City Council to fix the duties, tenure and compensation of officers by any means it deems appropriate?",20,Charter Amendment,42,Governance: Personnel/Labor Relations,27,6,33,0.8181818181818182,M,1,Pass,0,201500051,27,6,33,0.8181818181818182,1,Pass,20,40
201500054,201500054,2015,30,2,ORANGE,2015-05-19,Buena Park,0,M,A,"Shall an ordinance be adopted amending the Buena Park General Plan to prohibit, without a vote of the electorate, construction of any residential, commercial, or industrial building or structure on private or public property designated as open space on the general plan land use map?",70,Ordinance,26,Land Use: Voter Approval,3480,4301,7781,0.44724328492481685,M,2,Fail,0,201500052,3480,4301,7781,0.44724328492481685,2,Fail,70,20
201500055,201500055,2015,33,2,RIVERSIDE,2015-06-02,Riverside,0,I,A,(INITIATIVE) Should “An Initiative Measure to Rescind the City of Riverside’s Ban on Storefront and Mobile Marijuana Dispensaries” be adopted?,40,Initiative,22,Land Use: Zoning,9779,14647,24426,0.4003520838450831,M,2,Fail,0,201500053,9779,14647,24426,0.4003520838450831,2,Fail,40,20
201500056,201500056,2015,36,2,SAN BERNARDINO,2015-06-02,Yucca Valley,0,I,X,"(INITIATIVE) Shall the Medical Marijuana Dispensary Authorization and Regulation Initiative Measure be enacted to allow the operation of medical marijuana dispensaries in the jurisdictional boundaries of the Town of Yucca Valley at a rate of one dispensary per every 10,000 residents, and attendant provisions regulating such operations?",40,Initiative,22,Land Use: Zoning,1620,2103,3723,0.43513295729250606,M,2,Fail,0,201500054,1620,2103,3723,0.43513295729250606,2,Fail,40,20
