CO,JUR,CNTYNAME,DATE,PLACE,M/R,LTR,BALQUEST,TYPECODE,TYPENAME,TOPCODE,TOPNAME,YES,NO,TOTAL,PERCENT,REQ,PASSFAIL
             ,2,ALAMEDA,1995-06-06,EMERYVILLE,Measure,A,ADVISORY VOTE ONLY.  Shall the City of Emeryville supplement the annual emergency medical services assessment to implement a Paramedic Program in the Emeryville Fire Department in the amount of twelve dollars ($12.00) for each benefit unit?,30.0,Advisory,33.0,Safety: Fire,235,79,314,0.7484076433121019,A,Pass
7,2,CONTRA COSTA,1995-11-07,CONCORD,Measure,E,"Shall the Mobile Park Rent Stabilization Ordinance (Ordinance No. 94-13) limiting rent increases to Mobilehome Owners on Mobilehome spaces, while permitting Mobilehome Park Owners to receive an annual increase, be adopted?",70.0,Ordinance,82.0,Housing: Rent Control,9393,6003,15396,0.6100935307872175,M,Pass
7,2,CONTRA COSTA,1995-03-07,LAFAYETTE,Measure,C,"Shall the City of Lafayette incur bonded indebtedness not to exceed $13,000,000 with no bonds maturing beyond the year 2025 for the purpose of repairing and reconstructing the City's roads and drains, provided that, at the time any bond is issued, the highest rate required to service all bonds authorized by this measure shall not exceed $21 per $100,000 in assessed value?",11.0,GO Bond,74.0,Facilities: Public Works,3767,1661,5428,0.6939941046425939,T,Pass
17,2,LAKE,1995-09-19,LAKEPORT,Measure,R,"PROPOSED SALES TAX INCREASE ORDINANCE.  Shall an Ordinance be adopted (1) to impose a transactions (sales) and use tax at a maximum rate of one percent to be used exclusively for the repair, replacement, construction or reconstruction of the City' streets and roads systems; (2) to increase the City's spending limit so that monies collected can be used for the repair, replacement, construction or reconstruction of the City's streets and roads systems; (3) which automatically expires ten years from adoption?",4.0,Sales Tax,62.0,Transport Roads,574,488,1062,0.5404896421845574,T,Fail
19,2,LOS ANGELES,1995-02-28,BURBANK,Charter Amendment,1,"Shall proposed Charter Amendment No. 1, amending Section 6 of the Charter of the City of Burbank to provide that the first day that a newly constituted Council shall meet shall be on the first regular working day of May after the election, be ratified?",20.0,Charter Amendment,43.0,Governance: Organization,6527,1097,7624,0.8561122770199371,M,Pass
19,2,LOS ANGELES,1995-02-28,BURBANK,Charter Amendment,2,"Shall proposed Charter Amendment No. 2, amending Section 8 of the Charter of the City of Burbank to clarify the time that ordinances become effective by providing that ordinances become effective at 12:01 a.m. on the 31st day after publication, be ratified?",20.0,Charter Amendment,43.0,Governance: Organization,6380,1122,7502,0.8504398826979472,M,Pass
19,2,LOS ANGELES,1995-02-28,BURBANK,Charter Amendment,3,"Shall proposed Charter Amendment No. 3, amending Section 12 of the Charter of the City of Burbank to conform to current practices by deleting the provision stating that the City Clerk shall conduct and record correspondence between the Council and third parties since such correspondence is actually conducted and recorded by the City Council's Office, be ratified?",20.0,Charter Amendment,43.0,Governance: Organization,5084,2334,7418,0.6853599352925317,M,Pass
19,2,LOS ANGELES,1995-02-28,BURBANK,Charter Amendment,4,"Shall proposed Charter Amendment No. 4, amending Section 17 of the Charter of the City of Burbank to eliminate obsolete language; clarify the powers and duties of the Chief of Police; and to provide that the Chief of Police has the duty and the authority to arrest persons violating the laws of the nation and the county, in addition to the laws of the State and City, be ratified?",20.0,Charter Amendment,42.0,Governance: Personnel/Offices,6347,1454,7801,0.8136136392770158,M,Pass
19,2,LOS ANGELES,1995-02-28,BURBANK,Charter Amendment,5,"Shall proposed Charter Amendment No. 5, amending Sections 26 and 29 of the Charter of the City of Burbank to provide that no person may assume or hold an elective office in the City of Burbank unless such person lives in Burbank and is a registered voter, be ratified?",20.0,Charter Amendment,43.0,Governance: Organization,7143,805,7948,0.8987166582788123,M,Pass
19,2,LOS ANGELES,1995-02-28,BURBANK,Charter Amendment,6,"Shall proposed Charter Amendment No. 6, amending Section 27 of the Charter of the City of Burbank to provide that the City Clerk must publish, not later than twenty (20) days prior to an election, a list of election precincts, designated polling places and election officers for each precinct and to make minor grammatical and punctuation corrections, be ratified?",20.0,Charter Amendment,43.0,Governance: Organization,6358,1205,7563,0.8406716911278593,M,Pass
19,2,LOS ANGELES,1995-04-18,COMPTON,Proposition,A,We the qualified electorate of the City of Compton support the construction of a state prison in the City of Compton.,30.0,Advisory,31.0,Safety Jails,625,4195,4820,0.12966804979253113,A,Fail
19,2,LOS ANGELES,1995-04-18,COMPTON,Proposition,B,"Shall there be a full-time mayor with an annual salary of $80,000?",70.0,Ordinance,41.0,Governance: Benefits/Compensation,859,3909,4768,0.18015939597315436,M,Fail
19,2,LOS ANGELES,1995-04-18,COMPTON,Proposition,C,"Shall there be a full-time Council with an annual salary of $16,000?",70.0,Ordinance,41.0,Governance: Benefits/Compensation,650,4124,4774,0.13615416841223293,M,Fail
19,2,LOS ANGELES,1995-11-07,COVINA,Measure,M,ADVISORY VOTE ONLY.  Should the utility tax be continued until another revenue source is found in order to avoid drastic cuts in vital services?,30.0,Advisory,100.0,Other,2584,2190,4774,0.5412651864264767,A,Pass
19,2,LOS ANGELES,1995-03-07,HAWAIIAN GARDENS,Measure,A1,"This is a Measure to amend the Hawaiian Gardens Municipal Code dealing with the Office of City Clerk of the City of Hawaiian Gardens.  This Measure would make the Office of City Clerk an elective office to be filled by a vote of the registered voters of City.  This Measure also provides the term of office, for either two (2) years or four (4) years, if it is determined that the Clerk is filled by appointment by the City Council.  This Measure must be adopted by a majority of the voters cast at this election in order to take effect.  A ""Yes vote is favor of electing a City Clerk.  A ""No"" vote is a vote to have the position of City Clerk remain an appointed office.  The term of Office for the City Clerk, if this Measure passes, shall be determined by a majority of the voters cast a election.  The above statement is an impartial analysis of Measure ""A"".  If you desire a copy of Measure ""A"". please call the Clerk's Office at Hawaiian Gardens City Hall, telephone number (310) 420-2641, a copy will be mailed at no cost.",70.0,Ordinance,43.0,Governance: Organization,596,355,951,0.6267087276550999,M,Pass
19,2,LOS ANGELES,1995-03-07,HAWAIIAN GARDENS,Measure,A2,Shall the term of office be city clerk (described under A1) be two years?,70.0,Ordinance,43.0,Governance: Organization,503,297,800,0.62875,M,Pass
19,2,LOS ANGELES,1995-03-07,HAWAIIAN GARDENS,Measure,A3,Shall the term of office be city clerk (described under A1) be four years?,70.0,Ordinance,43.0,Governance: Organization,306,379,685,0.4467153284671533,M,Fail
19,2,LOS ANGELES,1995-11-07,HERMOSA BEACH,Measure,E,REPEALING THE TWO EXCEPTIONS TO THE CITYWIDE BAN ON OIL DRILLING.  Shall the Ordinance which would eliminate the current Municipal Code provisions which exempt the City Yard and the former South School playground sites from the citywide ban on oil drilling be adopted?,70.0,Ordinance,50.0,Environment,2505,1940,4445,0.5635545556805399,M,Pass
19,2,LOS ANGELES,1995-11-07,HERMOSA BEACH,Measure,F,"CROSSING GUARD SERVICES SPECIAL TAX.  Shall the special tax proposed in Ordinance No. 95-1135-U of the City of Hermosa Beach against parcels within the City to finance crossing guard services, commencing in fiscal year 1996-7, be levied?",3.0,Property Tax,30.0,Safety,2637,1598,4235,0.622668240850059,T,Fail
19,2,LOS ANGELES,1995-11-07,HERMOSA BEACH,Measure,G,AMENDMENT TO THE MUNICIPAL CODE REPEALING OBSOLETE AND UNENFORCEABLE PROVISIONS.  Shall the Ordinance repealing provisions of the Hermosa Beach Municipal Code which require City employees to be United States citizens and which require the automatic termination of any Civil Service Board member who files to run for an elective office of the City be adopted?,70.0,Ordinance,42.0,Governance: Personnel/Offices,2521,1386,3907,0.6452521115945739,M,Pass
19,2,LOS ANGELES,1995-11-07,HERMOSA BEACH,Measure,H,AMENDMENT TO THE MUNICIPAL CODE EXEMPTING DEPARTMENT HEADS FROM THE CIVIL SERVICE SYSTEM.  Shall the Ordinance removing City department heads from the City's civil service system be adopted?,70.0,Ordinance,42.0,Governance: Personnel/Offices,2135,1742,3877,0.5506835181841631,M,Pass
19,2,LOS ANGELES,1995-11-07,LANCASTER,Measure,I,Shall the City of Lancaster have a directly elected Mayor?,70.0,Ordinance,40.0,Governance,6873,1388,8261,0.8319816002905217,M,Pass
19,2,LOS ANGELES,1995-11-07,LANCASTER,Measure,J,Shall the term of office be for two years or four years?,70.0,Ordinance,40.0,Governance,5708,2207,7915,0.7211623499684144,M,Pass
19,2,LOS ANGELES,1995-04-11,LOS ANGELES,Charter Amendment,1,"REVISING CITY'S CONTRACTING AND PURCHASING PROCEDURES AND METHOD OF PAYMENT FOR MATERIALS, SUPPLIES, EQUIPMENT AND SERVICES.  Shall the Charter be amended to provide the city with alternative methods of purchasing and contracting and payment for materials, supplies, equipment and services; authorize the City Council to establish minimum monetary limits for those contracts requiring competitive bidding and City attorney approval and maximum monetary limits for those contracts which the general managers of certain departments can approve; authorize the City Council to modify the criteria for payment of demands, to delegate the power of approval of a declaration of urgency excusing the requirement of competitive bidding and establish maximum terms for contracts not requiring council approval; and allow for electronic bids and contracts and cooperative purchasing agreements with other governmental agencies?",20.0,Charter Amendment,47.0,Governance: Contracting,168684,41147,209831,0.8039040942472752,M,Pass
19,2,LOS ANGELES,1995-04-11,LOS ANGELES,Charter Amendment,2,"APPOINTMENT AND REMOVAL OF TOP ADMINISTRATIVE OFFICERS IN CITY DEPARTMENTS, OFFICES AND BUREAUS.  Shall the Charter be amended to give the Mayor and the City Council to sole responsibility for the appointment and removal of the top City administrative officers?",20.0,Charter Amendment,42.0,Governance: Personnel/Offices,130590,80974,211564,0.6172600253351231,M,Pass
19,2,LOS ANGELES,1995-04-11,LOS ANGELES,Charter Amendment,3,"APPOINTMENT OF AN INSPECTOR GENERAL BY THE POLICE COMMISSION.  Shall the Charter be amended to empower the Police commission to appoint and remove an Inspector General, exempt from civil service, who will be responsible for auditing, investigating, and overseeing the Police Department's handling of complaints against police officers and civilian employees and who will perform such other duties as may be assigned by the Commission?",20.0,Charter Amendment,32.0,Safety Police,136179,73232,209411,0.6502953522021289,M,Pass
19,2,LOS ANGELES,1995-04-11,LOS ANGELES,Charter Amendment,4,BOARD OF ADMINISTRATION OF THE CITY EMPLOYEES' RETIREMENT SYSTEM.  Shall the Charter be amended to increase the membership of the Board of Administration of the City Employees' Retirement System from five to seven?,20.0,Charter Amendment,43.0,Governance: Organization,131819,76938,208757,0.6314470891994041,M,Pass
19,2,LOS ANGELES,1995-04-11,LOS ANGELES,Charter Amendment,5,"CITY EMPLOYEES' RETIREMENT SYSTEM, ADMINISTRATIVE EXPENSES.  Shall the Charter be amended to permit the City Employees' Retirement System to pay its administrative expenses directly from retirement fund assets?",20.0,Charter Amendment,43.0,Governance: Organization,148093,759711,907804,0.1631332314023732,M,Fail
19,2,LOS ANGELES,1995-04-11,LOS ANGELES,Charter Amendment,6,"CITY EMPLOYEES' RETIREMENT SYSTEM, LEGAL ENTITIES AS BENEFICIARIES.  Shall the Charter be amended to permit the City Employees' Retirement System to designate legal entities as beneficiaries?",20.0,Charter Amendment,41.0,Governance: Benefits/Compensation,153191,51673,204864,0.7477692517963137,M,Pass
19,2,LOS ANGELES,1995-04-11,LOS ANGELES,Charter Amendment,7,"DEPARTMENT OF PENSIONS.  Shall the Charter amended to make federal compensation limits applicable to safety plan members, to provide ordinance authority to comply with future federal changes affecting safety plan members and to make effective on publication ordinances affecting members' health benefit changes?",20.0,Charter Amendment,41.0,Governance: Benefits/Compensation,157750,43062,200812,0.7855606238670996,M,Pass
19,2,LOS ANGELES,1995-04-11,LOS ANGELES,Charter Amendment,8,"AUTHORIZATION FOR THE CREATION OF SUBACCOUNT WITHIN THE AIRPORT REVENUE FUND AND PROVISIONS FOR DEPOSITS INTO AND EXPENDITURES FROM SUCH SUBACCOUNT.  Shall the City of Los Angeles Charter be amended to permit the revenues, income and expenses associated with each airport owned, operated or controlled by the City of Los angeles, to be segregated into separate subaccount within the airport Revenue Fund, and to authorize the Department to pay the debts and expenses of each such airport only from the subaccount or subaccount of the airport; to allow the Department of Airports to alter the priority of payment as between debt service, the Maintenance and Operation Reserve Fund and maintenance and operation expenses in any new bonds issued; and to exclude from the Airport Revenue Fund revenues received for the payment of any special purpose indebtedness of the Department of Airports for the use of special purpose facilities?",20.0,Charter Amendment,40.0,Governance,158182,47875,206057,0.7676613752505375,M,Pass
19,2,LOS ANGELES,1995-06-06,LOS ANGELES,Proposition,1,"GENERAL OBLIGATION BONDS FOR POLICE FACILITIES.  Shall the City of Los Angeles incur bonded indebtedness for acquisition, construction and improvement of four police stations and police parking structures and new detective squad rooms for the West Valley and Harbor police stations, and child care facilities for police personnel in the South Los Angeles, Central, West Los Angeles and Valley areas, and a new building and improvement of existing facilities for use as In Service Training facilities at Elysian Park Police Academy, and improvements to various police substations, and any unexpended authorization remaining from any of the above projects shall be added to the others if necessary to complete them and thereafter may be used for other police facilities, the total not to exceed $171,000,000?",11.0,GO Bond,32.0,Safety Police,109746,134723,244469,0.44891581345692094,T,Fail
19,2,LOS ANGELES,1995-06-06,LOS ANGELES,Charter Amendment,2,"MODIFICATIONS TO POLICE DISCIPLINARY PROCEDURES.  Shall the Charter be amended to correct certain operational problems in the police officer disciplinary process identified by the Chief of Police, to clarify current language, and to codify and expand certain procedural protections of police officers?",20.0,Charter Amendment,32.0,Safety Police,134723,34332,169055,0.7969181627281062,M,Pass
19,2,LOS ANGELES,1995-03-07,PASADENA,Proposition,1,"Shall the Charter of the City of Pasadena be amended to repeal a section concerning elections to the Pasadena Unified School District Board of Education, namely Section 705 (""BALLOTS FOR PRIMARY ELECTION"") dealing with the manner of printing ballots, and to amend Section 707 (""CANVASS OF RETURNS"") to change the deadline for submitting absentee ballots for primary election to such board so that the California Elections Code will govern such topics, and to return itself but approves the canvass submitted to it by the City Clerk on the second Tuesday after the primary nominating election?",20.0,Charter Amendment,12.0,Education: Districts,9556,2290,11846,0.8066858011143002,M,Pass
19,2,LOS ANGELES,1995-03-07,PASADENA,Proposition,2,"Shall the Charter of  the City of Pasadena be amended to amend Section 1203, dealing with filing periods prior to the primary election, so that the California Elections Code will govern such filing deadline, and amending Section 1207 to provide that the City Council does not canvass the return itself but approves and adopts the canvass submitted to it by the City Clerk?",20.0,Charter Amendment,48.0,Governance: Elections,9619,2118,11737,0.8195450285422169,M,Pass
19,2,LOS ANGELES,1995-03-07,PASADENA,Proposition,3,"Shall the Charter of the City of Pasadena be amended to set the annual light and power fund transfer to the city's general fund at eight percent (8%) of the electric utility's gross income, not to exceed its net income?",20.0,Charter Amendment,74.0,Facilities: Public Works,5848,6756,12604,0.463979688987623,M,Fail
19,2,LOS ANGELES,1995-04-18,POMONA,Proposition,A,"CARD CLUB OPERATIONS ACT.  Shall no more than two card clubs in which games permitted by law, such as draw poker, low-ball poker, and pan, and licensed by an approved license agreement be permitted to operate in designated zones (industrial and fairground zones) within the City of Pomona pursuant to City ordinance?",40.0,Initiative,90.0,Gambling,5056,5365,10421,0.4851741675463007,M,Fail
19,2,LOS ANGELES,1995-04-18,POMONA,Proposition,A-1,"(Advisory Measure Only)  Shall such a card club be permitted at the location of Reservoir Street and Walnut Avenue, south of the (60) Freeway?",30.0,Advisory,90.0,Gambling,4844,5411,10255,0.47235494880546075,A,Fail
19,2,LOS ANGELES,1995-04-18,POMONA,Proposition,A-2,(Advisory Measure Only)  Shall such a card club be permitted at the location of the Los Angeles County Fairgrounds at Fairplex Drive and McKinley Avenue?,30.0,Advisory,90.0,Gambling,4737,5516,10253,0.46201111869696676,A,Fail
19,2,LOS ANGELES,1995-04-18,POMONA,Proposition,A-3(1),"(Advisory Measure Only)  If card clubs designated in Proposition A are approved, should the City utilize the revenues earned from the card clubs to reduce the utility tax, and: Increase Police Services?",30.0,Advisory,90.0,Gambling,7528,2097,9625,0.7821298701298701,A,Pass
19,2,LOS ANGELES,1995-04-18,POMONA,Proposition,A-3(2),"(Advisory Measure Only)  If card clubs designated in Proposition A are approved, should the City utilize the revenues earned from the card clubs to reduce the utility tax, and: Enhance Youth Programs, such as parks and recreation activities?",30.0,Advisory,90.0,Gambling,6665,2660,9325,0.7147453083109919,A,Pass
19,2,LOS ANGELES,1995-04-18,POMONA,Proposition,A-3(3),"(Advisory Measure Only)  If card clubs designated in Proposition A are approved, should the City utilize the revenues earned from the card clubs to reduce the utility tax, and: Promote Economic Development which includes attracting additional businesses and shopping opportunities?",30.0,Advisory,90.0,Gambling,6768,2524,9292,0.7283684890228154,A,Pass
19,2,LOS ANGELES,1995-04-18,POMONA,Proposition,A-3(4),"(Advisory Measure Only)  If card clubs designated in Proposition A are approved, should the City utilize the revenues earned from the card clubs to reduce the utility tax, and: Expand Neighborhood Revitalization, such as Code compliance and Anti-Crime Programs?",30.0,Advisory,90.0,Gambling,6882,2416,9298,0.7401591740159174,A,Pass
19,2,LOS ANGELES,1995-04-18,POMONA,Proposition,B,"Anti-Card Club Casino Act.  Shall the initiative ordinance which prohibits card clubs in which games as permitted by law, including but not limited to, draw poker, low-ball poker, pan, stud poker, hold'em, super pan-9, pail gow poker, and pai gow, be adopted to prohibit existing and prospective card clubs?",40.0,Initiative,90.0,Gambling,5029,4987,10016,0.5020966453674122,M,Pass
19,2,LOS ANGELES,1995-04-18,POMONA,Proposition,C,"City Police Services.  Shall the City of Pomona Charter be amended to require that police services as required by law, be performed by a Pomona City Police Department and City employees, and prohibit such services from being contracted with the County of Los Angeles or other police department agencies?",20.0,Charter Amendment,32.0,Safety Police,6197,3534,9731,0.6368307470969068,M,Pass
19,2,LOS ANGELES,1995-11-07,POMONA,Proposition,K,"PROPOSED AMENDMENT TO MEASURE B AUTHORIZING THE ESTABLISHMENT OF ONE (1) CARD CLUB AND ADDING REGULATORY PROVISIONS TO THE POMONA CITY CODE.  Shall an ordinance be enacted to allow and regulate one (1) card club in the City of Pomona located in an existing industrial zone at Reservoir Street and Walnut Avenue, south of the 60 Freeway, at which any games permitted by law, such as draw poker, low ball poker, and panguinque (pan), may be played, in order to provide revenue for the City of Pomona?",70.0,Ordinance,90.0,Gambling,5964,6754,12718,0.46894165749331657,M,Fail
19,2,LOS ANGELES,1995-03-07,REDONDO BEACH,Proposition,A,"RUNOFF ELECTION WITH WRITE-IN CANDIDATE.  Shall Section 18.4 of Article XVIII of the Charter of the City of Redondo Beach be amended to provide that when any person qualifies as a write-in candidate for a runoff election for a City office, except elections for members of the Board of Education, the candidate who receives a plurality of the votes cast for the office shall be elected?",20.0,Charter Amendment,48.0,Governance: Elections,5635,1333,6968,0.8086969001148105,M,Pass
19,2,LOS ANGELES,1995-03-07,REDONDO BEACH,Proposition,B,ORGANIZATION DATE FOR BOARDS AND COMMISSIONS.  Shall Section 15.4 of Article XV of the Charter of the City of Redondo Beach be amended to provide that each board or commission shall meet as soon after the first day of October of every year as practical for the purpose of organizing?,20.0,Charter Amendment,43.0,Governance: Organization,6272,589,6861,0.9141524559102172,M,Pass
19,2,LOS ANGELES,1995-03-07,REDONDO BEACH,Proposition,C,"REGISTERED VOTER SUBSTITUTED FOR ""ELECTION.""  Shall Sections 6.1, 8.1, 10.3, 15.7, 15.8, 15.10, 16.1 and 19.11 of the Charter of the City of Redondo Beach be amended to substitute the word ""registered voter"" or similar term for the words ""elector,"" ""qualified elector,"" ""resident elector,"" and qualified voter"" where they appear in said sections?",20.0,Charter Amendment,48.0,,5806,1043,6849,0.847714994889765,M,Pass
19,2,LOS ANGELES,1995-03-07,REDONDO BEACH,Proposition,D,"APPOINTIVE OFFICERS.  Shall Section 14 and 14.2-14.8 inclusive of Article XIV, which require the appointment of certain officers of the City, be deleted from the Charter of the City of Redondo Beach?",20.0,Charter Amendment,43.0,Governance: Organization,4963,1613,6576,0.7547141119221411,M,Pass
19,2,LOS ANGELES,1995-03-07,REDONDO BEACH,Proposition,E,"ISSUANCE OF PERMITS TO CARRY CONCEALED WEAPONS-ADVISORY VOTE ONLY.  Shall the City Council of the City of Redondo Beach adopt a resolution requesting that the Legislature of the State of California change the law to require the chief of police of any city and the sheriff of any county to issue a permit to carry a concealed weapon in public to any person who has passed an approved firearms training course, unless such person is otherwise prohibited by law therefrom or poses a serious danger to the lives or personal safety of others?",30.0,Advisory,30.0,Safety,3484,4155,7639,0.4560806388270716,M,Fail
19,2,LOS ANGELES,1995-03-07,REDONDO BEACH,Proposition,F,"SUBSTITUTION OF SCHOOL DISTRICT FOR CITY DEPARTMENT OF EDUCATION.  Shall Section 16 of Article XVI of the Charter of the City of Redondo Beach be amended to substitute the ""Redondo Beach Unified School District"" for the City ""Department of Education"" as the body having jurisdiction over the public schools of the City and retitle Article XVI to reflect such change?",20.0,Charter Amendment,12.0,Education: Districts,5478,1385,6863,0.7981932099664869,M,Pass
