MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,Passfail_sum,typerec,topicrec
201600003,2016,4,1,BUTTE,2016-06-07,Butte,0,M,E,"(INITIATIVE) Shall the ordinance entitled ""Ordinance Imposing a Ban on Hydraulic Fracturing Within Butte County"" be adopted?",40,Initiative,54,Environment: Regulation/Mitigation,45988,17991,63979,0.7187983557104675,M,1,Pass,0,201600003,45988,17991,63979,0.7187983557104675,1,Pass,40,50
201600004,2016,4,1,BUTTE,2016-06-07,Butte,0,M,G,"Shall Ordinance No. 4106, an Ordinance of the County of Butte amending Sections 35-2 and 35-5 to Chapter 35 of the Butte County Code entitled the ""Right to Farm Ordinance"" be adopted?",70,Ordinance,22,Land Use: Zoning,36074,25801,61875,0.5830141414141414,M,1,Pass,0,201600004,36074,25801,61875,0.5830141414141414,1,Pass,70,20
201600005,2016,4,1,BUTTE,2016-06-07,Butte,0,M,H,"Shall Ordinance No. 4107, an Ordinance of the County of Butte amending Sections 34A-2, 34A-3, 34A-4, 34A-13, 34A-16 AND 34A-19 of Chapter 34A of the Butte County Code, entitled ""Restrictions on Cultivation of Medical Marijuana"" be adopted?",70,Ordinance,22,Land Use: Zoning,36290,27101,63391,0.5724787430392327,M,1,Pass,0,201600005,36290,27101,63391,0.5724787430392327,1,Pass,70,20
201600006,2016,4,1,BUTTE,2016-11-08,Butte,0,M,M1,"Shall an existing special property tax to fund standby costs of providing emergency room services at the Orchard Hospital, in the amount of $70 per residential equivalent unit per year for an additional ten years (vacant parcels and parcels without residential units shall not be subject to the tax) to raise approximately $330,000.00 per year, as enacted by Biggs Resolution 2016-14, and a corresponding increase in the City's spending limit, be approved? ",3,Property Tax,36,Safety: Emergency Medical/Paramedic,1177,1156,2333,0.5045006429489927,T,2,FailT,0,201600006,1177,1156,2333,0.5045006429489927,2,FailT,1,30
201600007,2016,4,1,BUTTE,2016-11-08,Butte,0,M,L,"(INITIATIVE) Shall the ordinance entitled ""Medical Cannabis Cultivation and Commerce"" be adopted?",40,Initiative,22,Land Use: Zoning,40320,50079,90399,0.4460226329937278,M,2,Fail,0,201600007,40320,50079,90399,0.4460226329937278,2,Fail,40,20
201600008,2016,5,1,CALAVERAS,2016-06-07,Calaveras,0,M,A,"Shall the order adopted on January 25, 2016 by the Calaveras Local Agency Formation Commission ordering the formation of a District in the territory described, known as the Calaveras County Resource Conservation District, be approved?",70,Ordinance,44,Governance: Incorporation/Formation/Annexation,7642,5248,12890,0.5928626842513577,M,1,Pass,0,201600008,7642,5248,12890,0.5928626842513577,1,Pass,70,40
201600009,2016,5,1,CALAVERAS,2016-11-08,Calaveras,0,M,C,"Shall the Ordinance establishing a cannabis cultivation tax of $2.00 per square foot of licensed outdoor/mixed canopy area, increasing to $45.00 per pound maximum; and $5.00 per square foot of licensed indoor canopy area, increasing to $70.00 per pound maximum; and a gross proceeds tax of (7%) on the manufacturing of cultivated cannabis; and a gross proceeds tax of (7%) on medicinal or legal cannabis storefronts and collectives for general governmental purposes be adopted?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,15302,7488,22790,0.671434839842036,M,1,Pass,0,201600009,15302,7488,22790,0.671434839842036,1,Pass,1,110
201600010,2016,5,1,CALAVERAS,2016-11-08,Middle River CSD,1,M,E,Shall the parcel tax for parcels within the Middle River Community Service District increase from $100.00 to $200.00 per year for developed parcels and from $75.00 to $100.00 per year for undeveloped parcels?,3,Property Tax,111,Revenues: Tax Repeal/Reduction/Limit,25,24,49,0.5102040816326531,T,2,FailT,0,201600010,25,24,49,0.5102040816326531,2,FailT,1,110
201600011,2016,5,1,CALAVERAS,2016-11-08,Calaveras,0,M,D,(INITIATIVE) Shall an initiative measure to regulate the cultivation of cannabis for commercial and non-commercial activities within authorized zones in the unincorporated areas of Calaveras County be adopted?,40,Initiative,22,Land Use: Zoning,10722,12365,23087,0.46441720448737384,M,2,Fail,0,201600011,10722,12365,23087,0.46441720448737384,2,Fail,40,20
201600012,2016,5,1,CALAVERAS,2016-11-08,Calaveras,0,R,5,Shall Steven Wayne Kearney be recalled (removed) from the office of County Supervisor?,50,Recall,46,Governance: Recall,2536,1645,4181,0.6065534561109782,M,1,Pass,0,201600012,2536,1645,4181,0.6065534561109782,1,Pass,50,40
201600014,2016,7,1,CONTRA COSTA,2016-11-08,Contra Costa,0,M,X,"To implement a Transportation Expenditure Plan to continue: Repairing potholes/fixing roads; Improving BART capacity/reliability; Improving Highways 680, 80, 24, and 4; Enhancing bus/transit including for seniors and people with disabilities; Increasing bicycle/pedestrian safety; Improving air quality; Reducing traffic; shall voters adopt the ordinance augmenting the sales tax by ½%, raising ninety-seven million dollars for transportation improvements annually for 30 years with independent oversight, audits, and all money benefitting local residents?",4,Sales Tax,60,Transport,278098,160165,438263,0.6345459233382695,T,2,FailT,0,201600013,278098,160165,438263,0.6345459233382695,2,FailT,1,60
201600015,2016,7,1,CONTRA COSTA,2016-11-08,Contra Costa CSA # R-7A,1,M,Y,"Shall the appropriations limit under California Article XIII-B for County Service Area R-7A (Alamo Parks and Recreation) be increased to $1,650,000 and adjusted for changes in the cost-of-living and population, with the increase effective for the Fiscal Years 2015/2016 through 2018/2019 (inclusive) to provide for the expenditure of funds that will be available to the Service Area during the stated fiscal years?",60,Gann Limit,110,Revenues,5721,2334,8055,0.71024208566108,M,1,Pass,0,201600014,5721,2334,8055,0.71024208566108,1,Pass,60,110
201600016,2016,9,1,EL DORADO,2016-06-07,El Dorado,0,M,A,"Shall the Preamble of the El Dorado County Charter, be amended, to change the wording of the introductary statement of the County Charter, the Preamble, to reflect a new statement of intent and purpose of the Charter?",20,Charter Amendment,40,Governance,28454,25260,53714,0.5297315411252187,M,1,Pass,0,201600015,28454,25260,53714,0.5297315411252187,1,Pass,20,40
201600017,2016,9,1,EL DORADO,2016-06-07,El Dorado,0,M,J,Shall section 210 c. of the El Dorado County Charter be deleted from the Charter because the substance of the section is now covered by general law after passage of Proposition 218 in November 1996?,20,Charter Amendment,26,Land Use: Voter Approval,33665,19529,53194,0.6328721284355379,M,1,Pass,0,201600016,33665,19529,53194,0.6328721284355379,1,Pass,20,20
201600018,2016,9,1,EL DORADO,2016-06-07,Cameron Estates CSD,1,M,B,"(ADVISORY) Should the General Plan be amended to change the zoning of approximately 3100 acres adjacent to Cameron Estates, known as Marble Valley and Lime Rock Valley, to increase the maximum number of allowable dwelling units from 400 to approximately 4,035 dwelling units?",30,Advisory,22,Land Use: Zoning,33,382,415,0.07951807228915662,M,2,Fail,0,201600017,33,382,415,0.07951807228915662,2,Fail,30,20
201600019,2016,9,1,EL DORADO,2016-06-07,El Dorado,0,M,E,"(INITIATIVE) Shall the ordinance be adopted amending the El Dorado County General Plan to (1) change when and how El Dorado County mitigates impacts to traffic levels of service, (2) impose restrictions on use of tax revenue and mitigation fees and on formation of infrastructure financing districts, and (3) require El Dorado County to make findings of compliance with those policies prior to approving any residential development project of five or more units, as more fully described in the proposed ordinance?",40,Initiative,21,Land Use: Growth Cap/Boundary,31406,28583,59989,0.523529313707513,M,1,Pass,0,201600018,31406,28583,59989,0.523529313707513,1,Pass,40,20
201600020,2016,9,1,EL DORADO,2016-06-07,El Dorado,0,M,G,"(INITIATIVE) Shall the ordinance be adopted to (1) add, amend, or delete fifteen distinct policies in the El Dorado County General Plan concerning land use, agriculture, mixed use, cultural and historical resources, and water supply and (2) preclude El Dorado County from approving any future discretionary project until it implements twelve enumerated General Plan policies related to community design guidelines, cultural and historical resources, water supply, and scenic corridors, as more fully described in the proposed ordinance?",40,Initiative,22,Land Use: Zoning,29489,30242,59731,0.4936967403860642,M,2,Fail,0,201600019,29489,30242,59731,0.4936967403860642,2,Fail,40,20
201600021,2016,9,1,EL DORADO,2016-11-08,Cameron Estates CSD,1,M,K,"Shall the Cameron Estates Community Services District levy a special tax for the purpose of providing needed road improvements, upgrades, and maintenance at an annual rate not to exceed an increase of $150.00 per year parcel over and above the current rate, for a total not to exceed $400.00 per parcel year?",3,Property Tax,62,Transport: Roads,273,189,462,0.5909090909090909,T,2,FailT,0,201600020,273,189,462,0.5909090909090909,2,FailT,1,60
201600022,2016,9,1,EL DORADO,2016-11-08,Hickok Road CSD,1,M,M,"Shall the Hickock Road Community Services district increase the current annual special tax to fund maintaining, upgrading, and improving District roads by $100 per parcel year such that the total tax will increase from $200 to $300 per parcel year?",3,Property Tax,62,Transport: Roads,32,44,76,0.42105263157894735,T,2,FailT,0,201600021,32,44,76,0.42105263157894735,2,FailT,1,60
201600023,2016,9,1,EL DORADO,2016-11-08,Marble Mountain CSD,1,M,N,"Shall the Board of Directors of the Marble Mountain Community Services District be authorized to annually assess each parcel of real property located within the District which is not included within the boundaries of Road Improvement Zone ""1"" a special tax in an amount up to, but not exceeding, the amount of $400 per parcel to be extended for the maintenance and improvement of roadways located in those areas of the Districy lying outside of Road Improvement Zone '1'?",3,Property Tax,62,Transport: Roads,72,38,110,0.6545454545454545,T,2,FailT,0,201600022,72,38,110,0.6545454545454545,2,FailT,1,60
201600024,2016,10,1,FRESNO,2016-11-08,Fresno,0,M,T,Shall the Section 21 of the Fresno County Charter be amended to provide that the Chief Probation Officer shall be appointed by and serve at the pleasure of the County Administrative Officer? ,20,Charter Amendment,43,Governance: Organization,113664,126895,240559,0.47249946998449444,M,2,Fail,0,201600023,113664,126895,240559,0.47249946998449444,2,Fail,20,40
201600025,2016,10,1,FRESNO,2016-11-08,Fresno,0,M,U,"Shall the Fresno County Charter be amended as follows: Amend section 16 to remove the Director of Public Works as county surveyor and authorizing Director of Public Works to appoint a county surveyor; Amend sections 14 and 16 to change the Public Administrator from an elected position to one appointed by the County Administrative Officer; Amend section 12(h) regarding a local preference for Fresno County goods, services and supplies; and Repeal section 32 obsolete language? ",20,Charter Amendment,43,Governance: Organization,104288,132101,236389,0.4411711204836096,M,2,Fail,0,201600024,104288,132101,236389,0.4411711204836096,2,Fail,20,40
201600026,2016,12,1,HUMBOLDT,2016-11-08,Humboldt,0,M,S,"To maintain and improve essential services, including public safety, job creation; crime investigation/prosecution; environmental cleanup/restoration; children/family mental health; drug rehabilitation; other County services, shall Humboldt County establish a $1 - $3 per square foot, based upon type of grow, annual commercial marijuana cultivation tax generating approximately $7.3 million annually until ended by voters, with all revenue for the County, none for the State, annual audits, and public review?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,37523,19505,57028,0.657975029809918,M,1,Pass,0,201600025,37523,19505,57028,0.657975029809918,1,Pass,1,110
201600027,2016,12,1,HUMBOLDT,2016-11-08,Humboldt,0,M,U,"To supplement existing funding for maintenance, rehabilitation, and reconstruction of existing transportation including trails and transit; local match leveraging of state/federal funds for road, trail, and transit infrastructure; and retention of existing commercial air service, shall the Humboldt County voters adopt an ordinance establishing a 1/2¢ per dollar sales tax throughout Humboldt County for 20 years, raising approximately $10,000,000 annually, requiring independent audits, separate accounts, public oversight and local revenue control?",4,Sales Tax,60,Transport,27046,28344,55390,0.4882830835890955,T,2,FailT,0,201600026,27046,28344,55390,0.4882830835890955,2,FailT,1,60
201600028,2016,12,1,HUMBOLDT,2016-11-08,Humboldt,0,M,Q,Shall the Humboldt County Board of Supervisors establish by ordinance the Department of Finance and consolidate therewith the offices of the county Auditor-Controller and county Treasurer-Tax Collector?,70,Ordinance,44,Governance: Incorporation/Formation/Annexation,23907,27793,51700,0.46241779497098645,M,2,Fail,0,201600027,23907,27793,51700,0.46241779497098645,2,Fail,70,40
201600029,2016,12,1,HUMBOLDT,2016-11-08,Humboldt,0,M,R,Shall the Humboldt County Board of Supervisors create an elective office for the Department of Finance?,70,Ordinance,43,Governance: Organization,24964,26693,51657,0.4832646107981493,M,2,Fail,0,201600028,24964,26693,51657,0.4832646107981493,2,Fail,70,40
201600030,2016,12,1,HUMBOLDT,2016-11-08,Humboldt,0,M,V,"Shall an ordinance be adopted to preserve mobile home parks in unincorporated areas of Humboldt County as important sources of affordable housing by: regulating pass-through fees, regulating fee spikes when a home is sold, and regulating monthly lot rents, which would be limited to annual increases pegged to the consumer price index; and shall government administrative costs be offset by a $5 monthly fee charged to mobile home park residents?",70,Ordinance,82,Housing: Rent Control,30250,25136,55386,0.5461669013830209,M,1,Pass,0,201600029,30250,25136,55386,0.5461669013830209,1,Pass,70,80
201600031,2016,14,1,INYO,2016-11-08,Inyo,0,M,I,"Shall the County ordinance adding Chapter 3.50 to the Inyo County Code imposing a 5% gross receipts tax on COMMERCIAL cannabis businesses (but no less than $1,250 per growing cycle for cultivation BUSINESSES) in the unincorporated area of Inyo County, and authorizing the Board of Supervisors to increase the tax to a maximum of 12.5% over time, be adopted?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,4849,2679,7528,0.6441285866099894,M,1,Pass,0,201600030,4849,2679,7528,0.6441285866099894,1,Pass,1,110
201600032,2016,14,1,INYO,2016-11-08,Inyo,0,M,G,"(ADVISORY) Should the County of Inyo adopt regulations which would allow COMMERCIAL cannabis businesses within the County, including but not limited to, cultivation, processing, manufacturing, sales, distribution, warehousing and transportation of MEDICAL cannabis?",30,Advisory,22,Land Use: Zoning,4250,3539,7789,0.5456412889973039,M,1,Pass,0,201600031,4250,3539,7789,0.5456412889973039,1,Pass,30,20
201600033,2016,14,1,INYO,2016-11-08,Inyo,0,M,H,"(ADVISORY) If Proposition 64, the California Marijuana Legalization Initiative Statute, passes, should the County of Inyo adopt regulations which would allow COMMERCIAL cannabis businesses within the County, including but not limited to, cultivation, processing, manufacturing, sales, distribution, warehousing and transportations of RECREATIONAL cannabis?",30,Advisory,22,Land Use: Zoning,4129,3586,7715,0.5351911860012962,M,1,Pass,0,201600032,4129,3586,7715,0.5351911860012962,1,Pass,30,20
201600034,2016,15,1,KERN,2016-06-07,Bear Valley CSD,1,M,G,"To maintain police services, may the Bear Valley Community Services District increase the voter-approved annual special tax on each parcel within the District, for the limited purpose of paying salaries and benefits to Bear Valley Police Department personnel, by $167, from $80 to $247 beginning on July 1, 2016, subject to an annual cost of living adjustment not to exceed 3% as provided in Board Resolution 15/16-27?",3,Property Tax,32,Safety: Police,1049,1505,2554,0.4107282693813626,T,2,FailT,0,201600033,1049,1505,2554,0.4107282693813626,2,FailT,1,30
201600035,2016,15,1,KERN,2016-06-07,Kern,0,M,F,"Shall the Kern County Board of Supervisors enact a 0.125 percent (1/8 cent) transactions and use tax on all qualified retail sales within the County of Kern, for the benefit of the Kern County Public Library system, in accordance with California Revenue and Taxation Code §7286.59?",4,Sales Tax,71,Facilities: Libraries,69375,64860,134235,0.5168175215107833,T,2,FailT,0,201600034,69375,64860,134235,0.5168175215107833,2,FailT,1,70
201600036,2016,16,1,KINGS,2016-06-07,Kings,0,M,K,"Shall the Public Safety 1/4 cent Transactions and Use Tax Ordinance be adopted? The County and its four cities anticipate the measure will permanently generate approximately $4 million annually to be used exclusively for the police and fire departments of these five municipalities. The tax would not be levied if the 1/4 cent Proposition 30 sales tax is extended by the state beyond January 1, 2017.",4,Sales Tax,34,Safety: Multiple Emergency Services,12583,6398,18981,0.6629260839787156,T,2,FailT,0,201600035,12583,6398,18981,0.6629260839787156,2,FailT,1,30
201600037,2016,16,1,KINGS,2016-11-08,Kings,0,M,K,"Shall the Public Safety ¼ cent Transactions and Use Tax Ordinance be adopted? The County and its four cities anticipate the measure will permanently generate approximately $4 million annually to be used exclusively for the police and fire departments of these five municipalities. The tax would not be levied if the ¼ cent Proposition 30 sales tax is extended by the state beyond January 1, 2017. ",4,Sales Tax,34,Safety: Multiple Emergency Services,21177,11419,32596,0.649680942446926,T,2,FailT,0,201600036,21177,11419,32596,0.649680942446926,2,FailT,1,30
201600038,2016,17,1,LAKE,2016-11-08,Lake,0,M,C,"Shall an annual general purpose tax be imposed on legally-authorized cannabis cultivation, with an exemption for personal medicinal use, occurring in unincorporated areas of the County of Lake of $1.00 per square foot of an outdoor cultivation site, $2.00 per square foot of a mixed-light cultivation site, and $3.00 per square foot of an indoor cultivation site, subject to annual Consumer Price Index increases, and generating annual revenue of approximately $8 million per average year?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,14812,8813,23625,0.6269629629629629,M,1,Pass,0,201600037,14812,8813,23625,0.6269629629629629,1,Pass,1,110
201600039,2016,18,1,LASSEN,2016-05-03,Southern Cascades CSD,1,M,F,"Shall a measure be adopted to assess a special tax of $65 per annum per parcel regardless of the size for up to two parcels owned by each unique landowner regardless of which county the parcels are located, the special tax will be authorized only if the Southern Cascades Community Services District is formed and is collected in the same manner as taxes on real property , commencing in the fiscal year after which the voters have authorized the special tax, with the revenue to be used for local ambulance, emergency medical response and training, and any lawful purpose of the Southern Cascades Community Services District? (NOTE: Passage of a special tax shall be required for the district to be formed.)",3,Property Tax,36,Safety: Emergency Medical/Paramedic,220,93,313,0.7028753993610224,T,1,PassT,1,201600038,427,198,625,0.6832,1,PassT,1,30
201600058,2016,25,1,MODOC,2016-05-03,Southern Cascades CSD,1,M,F,"Shall a measure be adopted to assess a special tax of $65 per annum per parcel regardless of the size for up to two parcels owned by each unique landowner regardless of which county the parcels are located, the special tax will be authorized only if the Southern Cascades Community Services District is formed and is collected in the same manner as taxes on real property , commencing in the fiscal year after which the voters have authorized the special tax, with the revenue to be used for local ambulance, emergency medical response and training, and any lawful purpose of the Southern Cascades Community Services District? (NOTE: Passage of a special tax shall be required for the district to be formed.)",3,Property Tax,36,Safety: Emergency Medical/Paramedic,207,105,312,0.6634615384615384,T,2,FailT,1,201600038,427,198,625,0.6832,1,PassT,1,30
201600040,2016,18,1,LASSEN,2016-05-03,Southern Cascades CSD,1,M,E,"Shall the order adopted on December 14th, 2015 by the Local Agency Formation Commission of the County of Lassen ordering the formation of a District in the territory described, known as the Southern Cascades Community Services District, be approved?",70,Ordinance,44,Governance: Incorporation/Formation/Annexation,226,87,313,0.7220447284345048,M,1,Pass,1,201600039,437,187,624,0.7003205128205128,1,Pass,70,40
201600059,2016,25,1,MODOC,2016-05-03,Southern Cascades CSD,1,M,E,"Shall the order adopted on December 14th, 2015 by the Local Agency Formation Commission of the County of Lassen ordering the formation of a District in the territory described, known as the Southern Cascades Community Services District, be approved?",70,Ordinance,44,Governance: Incorporation/Formation/Annexation,211,100,311,0.6784565916398714,M,1,Pass,1,201600039,437,187,624,0.7003205128205128,1,Pass,70,40
201600041,2016,18,1,LASSEN,2016-06-07,Lassen,0,M,G,(ADVISORY) Should Lassen County separate from the State of California and become part of a new State of Jefferson?,30,Advisory,44,Governance: Incorporation/Formation/Annexation,3094,3964,7058,0.4383678095777841,M,2,Fail,0,201600040,3094,3964,7058,0.4383678095777841,2,Fail,30,40
201600042,2016,19,1,LOS ANGELES,2016-11-08,Los Angeles,0,M,A,"To replace expiring local funding for safe, clean neighborhood/ city/ county parks; increase safe playgrounds, reduce gang activity; keep neighborhood recreation/ senior centers, drinking water safe; protect beaches, rivers, water resources, remaining natural areas/ open space; shall 1.5 cents be levied annually per square foot of improved property in Los Angeles County, with bond authority, requiring citizen oversight, independent audits, and funds used locally?",8,Development Tax,112,Revenues: Tax Creation/Incr./Contin.,2363405,791939,3155344,0.7490165889994879,T,1,PassT,0,201600041,2363405,791939,3155344,0.7490165889994879,1,PassT,1,110
201600043,2016,19,1,LOS ANGELES,2016-11-08,Los Angeles,0,M,M,"To improve freeway traffic flow/safety; repair potholes/sidewalks; repave local streets; earthquake retrofit bridges; synchronize signals; keep senior/disabled/student fares affordable; expand rail/subway/bus systems; improve job/school/airport connections; and create jobs; shall voters authorize a Los Angeles County Traffic Improvement Plan through a ½ ¢ sales tax and continue the existing ½ ¢ traffic relief tax until voters decide to end it, with independent audits/oversight and funds controlled locally?",4,Sales Tax,60,Transport,2259654,916375,3176029,0.7114714632643467,T,1,PassT,0,201600042,2259654,916375,3176029,0.7114714632643467,1,PassT,1,60
201600045,2016,21,1,MARIN,2016-11-08,CSA #17-1 Kent Woodlands,1,M,M,"Shall the special tax for Sheriff deputy patrol services, levied annually upon living units located within CSA 17 (Kent Woodlands), be increased from $260.00 per year to $360.00 per year, subject to an annual inflation adjustment not to exceed 3% per year, for each living unit within that area commencing with the 2016-2017 fiscal year?",3,Property Tax,32,Safety: Police,639,311,950,0.6726315789473685,T,1,PassT,0,201600043,639,311,950,0.6726315789473685,1,PassT,1,30
201600046,2016,21,1,MARIN,2016-11-08,CSA #17-1 Kent Woodlands,1,M,N,"Shall a special tax to purchase and install License Plate Readers (LPR) that record the license plates of vehicles traveling through the Kent Woodlands neighborhood so as to deter criminal activities, such as burglary, be levied in the amount of $100.00 for the 2016-2017 fiscal year and then in the amount of $11.00 annually each fiscal year thereafter for maintenance of the LPR upon living units located within CSA 17 (Kent Woodlands area)?",3,Property Tax,32,Safety: Police,685,274,959,0.7142857142857143,T,1,PassT,0,201600044,685,274,959,0.7142857142857143,1,PassT,1,30
201600047,2016,21,1,MARIN,2016-11-08,CSA #29,1,M,O,"For ongoing maintenance dredging in the principal waterways of Paradise Cay along with the north and south entry channels to San Francisco Bay, shall the existing parcel tax of $1,200 on each original lot be increased to $1,500, providing $204,000 annually for 10 years, commencing in fiscal year beginning July 2017 in County Service Area No. 29, with increases limited to 3% per year?",3,Property Tax,105,General Services: Maintenance,168,20,188,0.8936170212765957,T,1,PassT,0,201600045,168,20,188,0.8936170212765957,1,PassT,1,100
