MeasID,YEAR,CO#,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTOPIC,RECTYPENAME,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec
202100011,2021,10,2,FRESNO,2021-06-08,Parlier,0,Measure,Q,Shall the Sunset Clause or expiration date set by Section 3.25.070 of the Parlier Municipal Code enacting a Parcel Tax to pay only for the operations of the Parlier Police Department in providing necessary public safety services for the City of Parlier be repealed so that the Parcel Tax adopted by the voters is extended?,3,32,Property Tax,Safety: Police,341,155,496,0.6875,T,1,PassT,0,202100011,341,155,496,0.6875,1,PassT,1,30
202100012,2021,10,2,FRESNO,2021-11-02,Orange Cove,0,Measure,U,"Shall the Orange Cove's measure increasing the utility users tax on gas, electricity, and telephone from seven to ten percent and initiating a use tax on water use at ten percent to raise an estimated $346,832 annually in perpetuity, with citizen oversight, to maintain and not have to cut or lose general city services like police officers, park facilities, job creation, job training, recreational activities, and other city services be adopted?",5,100,Utility Tax,General Services,157,337,494,0.31781376518218624,M,2,Fail,0,202100012,157,337,494,0.31781376518218624,2,Fail,1,100
202100013,2021,13,2,IMPERIAL,2021-11-02,Brawley,0,Measure,U,"Shall the City of Brawley (“City”) adopt an ordinance extending the Utility Users’ Tax until otherwise repealed by voters at a rate of 4%, which is less than surrounding municipalities, upon the use of telecommunications services, natural gas, water, sewer, and solid waste to maintain city services, including, but not limited to, police, fire, City administration services, library, parks, recreation, and senior center, which is projected to raise approximately $2.5 million per year?",5,100,Utility Tax,General Services,1339,1106,2445,0.5476482617586912,M,1,Pass,0,202100013,1339,1106,2445,0.5476482617586912,1,Pass,1,100
202100014,2021,15,2,KERN,2021-11-02,Taft,0,Measure,A,"To protect Taft' s long-term financial stability; maintain police/fire/ emergency response times; number of police officers/firefighters; repair streets/potholes; keep public areas clean/ safe; help address homelessness; retain local businesses/jobs, other general City services; shall the measure be adopted establishing a 10 sales tax providing approximately $ 1,600,000 annually until ended by voters; requiring public disclosure of spending, audits, all revenues benefiting Taft residents/ no money for Sacramento?",4,100,Sales Tax,General Services,623,189,812,0.7672413793103449,M,1,Pass,0,202100014,623,189,812,0.7672413793103449,1,Pass,1,100
202100015,2021,19,2,LOS ANGELES,2021-06-01,Vernon,0,Recall,1,Shall Diana Gonzales be recalled (removed) from the office of City of Vernon Council Member?,50,46,Recall,Governance: Recall,56,25,81,0.691358024691358,M,1,Pass,0,202100015,56,25,81,0.691358024691358,1,Pass,50,40
202100016,2021,19,2,LOS ANGELES,2021-06-01,Vernon,0,Recall,2,Shall Carol Menke be recalled (removed) from the office of City of Vernon Council Member?,50,46,Recall,Governance: Recall,59,22,81,0.7283950617283951,M,1,Pass,0,202100016,59,22,81,0.7283950617283951,1,Pass,50,40
202100017,2021,19,2,LOS ANGELES,2021-09-14,Vernon,0,Recall,1,Shall William Davis be recalled (removed) from the office of City of Vernon Council Member?,50,46,Recall,Governance: Recall,15,59,74,0.20270270270270271,M,2,Fail,0,202100017,15,59,74,0.20270270270270271,2,Fail,50,40
202100018,2021,19,2,LOS ANGELES,2021-09-14,Vernon,0,Recall,2,Shall Melissa Ybarra be recalled (removed) from the office of City of Vernon Council Member?,50,46,Recall,Governance: Recall,19,56,75,0.25333333333333335,M,2,Fail,0,202100018,19,56,75,0.25333333333333335,2,Fail,50,40
202100019,2021,19,2,LOS ANGELES,2021-11-02,Alhambra,0,Measure,G,"Shall an Ordinance be adopted that proposes to amend the Alhambra City Charter to remove all reference to the Alhambra Unified School District (""AUSD"") from the Charter so that AUSD elections may be conducted consistent with the requirements of the State Education Code and State Elections Code?",20,10,Charter Amendment,Education,5905,1290,7195,0.8207088255733148,M,1,Pass,0,202100019,5905,1290,7195,0.8207088255733148,1,Pass,20,10
202100020,2021,19,2,LOS ANGELES,2021-11-02,Commerce,0,Measure,PS,"To protect vital public safety emergency services, including police, paramedic and fire protection to maintain 9-1-1 response times and the number of firefighters and police officers, shall the City of Commerce enact a parcel tax on industrial property at a maximum rate of $0.3321 per square foot providing approximately $12,000,000 annually until ended by voters; with committee oversight? All funds will remain in Commerce.",3,34,Property Tax,Safety: Multiple Emergency Services,578,406,984,0.5873983739837398,T,2,FailT,0,202100020,578,406,984,0.5873983739837398,2,FailT,1,30
202100021,2021,19,2,LOS ANGELES,2021-11-02,Inglewood,0,Measure,H,"To maintain essential community services, keep public areas safe/clean, retain local businesses/jobs, address traffic near sports/entertainment facilities, increase affordable housing, maintain youth/anti-gang programs, senior services, and other general City services, shall the measure increasing the transient occupancy tax paid only by hotel/motel guests from 14% to 15.5% providing an estimated $730,000 annually until ended by voters, requiring public spending disclosure, audits, be adopted?",9,100,Transient Occupancy Tax,General Services,6192,3759,9951,0.622249020198975,T,2,FailT,0,202100021,6192,3759,9951,0.622249020198975,2,FailT,1,100
202100022,2021,19,2,LOS ANGELES,2021-11-02,Inglewood,0,Measure,I,"Shall the measure to maintain emergency response, paramedics, fire protection, public safety/health, address homelessness, ease traffic, provide general services by increasing the tax on sales of real estate to 4.5% on amounts over $10,000,000, 3.5% on amounts between $2,500,000.01-$10,000,000, 1.75% on amounts between $1,100,000.01-$2,500,000, keeping the existing 0.055% rate for sales under $1,100,000.01 providing $3,500,000 annually until ended by voters, with required public disclosure, audits, be adopted?",2,100,Business Tax,General Services,4736,5232,9968,0.4751203852327448,M,2,Fail,0,202100022,4736,5232,9968,0.4751203852327448,2,Fail,1,100
202100023,2021,33,2,RIVERSIDE,2021-03-02,Cathedral City,0,Measure,B,"Shall Sections 1 and 3 of Ordinance 842, adopted unanimously by the City Council to address residents’ concerns such as community safety, neighborhood character, noise, criminal activity, and other impacts caused by short-term vacation rentals operating in Cathedral City, by establishing additional regulations on short-term vacation  rentals, and phasing out short-term vacation rentals except where approved by local homeowners associations, become law?",70,20,Ordinance,Land Use,5006,2940,7946,0.6300025169896804,M,1,Pass,0,202100023,5006,2940,7946,0.6300025169896804,1,Pass,70,20
202100024,2021,33,2,RIVERSIDE,2021-03-02,Eastvale,0,Measure,A,"Shall the measure adjusting the City of Eastvale’s appropriations limit be adopted to allow increased budgeting of City revenues for general governmental purposes, including COVID response, fire/emergency medical protection, law enforcement, and street safety/repair for four years (This measure doesn’t increase taxes or impose a new tax.)?",60,49,Gann Limit,Governance: Budget Processes,4453,994,5447,0.8175142280154213,M,1,Pass,0,202100024,4453,994,5447,0.8175142280154213,1,Pass,60,40
202100025,2021,33,2,RIVERSIDE,2021-11-02,Indio,0,Measure,E,"Shall an ordinance to preserve paramedic and fire protection, 911 response; police gang/drug enforcement programs/neighborhood patrols; address homelessness, protect water quality/delivery; fix streets/potholes; other city services by extending the City's existing 1¢ sales tax until ended by voters, without increasing the tax, providing approximately $12,000,000 annually, continuing citizens' oversight, annual audits, prohibiting state government from taking funds raised be adopted?",4,100,Sales Tax,General Services,6890,2758,9648,0.7141376451077943,M,1,Pass,0,202100025,6890,2758,9648,0.7141376451077943,1,Pass,1,100
202100026,2021,33,2,RIVERSIDE,2021-11-02,Moreno Valley,0,Measure,G,"Shall an ordinance be adopted to maintain 9-1-1 emergency response times, robbery/burglary prevention, neighborhood police patrols/fire engine service levels; address homelessness, repair potholes/streets; keep public areas safe/clean; help retain local businesses; maintain senior services, youth/afterschool programs, other general services by establishing a 1¢ sales tax, generating approximately $20,000,000 annually until ended by voters, with independent financial audits, public review of expenditures, all funds used locally?",4,100,Sales Tax,General Services,7471,6398,13869,0.5386833946210974,M,1,Pass,0,202100026,7471,6398,13869,0.5386833946210974,1,Pass,1,100
202100027,2021,33,2,RIVERSIDE,2021-11-02,Riverside,0,Measure,C,"To maintain such general city services as 911 response, fire, paramedic, police, street repairs, parks, senior services; address homelessness; shall the measure amending City of Riverside' s Charter to continue collecting in electric rates and maintain the voter-approved fund transfer (established 1968), limited to 11.5% of gross revenue, providing approximately $ 40,000,000 annually to City of Riverside' s General Fund not increasing fax or utility rates, until ended by voters, requiring audits/ all funds controlled locally, be adopted?",20,100,Charter Amendment,General Services,16127,13455,29582,0.5451625988776959,M,1,Pass,0,202100027,16127,13455,29582,0.5451625988776959,1,Pass,20,100
202100028,2021,34,2,SACRAMENTO,2021-11-02,Isleton,0,Measure,B,"Shall the measure to support the operation of the City of Isleton’s fire protection needs, by establishing a one-half (½) percent transactions and use tax for a period of five (5) years commencing on April 1, 2022, that is projected to provide between $83,726.06 and $106,858.02 of revenue annually, be adopted?",4,33,Sales Tax,Safety: Fire,89,33,122,0.7295081967213115,T,1,PassT,0,202100028,89,33,122,0.7295081967213115,1,PassT,1,30
202100029,2021,41,2,SAN MATEO,2021-11-02,Woodside,0,Measure,A,(INITIATIVE) Shall an initiative in support of parking and community gathering spots on residentially zoned parcels within and adjacent to the Town Center be adopted?,40,22,Initiative,Land Use: Zoning,1160,1155,2315,0.5010799136069114,M,1,Pass,0,202100029,1160,1155,2315,0.5010799136069114,1,Pass,40,20
202100030,2021,42,2,SANTA BARBARA,2021-09-14,Lompoc,0,Measure,Q,"Shall a measure, (i) imposing a graduated tax ranging from 0.5 cents per dollar to 2.5 cents per dollar, at half-cent increments, on five levels of Lompoc cannabis manufacturing/distribution operators’ annual revenues ranging from $10,000,000 or less to over $55,000,000, with no sunset clause, estimated to collect $1,200,000 annually based on currently established operations, (ii) excluding sales/excise taxes from City cannabis tax calculations and (iii) allowing receipts to show those taxes, be adopted?",2,110,Business Tax,Revenues,7434,2516,9950,0.7471356783919598,M,1,Pass,0,202100030,7434,2516,9950,0.7471356783919598,1,Pass,1,110
202100031,2021,44,2,SANTA CRUZ,2021-11-02,Santa Cruz,0,Measure,A,"To solidify the City of Santa Cruz’s commitment to prioritizing funding for children and youth programs and services, shall the Santa Cruz City Charter be amended to allocate 20 percent of revenue generated by the Cannabis Business Tax to youth and early childhood development programs and services?",20,106,Charter Amendment,General Services: Social/Welfare,9090,1896,10986,0.827416712179137,M,1,Pass,0,202100031,9090,1896,10986,0.827416712179137,1,Pass,20,100
202100032,2021,49,2,SONOMA,2021-09-14,Rohnert Park,0,Measure,D,"Shall Ordinance No. 954, An Ordinance of the City Council of the City of Rohnert Park Repealing and Replacing Chapter 9.49 of the Rohnert Park Municipal Code to Prohibit the Sale and Use of Fireworks, be adopted?",70,30,Ordinance,Safety,8312,7989,16301,0.5099073676461566,M,1,Pass,0,202100032,8312,7989,16301,0.5099073676461566,1,Pass,70,30
202100033,2021,49,2,SONOMA,2021-09-14,Sonoma,0,Recall,1,Shall Jill Ravitch be recalled (removed) from the office of District Attorney?,50,46,Recall,Governance: Recall,45249,144519,189768,0.23844378398887062,M,2,Fail,0,202100033,45249,144519,189768,0.23844378398887062,2,Fail,50,40
202100034,2021,19,3,LOS ANGELES,2021-03-02,San Marino Unified,0,Measure,E,"To continue San Marino’s tradition of community support for local schools, to retain outstanding classroom teachers and continue advanced programs in math, science, engineering, technology, provide honors and advanced placement classes, and to minimize class size increases, shall San Marino Unified School District continue to levy a $968 education parcel tax, with exemptions for seniors, raising approximately $4 million annually, to be assessed in each fiscal year with annual inflation adjustments until ended by voters?",3,10,Property Tax,Education,2192,1285,3477,0.6304285303422491,T,2,FailT,0,202100034,2192,1285,3477,0.6304285303422491,2,FailT,1,10
202100035,2021,19,3,LOS ANGELES,2021-03-02,Wiseburn Unified,0,Measure,A,"Shall a proposal transferring certain territory (see attached map) from the Lawndale School District and the Centinela Valley Union High School District to the Wiseburn Unified School District, be adopted? This proposal constitutes a reorganization of these three school districts pursuant to Education Code § 35762 and Elections Code § 13319.",70,12,Ordinance,Education: Districts,351,19,370,0.9486486486486486,M,1,Pass,0,202100035,351,19,370,0.9486486486486486,1,Pass,70,10
202100036,2021,19,3,LOS ANGELES,2021-06-29,San Marino Unified,0,Measure,E,"To protect the quality of education and continue San Marino's tradition of community support for local schools, by retaining highly qualified teachers, continue funding advanced programs in math, science, engineering, technology, provide honors and advanced placement classes, and maintain class sizes, shall the San Marino Unified School District measure to renew its expiring $968 education parcel tax for six years be adopted, raising approximately $4 million annually, with annual inflation adjustments, exemptions for seniors and all funds staying local?",3,10,Property Tax,Education,3530,1257,4787,0.7374138291205348,T,1,PassT,0,202100036,3530,1257,4787,0.7374138291205348,1,PassT,1,10
202100037,2021,21,3,MARIN,2021-05-04,San Rafael City Elementary,0,Measure,H,"To protect quality education at all San Rafael elementary and middle schools by maintaining stable local funding the State can’t take away, including: enhancing core academic programs like math, science, technology, music and art; maintaining small class sizes; and attracting/retaining high quality teachers, shall the San Rafael City Elementary School District measure renewing funding at the current $287 rate and adding $36 per parcel, be adopted, providing $5,000,000 annually for 8 years with senior exemptions, annual adjustments and independent oversight?",3,10,Property Tax,Education,6626,3065,9691,0.6837271695387472,T,1,PassT,0,202100037,6626,3065,9691,0.6837271695387472,1,PassT,1,10
202100038,2021,21,3,MARIN,2021-05-04,San Rafael City High,0,Measure,G,"To protect quality education at San Rafael high schools by maintaining stable local funding the State can’t take away, including: enhancing core academic programs like math, science, technology, music/art; maintaining small class sizes; prepare students for college/careers; and attracting/retaining high quality teachers, shall the San Rafael City High School District measure renewing funding at the current $196 rate and adding $36 per parcel, be adopted, providing $5,400,000 annually for 8 years with senior exemptions, annual adjustments/independent oversight?",3,10,Property Tax,Education,10775,4717,15492,0.6955202685256907,T,1,PassT,0,202100038,10775,4717,15492,0.6955202685256907,1,PassT,1,10
202100039,2021,41,3,SAN MATEO,2021-05-04,Portola Valley Elementary,0,Measure,S,"To maintain excellent local schools, shall Portola Valley School District protect enhanced science, math, reading/writing instruction, retain qualified/experienced teachers, support music and arts programs, maintain small class sizes and school library services by renewing and reducing the current annual per parcel tax to $471, raising approximately $997,000 annually, for 8 years, with senior exemptions, annual audits, independent citizen oversight, no money for administrator salaries, no funds for Sacramento, and all funds supporting Portola Valley School District students?",3,10,Property Tax,Education,1972,653,2625,0.7512380952380953,T,1,PassT,0,202100039,1972,653,2625,0.7512380952380953,1,PassT,1,10
202100040,2021,41,3,SAN MATEO,2021-11-02,Menlo Park City Elementary,0,Measure,B,"Shall the measure to: protect outstanding public schools; attract and retain high quality teachers; support core academic and enrichment programs; and ensure reasonable class size at Encinal, Laurel, Oak Knoll, and Hillview schools by renewing the expiring Menlo Park City School District parcel tax at a new rate of $598 per parcel, expiring after 12 years, providing $4,600,000 annually, with senior exemptions, annual adjustments, independent oversight, and all funds staying local, be adopted?",3,10,Property Tax,Education,6022,2075,8097,0.7437322465110535,T,1,PassT,0,202100040,6022,2075,8097,0.7437322465110535,1,PassT,1,10
202100041,2021,43,3,SANTA CLARA,2021-05-04,Cupertino Union Elementary,0,Measure,A,"To retain our high quality teachers and staff with competitive compensation, help keep schools open, ensure fiscal solvency, and provide programs to support students’ social and emotional wellness, shall the Cupertino Union School District measure replacing its current parcel tax with a new $398 measure raising approximately $14,000,000 annually for eight years, be adopted, with independent community oversight, no funds for administrator salaries, exemptions for seniors, and all funds benefiting local schools?",3,10,Property Tax,Education,15129,10363,25492,0.5934803075474658,T,2,FailT,0,202100041,15129,10363,25492,0.5934803075474658,2,FailT,1,10
202100042,2021,43,3,SANTA CLARA,2021-11-02,Berryessa Union Elementary,0,Measure,A,"To renew, without increasing taxes, expiring local elementary and middle school funding that cannot be taken by the State; maintain core academic programs in science, technology, math, reading and writing; attract and retain quality teachers; provide learning technology; keep school libraries open; shall the Berryessa Union School District measure be adopted renewing its existing $79 annual parcel tax, providing $1,800,000 annually for 8 years, with citizen oversight, senior exemptions, no funds for administrator salaries, all funds staying local?",3,10,Property Tax,Education,6498,2678,9176,0.708151700087184,T,1,PassT,0,202100042,6498,2678,9176,0.708151700087184,1,PassT,1,10
202100043,2021,43,3,SANTA CLARA,2021-11-02,Los Gatos Union Elementary,0,Measure,B,"To retain highly qualified teachers, maintain and protect core academic programs, and improve programs in science, technology, engineering, arts, music and math for elementary and middle school students; shall the Los Gatos Union School District measure renewing funding at the current $290 rate and adding $45 per parcel be adopted, providing $3.2 million annually for eight years that cannot be taken by the State, with senior exemptions, annual adjustments, independent oversight and no funds for administrator salaries?",3,10,Property Tax,Education,6532,2065,8597,0.7597999302082121,T,1,PassT,0,202100043,6532,2065,8597,0.7597999302082121,1,PassT,1,10
202100044,2021,49,3,SONOMA,2021-03-02,West Sonoma County Union High,0,Measure,A,"To renew and provide stable funding at Analy, El Molino and Laguna High Schools that the State cannot take away; protect music, art, dance, shop, culinary and other career technical programs; retain teachers/staff; keep class sizes low; shall the West Sonoma County Union High School District measure to levy $48.00 per parcel annually for three years be adopted, raising $1,150,000 annually, have no funds for administrators' salaries, provide a senior citizens' exemption and have all funds stay local?",3,10,Property Tax,Education,9395,6726,16121,0.5827802245518268,T,2,FailT,0,202100044,9395,6726,16121,0.5827802245518268,2,FailT,1,10
