RecordID,RACEID,CO#,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,First,BALDESIG,INC,NUM_INC,CAND#,VOTES,WRITEIN,VOTES_sum,TOTVOTES,PERCENT,ELECTED,RVOTES,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Total_writein,Newtotvotes,Rindivto,Newelected
201800030,22,3,1,AMADOR,2018,2018-06-05,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Macon,Andrea J.,Information Technology Professional,N,2,2,1171,4,2870,2874,0.40744606819763396,2,2.0,0,0,201800022,201800030,0,1171,2870,4,2874,2.0,2
201800031,22,3,1,AMADOR,2018,2018-06-05,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Oneto,Brian,Amador County Supervisor/Rancher,Y,1,2,1699,4,2870,2874,0.5911621433542101,1,1.0,0,0,201800022,201800031,0,1699,2870,4,2874,1.0,1
201800032,23,3,1,AMADOR,2018,2018-06-05,Amador,0,DISTRICT ATTORNEY,5,OTHER COUNTY,,Full,1,Riebe,Todd D.,District Attorney,Y,1,1,9736,193,9736,9929,0.9805619901299224,1,1.0,0,0,201800023,201800032,0,9736,9736,193,9929,1.0,1
201800033,24,3,1,AMADOR,2018,2018-06-05,Amador,0,SHERIFF-CORONER,5,OTHER COUNTY,,Full,1,Ryan,Martin A,Incumbent,Y,1,1,10374,114,10374,10488,0.9891304347826086,1,1.0,0,0,201800024,201800033,0,10374,10374,114,10488,1.0,1
201800034,25,3,1,AMADOR,2018,2018-06-05,Amador,0,SUPERINTENDENT OF SCHOOLS,5,OTHER COUNTY,,Full,1,Russell,"Robert ""Steve""",Special Education Teacher,N,2,2,5878,25,11446,11471,0.5124226309824775,1,1.0,0,0,201800025,201800034,0,5878,11446,25,11471,1.0,1
201800035,25,3,1,AMADOR,2018,2018-06-05,Amador,0,SUPERINTENDENT OF SCHOOLS,5,OTHER COUNTY,,Full,1,Slavensky,Amy L.,Appointed County Superintendent,Y,1,2,5568,25,11446,11471,0.48539796007322816,2,2.0,0,0,201800025,201800035,0,5568,11446,25,11471,2.0,2
201800036,26,3,1,AMADOR,2018,2018-06-05,Amador,0,SUPERIOR JUDGE,5,OTHER COUNTY,2,Full,1,Day,Renee C.,Superior Court Judge,Y,1,2,8058,19,12066,12085,0.6667769962763757,1,1.0,0,0,201800026,201800036,0,8058,12066,19,12085,1.0,1
201800037,26,3,1,AMADOR,2018,2018-06-05,Amador,0,SUPERIOR JUDGE,5,OTHER COUNTY,2,Full,1,Schell,Robert,Constitutional Defense Attorney,N,2,2,4008,19,12066,12085,0.331650806785271,2,2.0,0,0,201800026,201800037,0,4008,12066,19,12085,2.0,2
201800038,27,3,1,AMADOR,2018,2018-06-05,Amador,0,TREASURER-TAX COLLECTOR,5,OTHER COUNTY,,Full,1,Ryan,Michael E.,Treasurer/Tax Collector,Y,1,1,10215,71,10215,10286,0.9930974139607233,1,1.0,0,0,201800027,201800038,0,10215,10215,71,10286,1.0,1
201800039,28,4,1,BUTTE,2018,2018-06-05,Butte,0,ASSESSOR,5,OTHER COUNTY,,Full,1,Brown,Diane,Incumbent,Y,1,2,30807,138,48817,48955,0.629292207128996,1,1.0,0,0,201800028,201800039,0,30807,48817,138,48955,1.0,1
201800040,28,4,1,BUTTE,2018,2018-06-05,Butte,0,ASSESSOR,5,OTHER COUNTY,,Full,1,Stone,Randall,Financial Planner/Councilmember,N,2,2,18010,138,48817,48955,0.3678888775405985,2,2.0,0,0,201800028,201800040,0,18010,48817,138,48955,2.0,2
201800041,29,4,1,BUTTE,2018,2018-06-05,Butte,0,AUDITOR-CONTROLLER,5,OTHER COUNTY,,Full,1,Gutierrez,Graciela Cano,Assistant Auditor-Controller,N,2,2,24257,117,48243,48360,0.5015922249793218,1,1.0,0,0,201800029,201800041,0,24257,48243,117,48360,1.0,1
201800042,29,4,1,BUTTE,2018,2018-06-05,Butte,0,AUDITOR-CONTROLLER,5,OTHER COUNTY,,Full,1,Mathes,Kathryn,CPA/Accounting Manager,N,2,2,23986,117,48243,48360,0.4959884201819686,2,2.0,0,0,201800029,201800042,0,23986,48243,117,48360,2.0,2
201800043,30,4,1,BUTTE,2018,2018-06-05,Butte,0,CLERK-RECORDER,5,OTHER COUNTY,,Full,1,Grubbs,Candace J.,County Clerk-Recorder,Y,1,1,44489,574,44489,45063,0.9872622772562857,1,1.0,0,0,201800030,201800043,0,44489,44489,574,45063,1.0,1
201800044,31,4,1,BUTTE,2018,2018-06-05,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Lucero,Debra,Businesswoman/Consultant,N,2,2,5366,16,9652,9668,0.5550268928423666,1,1.0,0,0,201800031,201800044,0,5366,9652,16,9668,1.0,1
201800045,31,4,1,BUTTE,2018,2018-06-05,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Wahl,Larry,Butte County Supervisor District 2,Y,1,2,4286,16,9652,9668,0.44331816301199833,2,2.0,0,0,201800031,201800045,0,4286,9652,16,9668,2.0,2
201800046,32,4,1,BUTTE,2018,2018-06-05,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Evans,Bob,Businessman/Business Consultant,N,2,3,3182,27,12097,12124,0.2624546354338502,2,2.0,0,0,201800032,201800046,0,3182,12097,27,12124,2.0,2
201800047,32,4,1,BUTTE,2018,2018-06-05,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Ritter,Tami,Mediator/Counselor,N,2,3,6620,27,12097,12124,0.5460244143846915,1,1.0,0,0,201800032,201800047,0,6620,12097,27,12124,1.0,1
201800048,32,4,1,BUTTE,2018,2018-06-05,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Rosene,Norm,Business Owner,N,2,3,2295,27,12097,12124,0.18929396238865062,2,3.0,0,0,201800032,201800048,0,2295,12097,27,12124,3.0,2
201800049,33,4,1,BUTTE,2018,2018-06-05,Butte,0,DISTRICT ATTORNEY,5,OTHER COUNTY,,Full,1,Ramsey,Michael L.,Butte County District Attorney,Y,1,1,37750,3246,37750,40996,0.9208215435652258,1,1.0,0,0,201800033,201800049,0,37750,37750,3246,40996,1.0,1
201800050,34,4,1,BUTTE,2018,2018-06-05,Butte,0,SHERIFF-CORONER,5,OTHER COUNTY,,Full,1,Honea,Kory L.,Sheriff-Coroner,Y,1,1,44519,690,44519,45209,0.9847375522572939,1,1.0,0,0,201800034,201800050,0,44519,44519,690,45209,1.0,1
201800051,35,4,1,BUTTE,2018,2018-06-05,Butte,0,SUPERINTENDENT OF SCHOOLS,5,OTHER COUNTY,,Full,1,Sakuma,Mary,Deputy Superintendent,N,2,1,40209,751,40209,40960,0.9816650390625,1,1.0,0,0,201800035,201800051,0,40209,40209,751,40960,1.0,1
201800052,36,4,1,BUTTE,2018,2018-06-05,Butte,0,TREASURER-TAX COLLECTOR,5,OTHER COUNTY,,Full,1,Kidd,Troy,Banking Executive,N,2,1,40436,570,40436,41006,0.986099595181193,1,1.0,0,0,201800036,201800052,0,40436,40436,570,41006,1.0,1
201800053,37,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,ASSESSOR,5,OTHER COUNTY,,Full,1,Davis,Leslie,Incumbent,Y,1,2,8554,30,14260,14290,0.5986004198740378,1,1.0,0,0,201800037,201800053,0,8554,14260,30,14290,1.0,1
201800054,37,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,ASSESSOR,5,OTHER COUNTY,,Full,1,Muetterties,Tim,Business Owner/Realtor,N,2,2,5706,30,14260,14290,0.39930020993701887,2,2.0,0,0,201800037,201800054,0,5706,14260,30,14290,2.0,2
201800055,38,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,AUDITOR-CONTROLLER,5,OTHER COUNTY,,Full,1,Callen,Rebecca,Incumbent,Y,1,1,11587,125,11587,11712,0.9893271857923497,1,1.0,0,0,201800038,201800055,0,11587,11587,125,11712,1.0,1
201800056,39,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,CLERK-RECORDER,5,OTHER COUNTY,,Full,1,Turner,Rebecca,Incumbent,Y,1,1,11752,75,11752,11827,0.9936585778303881,1,1.0,0,0,201800039,201800056,0,11752,11752,75,11827,1.0,1
201800057,40,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,CORONER-PUBLIC ADMINISTRATOR,5,OTHER COUNTY,,Full,1,Raggio,Kevin J.,Incumbent,Y,1,1,11930,89,11930,12019,0.9925950578251103,1,1.0,0,0,201800040,201800057,0,11930,11930,89,12019,1.0,1
201800058,41,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Callaway,Merita,Community Volunteer,Y,1,3,1776,1,3670,3671,0.4837918823208935,3,1.0,1,1,201800041,201800058,0,1776,3670,1,3671,1.0,3
201800059,41,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Langan,Ed,Retired Businessman,N,2,3,842,1,3670,3671,0.22936529555979296,2,3.0,0,0,201800041,201800059,0,842,3670,1,3671,3.0,2
201800060,41,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Oliveira,Michael C.,Incumbent,Y,1,3,1052,1,3670,3671,0.28657041678016887,3,2.0,1,1,201800041,201800060,0,1052,3670,1,3671,2.0,3
201800061,42,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Clapp,Clyde,Incumbent,Y,1,4,813,3,2704,2707,0.3003324713705209,3,2.0,1,1,201800042,201800061,0,813,2704,3,2707,2.0,3
201800062,42,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Giudici,Bruce,Non-Profit Fiscal Officer,N,2,4,760,3,2704,2707,0.28075360177318065,2,3.0,0,0,201800042,201800062,0,760,2704,3,2707,3.0,2
201800063,42,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Gustafson,Gregory,Contractor,N,2,4,252,3,2704,2707,0.09309198374584411,2,4.0,0,0,201800042,201800063,0,252,2704,3,2707,4.0,2
201800064,42,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Stopper,Benjamin,Water Treatment Operator,Y,1,4,879,3,2704,2707,0.3247137052087181,3,1.0,1,1,201800042,201800064,0,879,2704,3,2707,1.0,3
201800065,43,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,DISTRICT ATTORNEY,5,OTHER COUNTY,,Full,1,Yook,Barbara M.,Incumbent,Y,1,1,11372,205,11372,11577,0.9822924764619504,1,1.0,0,0,201800043,201800065,0,11372,11372,205,11577,1.0,1
201800066,44,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,SHERIFF,5,OTHER COUNTY,,Full,1,Dibasilio,Rick,Appointed Incumbent,Y,1,3,7375,21,15103,15124,0.4876355461518117,3,1.0,1,1,201800044,201800066,0,7375,15103,21,15124,1.0,3
201800067,44,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,SHERIFF,5,OTHER COUNTY,,Full,1,Garrahan,Patrick,Police Science Instructor,N,2,3,3446,21,15103,15124,0.2278497751917482,2,3.0,0,0,201800044,201800067,0,3446,15103,21,15124,3.0,2
201800068,44,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,SHERIFF,5,OTHER COUNTY,,Full,1,Stevens,Gary Lee,District Attorney Investigator,N,2,3,4282,21,15103,15124,0.28312615710129596,3,2.0,1,1,201800044,201800068,0,4282,15103,21,15124,2.0,3
201800069,45,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,SUPERINTENDENT OF SCHOOLS,5,OTHER COUNTY,,Full,1,Nanik,Scott,Appointed Incumbent,Y,1,1,10497,228,10497,10725,0.9787412587412587,1,1.0,0,0,201800045,201800069,0,10497,10497,228,10725,1.0,1
201800070,46,5,1,CALAVERAS,2018,2018-06-05,Calaveras,0,TREASURER-TAX COLLECTOR,5,OTHER COUNTY,,Full,1,Sullivan,Barbara,Incumbent,Y,1,1,11719,101,11719,11820,0.9914551607445008,1,1.0,0,0,201800046,201800070,0,11719,11719,101,11820,1.0,1
201800071,47,5,1,CALAVERAS,2018,2018-11-06,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Callaway,Merita,Community Volunteer,N,2,2,2620,22,4622,4644,0.5641688199827735,1,1.0,0,0,201800047,201800071,0,2620,4622,22,4644,1.0,1
201800072,47,5,1,CALAVERAS,2018,2018-11-06,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Oliveira,Michael C.,Incumbent,Y,1,2,2002,22,4622,4644,0.43109388458225667,2,2.0,0,0,201800047,201800072,0,2002,4622,22,4644,2.0,2
201800073,48,5,1,CALAVERAS,2018,2018-11-06,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Clapp,Clyde,Incumbent,Y,1,2,1428,12,3902,3914,0.36484414920797137,2,2.0,0,0,201800048,201800073,0,1428,3902,12,3914,2.0,2
201800074,48,5,1,CALAVERAS,2018,2018-11-06,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Stopper,Benjamin,Water Treatment Operator,N,2,2,2474,12,3902,3914,0.6320899335717935,1,1.0,0,0,201800048,201800074,0,2474,3902,12,3914,1.0,1
201800075,49,5,1,CALAVERAS,2018,2018-11-06,Calaveras,0,SHERIFF,5,OTHER COUNTY,,Full,1,Dibasilio,Rick,Appointed Incumbent,Y,1,2,12037,68,20609,20677,0.5821444116651352,1,1.0,0,0,201800049,201800075,0,12037,20609,68,20677,1.0,1
201800076,49,5,1,CALAVERAS,2018,2018-11-06,Calaveras,0,SHERIFF,5,OTHER COUNTY,,Full,1,Stevens,Gary Lee,District Attorney Investigator,N,2,2,8572,68,20609,20677,0.4145669100933404,2,2.0,0,0,201800049,201800076,0,8572,20609,68,20677,2.0,2
201800077,50,6,1,COLUSA,2018,2018-06-05,Colusa,0,ASSESSOR,5,OTHER COUNTY,,Full,1,"Gross, Jr.","Arnold ""Arnie""",Colusa Co Assessor,Y,1,1,2969,33,2969,3002,0.9890073284477016,1,1.0,0,0,201800050,201800077,0,2969,2969,33,3002,1.0,1
201800078,51,6,1,COLUSA,2018,2018-06-05,Colusa,0,AUDITOR-CONTROLLER,5,OTHER COUNTY,,Full,1,Scroggins,Peggy Hickel,County Auditor-Controller,Y,1,1,2908,42,2908,2950,0.9857627118644068,1,1.0,0,0,201800051,201800078,0,2908,2908,42,2950,1.0,1
201800079,52,6,1,COLUSA,2018,2018-06-05,Colusa,0,CLERK-RECORDER,5,OTHER COUNTY,,Full,1,Gallo-Vasquez,Rose,County Clerk Recorder,Y,1,1,2935,32,2935,2967,0.9892146949780923,1,1.0,0,0,201800052,201800079,0,2935,2935,32,2967,1.0,1
201800080,53,6,1,COLUSA,2018,2018-06-05,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Corona,Merced,Retired Colusa County Sheriff's Dept. Sergeant,N,2,2,509,1,878,879,0.5790671217292378,1,1.0,0,0,201800053,201800080,0,509,878,1,879,1.0,1
201800081,53,6,1,COLUSA,2018,2018-06-05,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Lauwerijssen,Johannes B.,Farmer/Warehousemen,N,2,2,369,1,878,879,0.4197952218430034,2,2.0,0,0,201800053,201800081,0,369,878,1,879,2.0,2
201800082,54,6,1,COLUSA,2018,2018-06-05,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Carter,Denise J.,Supervisor Dist. 5,Y,1,1,668,18,668,686,0.9737609329446064,1,1.0,0,0,201800054,201800082,0,668,668,18,686,1.0,1
201800083,55,6,1,COLUSA,2018,2018-06-05,Colusa,0,DISTRICT ATTORNEY,5,OTHER COUNTY,,Full,1,Beauchamp,Matthew R.,Colusa Co District Attorney,Y,1,1,2848,46,2848,2894,0.9841050449205252,1,1.0,0,0,201800055,201800083,0,2848,2848,46,2894,1.0,1
201800084,56,6,1,COLUSA,2018,2018-06-05,Colusa,0,SHERIFF-CORONER,5,OTHER COUNTY,,Full,1,Garofalo,Joe,Colusa Co Sheriff-Coroner,Y,1,1,3024,48,3024,3072,0.984375,1,1.0,0,0,201800056,201800084,0,3024,3024,48,3072,1.0,1
201800085,57,6,1,COLUSA,2018,2018-06-05,Colusa,0,SUPERINTENDENT OF SCHOOLS,5,OTHER COUNTY,,Full,1,West,Michael P.,Superintended of Schools,Y,1,1,2788,57,2788,2845,0.9799648506151142,1,1.0,0,0,201800057,201800085,0,2788,2788,57,2845,1.0,1
201800086,58,6,1,COLUSA,2018,2018-06-05,Colusa,0,TREASURER-TAX COLLECTOR,5,OTHER COUNTY,,Full,1,Charter,Daniel A.,Treasurer-Tax Collector,Y,1,1,2874,45,2874,2919,0.9845837615621789,1,1.0,0,0,201800058,201800086,0,2874,2874,45,2919,1.0,1
201800087,59,7,1,CONTRA COSTA,2018,2018-06-05,Contra Costa,0,ASSESSOR,5,OTHER COUNTY,,Full,1,Kramer,Gus S.,County Assessor,Y,1,1,171805,0,171805,171805,1.0,1,1.0,0,0,201800059,201800087,0,171805,171805,0,171805,1.0,1
201800088,60,7,1,CONTRA COSTA,2018,2018-06-05,Contra Costa,0,AUDITOR-CONTROLLER,5,OTHER COUNTY,,Full,1,Campbell,Robert,Auditor-Controller,Y,1,2,143473,0,180024,180024,0.7969659600942096,1,1.0,0,0,201800060,201800088,0,143473,180024,0,180024,1.0,1
201800089,60,7,1,CONTRA COSTA,2018,2018-06-05,Contra Costa,0,AUDITOR-CONTROLLER,5,OTHER COUNTY,,Full,1,Riaunda,Ayore,Navy Reservist/Controller,N,2,2,36551,0,180024,180024,0.20303403990579033,2,2.0,0,0,201800060,201800089,0,36551,180024,0,180024,2.0,2
