CO,JUR,CNTYNAME,DATE,PLACE,OFFICE,AREA,TERM,LASTNAME,FIRSTNAME,BALDESIG,INCUMB,CAND#,VOTES,TOTVOTES,PERCENT,ELECTED
7,2,CONTRA COSTA,1995-11-07,PLEASANT HILL,CITY COUNCIL,,Full,Cooper,Paul L.,Incumbent,Yes,8,2617,14265,0.183,Yes
7,2,CONTRA COSTA,1995-11-07,PLEASANT HILL,CITY COUNCIL,,Full,Sterrett,Sherry M.,City Councilmember/Incumbent,Yes,8,2424,14256,0.17,No
7,2,CONTRA COSTA,1995-11-07,PLEASANT HILL,CITY COUNCIL,,Full,Landis,William Dale,Incumbent/City Councilmember,Yes,8,1833,14265,0.128,No
7,2,CONTRA COSTA,1995-11-07,PLEASANT HILL,CITY COUNCIL,,Full,Fishman,Sherman,Technology Products Representative,No,8,581,14256,0.041,No
7,2,CONTRA COSTA,1995-11-07,PLEASANT HILL,CITY COUNCIL,,Full,Schwarzenberger,Helene,Writer/Speaker/Student,No,8,526,14256,0.037,No
7,2,CONTRA COSTA,1995-11-07,PLEASANT HILL,CITY COUNCIL,,Full,Selvan,G. Troy,Business Student,No,8,371,14256,0.026,No
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Mc Intosh,Lesa R.,Attorney/Police Commissioner,No,16,7163,58093,0.123,Yes
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Powers,Donna Rae,City Councilmember,Yes,16,5705,58093,0.098,Yes
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,"Evans, Jr.",Alexander Peter,City Councilmember,Yes,16,5679,58093,0.098,Yes
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Butt,Thomas K.,Architect,No,16,5360,58093,0.092,Yes
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Bates,Nathaniel,Retired Probation Officer,No,16,4550,58093,0.078,Yes
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Livingston,George L.,Retired,No,16,4525,58093,0.078,No
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Ramsey,Evelyn Y.,Employment Program Representative,No,16,4156,58093,0.072,No
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Sutcliffe,Bob C.,Businessman/Police Commissioner,No,16,3877,58093,0.067,No
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Paulson,Dale H.,Pharmacist,No,16,3687,58093,0.063,No
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Booze,Courtland,Businessman,No,16,2379,58093,0.041,No
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Allen,Lucille S.,Retired School Teacher,No,16,2254,58093,0.039,No
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Martin,Bret A.,Chemical Engineer,No,16,2167,58093,0.037,No
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Brown,Joseph G.,Bank Analyst,No,16,1880,58093,0.032,No
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Jensen,Allan L.,University Administrator,No,16,1665,58093,0.029,No
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,White,Ionia M.,Homemaker,No,16,1537,58093,0.026,No
7,2,CONTRA COSTA,1995-11-07,RICHMOND,CITY COUNCIL,,Full,Bernard-Shaw,Cheryle T.,Manager/Attorney,No,16,1509,58093,0.026,No
7,2,CONTRA COSTA,1995-11-07,SAN RAMON,CITY COUNCIL,,Full,Welm,Hermann E.,Incumbent,Yes,5,5457,20794,0.262,Yes
7,2,CONTRA COSTA,1995-11-07,SAN RAMON,CITY COUNCIL,,Full,Athan,Byron D.,Attorney at Law,No,5,4619,20794,0.222,Yes
7,2,CONTRA COSTA,1995-11-07,SAN RAMON,CITY COUNCIL,,Full,Raab,Ronald William,Molecular Biologist/Instructor,No,5,4150,20794,0.2,Yes
7,2,CONTRA COSTA,1995-11-07,SAN RAMON,CITY COUNCIL,,Full,Tuohy,Patrick Joseph,Insurance Broker,No,5,3910,20794,0.188,No
7,2,CONTRA COSTA,1995-11-07,SAN RAMON,CITY COUNCIL,,Full,Meine,William K.,Retired,No,5,2658,20794,0.128,No
10,2,FRESNO,1995-11-07,MENDOTA,CITY COUNCIL,,Short,Amador,Joseph,No Ballot Designation,No,5,289,732,0.395,Yes
10,2,FRESNO,1995-11-07,MENDOTA,CITY COUNCIL,,Short,Lozano,Ben,No Ballot Designation,No,5,240,732,0.328,No
10,2,FRESNO,1995-11-07,MENDOTA,CITY COUNCIL,,Short,Capuchino,Severo Leo,No Ballot Designation,No,5,90,732,0.123,No
10,2,FRESNO,1995-11-07,MENDOTA,CITY COUNCIL,,Short,Martinez,Michael A.,No Ballot Designation,No,5,65,732,0.089,No
10,2,FRESNO,1995-11-07,MENDOTA,CITY COUNCIL,,Short,Pritchett,Erwin E.,No Ballot Designation,No,5,48,732,0.066,No
11,2,GLENN,1995-03-21,ORLAND,CITY COUNCIL,,Full,Coshow,Patricia,Homemaker,No,4,339,983,0.345,Yes
11,2,GLENN,1995-03-21,ORLAND,CITY COUNCIL,,Full,McGowan,Tom,Farmer/Businessman,No,4,274,983,0.279,Yes
11,2,GLENN,1995-03-21,ORLAND,CITY COUNCIL,,Full,Paschall,Jim,Equipment Supervisor,No,4,244,983,0.248,No
11,2,GLENN,1995-03-21,ORLAND,CITY COUNCIL,,Full,Stalnaker,Lacy,Retired Navy/Administration,No,4,125,983,0.127,No
13,2,IMPERIAL,1995-11-07,BRAWLEY,CITY CLERK,,Full,Smith,Janet P.,Certified Municipal Clerk,Yes,1,2254,2254,1.0,Yes
13,2,IMPERIAL,1995-11-07,BRAWLEY,CITY COUNCIL,,Full,Shields,M. Jo,Planning Commissioner/Businesswoman,No,6,1794,5908,0.304,Yes
13,2,IMPERIAL,1995-11-07,BRAWLEY,CITY COUNCIL,,Full,Benedict,Elsa Rodriguez,Real Estate Agent,No,6,1415,5908,0.24,Yes
13,2,IMPERIAL,1995-11-07,BRAWLEY,CITY COUNCIL,,Full,Benavides,Carlos C.,Job Developer,No,6,1105,5908,0.187,Yes
13,2,IMPERIAL,1995-11-07,BRAWLEY,CITY COUNCIL,,Full,Smith,Hoxsie Y,Businessman,No,6,727,5908,0.123,No
13,2,IMPERIAL,1995-11-07,BRAWLEY,CITY COUNCIL,,Full,Wilkinson,Bud,Dispatcher,No,6,438,5908,0.074,No
13,2,IMPERIAL,1995-11-07,BRAWLEY,CITY COUNCIL,,Full,Odenbaugh,Kevin,Business Consultant,No,6,429,5908,0.073,No
13,2,IMPERIAL,1995-11-07,BRAWLEY,CITY TREASURER,,Full,Santillan,Samuel B.,Incumbent,Yes,1,2080,2080,1.0,Yes
13,2,IMPERIAL,1995-03-07,CALEXICO,CITY COUNCIL,,Full,Guzman,Eduardo,Businessman,No,4,580,1529,0.379,Yes
13,2,IMPERIAL,1995-03-07,CALEXICO,CITY COUNCIL,,Full,Selwick,Arthur,Businessman,No,4,393,1529,0.257,No
13,2,IMPERIAL,1995-03-07,CALEXICO,CITY COUNCIL,,Full,Alatorre,Javier,No Ballot Designation,No,4,307,1529,0.201,No
13,2,IMPERIAL,1995-03-07,CALEXICO,CITY COUNCIL,,Full,Carrillo-Rivera,Hildy,Newspaper Editor,No,4,249,1529,0.163,No
13,2,IMPERIAL,1995-11-07,EL CENTRO,CITY CLERK,,Full,Noden,Rita M.,City Clerk,Yes,2,2795,3615,0.773,Yes
13,2,IMPERIAL,1995-11-07,EL CENTRO,CITY CLERK,,Full,Mc Brearty,Jenean,College Instructor/Writer,No,2,820,3615,0.227,No
13,2,IMPERIAL,1995-11-07,EL CENTRO,CITY COUNCIL,,Full,Sanders,Sedalia,Council Member,Yes,8,2013,9926,0.203,Yes
13,2,IMPERIAL,1995-11-07,EL CENTRO,CITY COUNCIL,,Full,Terrazas,"Jesus ""Jack""",Businessman/Council Member,Yes,8,1868,9926,0.188,Yes
13,2,IMPERIAL,1995-11-07,EL CENTRO,CITY COUNCIL,,Full,Dunnam,Jack,Real Estate Appraiser,No,8,1799,9926,0.181,Yes
13,2,IMPERIAL,1995-11-07,EL CENTRO,CITY COUNCIL,,Full,Perez,Gil A.,Retired School Administrator,No,8,1393,9926,0.14,No
13,2,IMPERIAL,1995-11-07,EL CENTRO,CITY COUNCIL,,Full,Sesma,Grace A.,Administrative Analyst,No,8,942,9926,0.095,No
13,2,IMPERIAL,1995-11-07,EL CENTRO,CITY COUNCIL,,Full,Makin,John,Businessman,No,8,746,9926,0.075,No
13,2,IMPERIAL,1995-11-07,EL CENTRO,CITY COUNCIL,,Full,"Cordova, Sr.",Ralph,Retired City Employee,No,8,663,9926,0.067,No
13,2,IMPERIAL,1995-11-07,EL CENTRO,CITY COUNCIL,,Full,White,Michael S.,Educator,No,8,502,9926,0.051,No
13,2,IMPERIAL,1995-11-07,EL CENTRO,CITY TREASURER,,Full,Terrazas,Albert,Savings & Loan Officer,No,1,3244,3244,1.0,Yes
19,2,LOS ANGELES,1995-11-07,AGOURA HILLS,CITY COUNCIL,,Full,Kuperberg,Dan,Attorney/Parks Commissioner,No,6,1570,5729,0.274,Yes
19,2,LOS ANGELES,1995-11-07,AGOURA HILLS,CITY COUNCIL,,Full,Rishoff,Louise C.,"Councilmember, Business Attorney",Yes,6,1426,5729,0.249,Yes
19,2,LOS ANGELES,1995-11-07,AGOURA HILLS,CITY COUNCIL,,Full,Mueller,Paul  G.,Small Business Owner,No,6,1255,5729,0.219,No
19,2,LOS ANGELES,1995-11-07,AGOURA HILLS,CITY COUNCIL,,Full,Murphy,Hank,Consultant/Teacher/Author,No,6,1159,5729,0.202,No
19,2,LOS ANGELES,1995-11-07,AGOURA HILLS,CITY COUNCIL,,Full,Willcox,Jonathan R.,State Game Warden,No,6,201,5729,0.035,No
19,2,LOS ANGELES,1995-11-07,AGOURA HILLS,CITY COUNCIL,,Full,Steinberg,Larry,Marketing Consultant,No,6,109,5729,0.019,No
19,2,LOS ANGELES,1995-02-28,BURBANK,CITY COUNCIL,,Full,Kramer,Robert,Business Owner/Columnist,No,10,6055,17448,0.347,Yes
19,2,LOS ANGELES,1995-02-28,BURBANK,CITY COUNCIL,,Full,Howard,Mary Lou,Community Leader/Businesswoman,No,10,2760,17448,0.158,Yes
19,2,LOS ANGELES,1995-02-28,BURBANK,CITY COUNCIL,,Full,Mc Conkey,Ted,Ret. Aerospace Spec./Bank Analyst/Writer,No,10,2440,17448,0.14,Yes
19,2,LOS ANGELES,1995-02-28,BURBANK,CITY COUNCIL,,Full,Sutliff,Gary,Retired Fire Battalion Chief,No,10,2214,17448,0.127,No
19,2,LOS ANGELES,1995-02-28,BURBANK,CITY COUNCIL,,Full,Gerred,David,Businessman,No,10,1370,17448,0.079,No
19,2,LOS ANGELES,1995-02-28,BURBANK,CITY COUNCIL,,Full,Dunivant,Bob,Businessman,No,10,1040,17448,0.06,No
19,2,LOS ANGELES,1995-02-28,BURBANK,CITY COUNCIL,,Full,Augustine,Jerry,Financial Secretary-Accountant,No,10,541,17448,0.031,No
19,2,LOS ANGELES,1995-02-28,BURBANK,CITY COUNCIL,,Full,Kimmett,,No Ballot Designation,No,10,453,17448,0.026,No
19,2,LOS ANGELES,1995-02-28,BURBANK,CITY COUNCIL,,Full,Barron,William,Power Plant Operator,No,10,364,17448,0.021,No
19,2,LOS ANGELES,1995-02-28,BURBANK,CITY COUNCIL,,Full,Torres,Peter Ray,No Ballot Designation,No,10,211,17448,0.012,No
19,2,LOS ANGELES,1995-04-11,BURBANK,CITY COUNCIL,,Full,McConkey,Ted,Ret. Aerospace Spec./Bank Analyst/Writer,No,2,5441,8908,0.611,Yes
19,2,LOS ANGELES,1995-04-11,BURBANK,CITY COUNCIL,,Full,Howard,Mary Lou,Community Leader/Businesswoman,No,2,3234,8908,0.363,No
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY COUNCIL,1.0,Full,Green,Ron,"Council member, District 1",Yes,7,2050,4670,0.439,Yes
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY COUNCIL,1.0,Full,Zurita,Delores,Executive Director,No,7,659,4670,0.141,Yes
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY COUNCIL,1.0,Full,Sanchez Jr.,Gorgonio,No Ballot Designation,No,7,583,4670,0.125,No
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY COUNCIL,1.0,Full,Randle,Stephen,Educator,No,7,531,4670,0.114,No
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY COUNCIL,1.0,Full,Goodin,Walter,Minister/Paralegal,No,7,422,4670,0.09,No
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY COUNCIL,1.0,Full,Cabrera,Alfonso,Administrator,No,7,238,4670,0.051,No
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY COUNCIL,1.0,Full,Jackson,Toi,Businesswoman/Community Volunteer,No,7,187,4670,0.04,No
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY COUNCIL,4.0,Full,Robbins,Jane,Incumbent,Yes,4,1978,4673,0.423,Yes
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY COUNCIL,4.0,Full,Cressel,Fred,Businessman,No,4,1271,4673,0.272,Yes
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY COUNCIL,4.0,Full,Cervantes,Lorraine,Community Organizing Consultant,No,4,870,4673,0.186,No
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY COUNCIL,4.0,Full,Bonner,Richard,Businessman,No,4,554,4673,0.119,No
19,2,LOS ANGELES,1995-04-18,COMPTON,CITY ATTORNEY,,Full,Clegg II,Legrand,City Attorney,Yes,1,3948,3948,1.0,Yes
19,2,LOS ANGELES,1995-06-06,COMPTON,CITY COUNCIL,1.0,Full,Zurita,Delores,Executive Director,No,2,2098,3816,0.55,Yes
19,2,LOS ANGELES,1995-06-06,COMPTON,CITY COUNCIL,1.0,Full,Green,Ron,"Councilmember, District 1",Yes,2,1718,3816,0.45,No
19,2,LOS ANGELES,1995-06-06,COMPTON,CITY COUNCIL,4.0,Full,Cressel,Fred,Businessman,No,2,2108,3814,0.553,Yes
19,2,LOS ANGELES,1995-06-06,COMPTON,CITY COUNCIL,4.0,Full,Robbins,Jane,Incumbent,Yes,2,1706,3814,0.447,No
19,2,LOS ANGELES,1995-11-07,DIAMOND BAR,CITY COUNCIL,,Full,Huff,Bob,Planning Commissioner/Businessman,No,11,2233,11854,0.188,Yes
19,2,LOS ANGELES,1995-11-07,DIAMOND BAR,CITY COUNCIL,,Full,Herrera,Carol,School Board Member,No,11,1614,11854,0.136,Yes
19,2,LOS ANGELES,1995-11-07,DIAMOND BAR,CITY COUNCIL,,Full,Schad,Donald,Businessman/Planning Commissioner,No,11,1602,11854,0.135,No
19,2,LOS ANGELES,1995-11-07,DIAMOND BAR,CITY COUNCIL,,Full,Ortiz,Thomas,Retired Police Officer,No,11,1216,11854,0.103,No
19,2,LOS ANGELES,1995-11-07,DIAMOND BAR,CITY COUNCIL,,Full,Perez,"Albert ""Al""",Local Attorney,No,11,965,11854,0.081,No
19,2,LOS ANGELES,1995-11-07,DIAMOND BAR,CITY COUNCIL,,Full,Lee,Jong M.,Dentist,No,11,941,11854,0.079,No
19,2,LOS ANGELES,1995-11-07,DIAMOND BAR,CITY COUNCIL,,Full,Paul,Jim,Retired Firefighter,No,11,891,11854,0.075,No
19,2,LOS ANGELES,1995-11-07,DIAMOND BAR,CITY COUNCIL,,Full,Papen,Phyllis,Mayor,No,11,795,11854,0.067,No
19,2,LOS ANGELES,1995-11-07,DIAMOND BAR,CITY COUNCIL,,Full,O'Daly,Art,Local Businessman,No,11,570,11854,0.048,No
19,2,LOS ANGELES,1995-11-07,DIAMOND BAR,CITY COUNCIL,,Full,Flamenbaum,Bruce,Attorney,No,11,533,11854,0.045,No
19,2,LOS ANGELES,1995-11-07,DIAMOND BAR,CITY COUNCIL,,Full,Beach-Courchesne,Barbara,Administrator/Educator,No,11,494,11854,0.042,No
19,2,LOS ANGELES,1995-11-07,DUARTE,CITY COUNCIL,,Full,Fasana,John,Duarte City Councilmember,Yes,5,1189,3619,0.329,Yes
19,2,LOS ANGELES,1995-11-07,DUARTE,CITY COUNCIL,,Full,Davey,Robert F.,Professor of Engineering,No,5,1102,3619,0.305,Yes
19,2,LOS ANGELES,1995-11-07,DUARTE,CITY COUNCIL,,Full,Taylor,Elenor,Educator/Attorney,No,5,510,3619,0.141,No
19,2,LOS ANGELES,1995-11-07,DUARTE,CITY COUNCIL,,Full,Duarte,Antonio (Tony),Teacher,No,5,462,3619,0.128,No
19,2,LOS ANGELES,1995-11-07,DUARTE,CITY COUNCIL,,Full,Lister,Brian,Small Businessman,No,5,356,3619,0.098,No
19,2,LOS ANGELES,1995-04-04,GLENDALE,CITY COUNCIL,,Full,Givens,Eileen,Council Member,Yes,5,9244,23291,0.397,Yes
19,2,LOS ANGELES,1995-04-04,GLENDALE,CITY COUNCIL,,Full,Zarian,Larry,Retired Businessman,No,5,5243,23291,0.225,Yes
19,2,LOS ANGELES,1995-04-04,GLENDALE,CITY COUNCIL,,Full,Weaver,David,Civil Engineer,No,5,4064,23291,0.174,No
19,2,LOS ANGELES,1995-04-04,GLENDALE,CITY COUNCIL,,Full,Wallis,David,Retired Engineer,No,5,2647,23291,0.114,No
19,2,LOS ANGELES,1995-04-04,GLENDALE,CITY COUNCIL,,Full,Beach,John,Retired Computer Person,No,5,2093,23291,0.09,No
19,2,LOS ANGELES,1995-03-07,HAWAIIAN GARDENS,CITY COUNCIL,,Full,Kathleen,Navejas,Incumbent,Yes,5,564,2085,0.271,Yes
19,2,LOS ANGELES,1995-03-07,HAWAIIAN GARDENS,CITY COUNCIL,,Full,Flores,Rene,Foreman,No,5,465,2085,0.223,Yes
19,2,LOS ANGELES,1995-03-07,HAWAIIAN GARDENS,CITY COUNCIL,,Full,Placido,Alvarez,Businessman,No,5,459,2085,0.22,No
19,2,LOS ANGELES,1995-03-07,HAWAIIAN GARDENS,CITY COUNCIL,,Full,Domenic,Ruggeri,Incumbent,Yes,5,405,2085,0.194,No
19,2,LOS ANGELES,1995-03-07,HAWAIIAN GARDENS,CITY COUNCIL,,Full,Alan,Calcote,Middle School Teacher,No,5,192,2085,0.092,No
19,2,LOS ANGELES,1995-11-07,HAWTHORNE,CITY COUNCIL,,Full,Ainsworth,Betty,Incumbent,Yes,7,1437,6921,0.208,Yes
19,2,LOS ANGELES,1995-11-07,HAWTHORNE,CITY COUNCIL,,Full,Bookhammer,Charles W.,Deputy County Supervisor,No,7,1336,6921,0.193,Yes
19,2,LOS ANGELES,1995-11-07,HAWTHORNE,CITY COUNCIL,,Full,Bails,Martha G.,Appointed Incumbent,Yes,7,1235,6921,0.178,Yes
19,2,LOS ANGELES,1995-11-07,HAWTHORNE,CITY COUNCIL,,Full,Young,Roger A.,Project Manager,No,7,859,6921,0.124,No
19,2,LOS ANGELES,1995-11-07,HAWTHORNE,CITY COUNCIL,,Full,Mitsch,James H.,Government Management Consultant,No,7,817,6921,0.118,No
19,2,LOS ANGELES,1995-11-07,HAWTHORNE,CITY COUNCIL,,Full,Hocker,Maud,School District Employee,No,7,640,6921,0.092,No
19,2,LOS ANGELES,1995-11-07,HAWTHORNE,CITY COUNCIL,,Full,Catano,Pablo,Legislative Field Representative,No,7,597,6921,0.086,No
19,2,LOS ANGELES,1995-11-07,HAWTHORNE,CITY MAYOR,,Full,Guidi,Larry,"Mayor, City of Hawthorne",Yes,1,2744,2744,1.0,Yes
