RecordID,RaceID,CO,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INC,NUM_INC,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,ELECTED,RACEID,RVOTES,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Total_writein,Newtotvotes,Rindivto,Newelected
201300168,201300044,15,2,KERN,2013,2013-06-04,Bakersfield,0,City Council,2,City Council,1,Short,1,Rivera,"P. ""Willie""",District Coordinator,N,2,6,764,0,2104,2104,0.36311787072243346,1,44,1.0,1,0,201300044,201300168,0,764,2104,0,2104,1.0,1
201300169,201300044,15,2,KERN,2013,2013-06-04,Bakersfield,0,City Council,2,City Council,1,Short,1,Martinez,Efren,Businessman,N,2,6,445,0,2104,2104,0.2115019011406844,2,44,2.0,0,0,201300044,201300169,0,445,2104,0,2104,2.0,2
201300170,201300044,15,2,KERN,2013,2013-06-04,Bakersfield,0,City Council,2,City Council,1,Short,1,Dean,Marvin,Business Owner,N,2,6,319,0,2104,2104,0.15161596958174905,2,44,3.0,0,0,201300044,201300170,0,319,2104,0,2104,3.0,2
201300171,201300044,15,2,KERN,2013,2013-06-04,Bakersfield,0,City Council,2,City Council,1,Short,1,Campbell,Stephanie,Business Owner,N,2,6,227,0,2104,2104,0.10788973384030419,2,44,4.0,0,0,201300044,201300171,0,227,2104,0,2104,4.0,2
201300172,201300044,15,2,KERN,2013,2013-06-04,Bakersfield,0,City Council,2,City Council,1,Short,1,Powell,Tomeka,Grantwriter/Business Owner,N,2,6,214,0,2104,2104,0.10171102661596958,2,44,5.0,0,0,201300044,201300172,0,214,2104,0,2104,5.0,2
201300173,201300044,15,2,KERN,2013,2013-06-04,Bakersfield,0,City Council,2,City Council,1,Short,1,Vereen,Donald,Student,N,2,6,135,0,2104,2104,0.06416349809885931,2,44,6.0,0,0,201300044,201300173,0,135,2104,0,2104,6.0,2
201300177,201300046,19,2,LOS ANGELES,2013,2013-02-26,Burbank,0,City Council,2,City Council,,Full,2,Frutos,"Robert ""Bob""",Police Officer,N,2,6,5262,0,24084,24084,0.2184853014449427,1,46,1.0,0,0,201300046,201300177,0,5262,24084,0,24084,1.0,1
201300178,201300046,19,2,LOS ANGELES,2013,2013-02-26,Burbank,0,City Council,2,City Council,,Full,2,Gordon,David,Councilmember / Optometrist,Y,1,6,4705,0,24084,24084,0.19535791396777943,3,46,2.0,0,1,201300046,201300178,0,4705,24084,0,24084,2.0,3
201300179,201300046,19,2,LOS ANGELES,2013,2013-02-26,Burbank,0,City Council,2,City Council,,Full,2,Talamantes,Jess A.,Burbank City Councilmember,Y,1,6,4341,0,24084,24084,0.18024414549078227,3,46,3.0,0,1,201300046,201300179,0,4341,24084,0,24084,3.0,3
201300180,201300046,19,2,LOS ANGELES,2013,2013-02-26,Burbank,0,City Council,2,City Council,,Full,2,Golonski,Dave,Burbank City Councilmember,Y,1,6,4113,0,24084,24084,0.17077727952167415,3,46,4.0,0,1,201300046,201300180,0,4113,24084,0,24084,4.0,3
201300181,201300046,19,2,LOS ANGELES,2013,2013-02-26,Burbank,0,City Council,2,City Council,,Full,2,Nos,David,Small Business Owner,N,2,6,3165,0,24084,24084,0.13141504733432985,3,46,5.0,0,1,201300046,201300181,0,3165,24084,0,24084,5.0,3
201300182,201300046,19,2,LOS ANGELES,2013,2013-02-26,Burbank,0,City Council,2,City Council,,Full,2,Guillen Jr.,Juan J.,Small Business Owner,N,2,6,2498,0,24084,24084,0.10372031224049161,2,46,6.0,0,0,201300046,201300182,0,2498,24084,0,24084,6.0,2
201300208,201300057,19,2,LOS ANGELES,2013,2013-03-05,Azusa,0,City Council,2,City Council,,Full,2,Gonzales,Robert,Azusa Councilmember,Y,1,6,1445,0,4814,4814,0.3001661819692563,1,49,1.0,0,0,201300057,201300208,0,1445,4814,0,4814,1.0,1
201300209,201300057,19,2,LOS ANGELES,2013,2013-03-05,Azusa,0,City Council,2,City Council,,Full,2,Alvarez,Edward,Auditor / Military Reservist,N,2,6,994,0,4814,4814,0.2064810968009971,1,49,2.0,0,0,201300057,201300209,0,994,4814,0,4814,2.0,1
201300210,201300057,19,2,LOS ANGELES,2013,2013-03-05,Azusa,0,City Council,2,City Council,,Full,2,Castro,Mercedes,Businessowner / Marketing Specialist,N,2,6,851,0,4814,4814,0.1767760697964271,2,49,3.0,0,0,201300057,201300210,0,851,4814,0,4814,3.0,2
201300211,201300057,19,2,LOS ANGELES,2013,2013-03-05,Azusa,0,City Council,2,City Council,,Full,2,Vogel,Jeri,Small Business Owner,N,2,6,695,0,4814,4814,0.14437058579144163,2,49,4.0,0,0,201300057,201300211,0,695,4814,0,4814,4.0,2
201300212,201300057,19,2,LOS ANGELES,2013,2013-03-05,Azusa,0,City Council,2,City Council,,Full,2,Benavides,Sandra,Project Manager / Realtor,N,2,6,681,0,4814,4814,0.14146240132945576,2,49,5.0,0,0,201300057,201300212,0,681,4814,0,4814,5.0,2
201300213,201300057,19,2,LOS ANGELES,2013,2013-03-05,Azusa,0,City Council,2,City Council,,Full,2,Caro,Mark A.,Expediter / Businessowner / CEO,N,2,6,148,0,4814,4814,0.0307436643124221,2,49,6.0,0,0,201300057,201300213,0,148,4814,0,4814,6.0,2
201300214,201300058,19,2,LOS ANGELES,2013,2013-03-05,Bell,0,City Council,2,City Council,,Full,2,Quintana,Ana Maria,Councilwoman/Attorney,Y,1,6,1099,0,3368,3368,0.3263064133016627,1,52,1.0,0,0,201300058,201300214,0,1099,3368,0,3368,1.0,1
201300215,201300058,19,2,LOS ANGELES,2013,2013-03-05,Bell,0,City Council,2,City Council,,Full,2,Romero,Alicia,School Dean,N,2,6,725,0,3368,3368,0.21526128266033254,1,52,2.0,0,0,201300058,201300215,0,725,3368,0,3368,2.0,1
201300216,201300058,19,2,LOS ANGELES,2013,2013-03-05,Bell,0,City Council,2,City Council,,Full,2,Harber,Danny,Councilmember,Y,1,6,665,0,3368,3368,0.19744655581947743,2,52,3.0,0,0,201300058,201300216,0,665,3368,0,3368,3.0,2
201300217,201300058,19,2,LOS ANGELES,2013,2013-03-05,Bell,0,City Council,2,City Council,,Full,2,Saenz,Nora A.,No Ballot Designation,N,2,6,398,0,3368,3368,0.11817102137767221,2,52,4.0,0,0,201300058,201300217,0,398,3368,0,3368,4.0,2
201300218,201300058,19,2,LOS ANGELES,2013,2013-03-05,Bell,0,City Council,2,City Council,,Full,2,Gannon,Donna I.,Retired,N,2,6,369,0,3368,3368,0.10956057007125891,2,52,5.0,0,0,201300058,201300218,0,369,3368,0,3368,5.0,2
201300219,201300058,19,2,LOS ANGELES,2013,2013-03-05,Bell,0,City Council,2,City Council,,Full,2,Mourad,"Yamel ""Jimmy""",Business Manager,N,2,6,112,0,3368,3368,0.0332541567695962,2,52,6.0,0,0,201300058,201300219,0,112,3368,0,3368,6.0,2
201300220,201300059,19,2,LOS ANGELES,2013,2013-03-05,Bellflower,0,City Council,2,City Council,,Full,2,Koops,Dan,Council Member/Businessman,Y,1,3,2193,0,5497,5497,0.3989448790249227,1,53,1.0,0,0,201300059,201300220,0,2193,5497,0,5497,1.0,1
201300221,201300059,19,2,LOS ANGELES,2013,2013-03-05,Bellflower,0,City Council,2,City Council,,Full,2,Larsen,Scott A.,CPA/Council Member,Y,1,3,2048,0,5497,5497,0.37256685464798983,1,53,2.0,0,0,201300059,201300221,0,2048,5497,0,5497,2.0,1
201300222,201300059,19,2,LOS ANGELES,2013,2013-03-05,Bellflower,0,City Council,2,City Council,,Full,2,Munoz,"U. ""Alex""",Business Investor/Contractor,N,2,3,1256,0,5497,5497,0.2284882663270875,2,53,3.0,0,0,201300059,201300222,0,1256,5497,0,5497,3.0,2
201300223,201300060,19,2,LOS ANGELES,2013,2013-03-05,Bellflower,0,City Council,2,City Council,,Short,1,Schnablegger,Ron,Business Owner,N,2,4,1584,0,3199,3199,0.4951547358549547,1,54,1.0,1,0,201300060,201300223,0,1584,3199,0,3199,1.0,1
201300224,201300060,19,2,LOS ANGELES,2013,2013-03-05,Bellflower,0,City Council,2,City Council,,Short,1,Melliz,Luis,Field Representative,N,2,4,825,0,3199,3199,0.2578930915911222,2,54,2.0,0,0,201300060,201300224,0,825,3199,0,3199,2.0,2
201300225,201300060,19,2,LOS ANGELES,2013,2013-03-05,Bellflower,0,City Council,2,City Council,,Short,1,Willingham,Gloria,Professor,N,2,4,702,0,3199,3199,0.21944357611753673,2,54,3.0,0,0,201300060,201300225,0,702,3199,0,3199,3.0,2
201300226,201300060,19,2,LOS ANGELES,2013,2013-03-05,Bellflower,0,City Council,2,City Council,,Short,1,Yahye,R.,Professor,N,2,4,88,0,3199,3199,0.02750859643638637,2,54,4.0,0,0,201300060,201300226,0,88,3199,0,3199,4.0,2
201300227,201300061,19,2,LOS ANGELES,2013,2013-03-05,Beverly Hills,0,City Council,2,City Council,,Full,3,Mirisch,John A.,Vice Mayor/Film Executive,Y,1,6,2837,0,11365,11365,0.24962604487461504,1,55,1.0,0,0,201300061,201300227,0,2837,11365,0,11365,1.0,1
201300228,201300061,19,2,LOS ANGELES,2013,2013-03-05,Beverly Hills,0,City Council,2,City Council,,Full,3,Brien,William W.,Mayor/Orthopedic Surgeon,Y,1,6,2621,0,11365,11365,0.23062032556093268,1,55,2.0,0,0,201300061,201300228,0,2621,11365,0,11365,2.0,1
201300229,201300061,19,2,LOS ANGELES,2013,2013-03-05,Beverly Hills,0,City Council,2,City Council,,Full,3,Krasne,Nancy H.,Former Councilmember/Mayor/School Teacher,N,2,6,2540,0,11365,11365,0.2234931808183018,1,55,3.0,0,0,201300061,201300229,0,2540,11365,0,11365,3.0,1
201300230,201300061,19,2,LOS ANGELES,2013,2013-03-05,Beverly Hills,0,City Council,2,City Council,,Full,3,Rosenstein,Brian,Planning Commission Vice-Chairman,N,2,6,2533,0,11365,11365,0.22287725472943246,2,55,4.0,0,0,201300061,201300230,0,2533,11365,0,11365,4.0,2
201300231,201300061,19,2,LOS ANGELES,2013,2013-03-05,Beverly Hills,0,City Council,2,City Council,,Full,3,Cohan,Katherine,Attorney/Mother/Mediator,N,2,6,498,0,11365,11365,0.04381874175098988,2,55,5.0,0,0,201300061,201300231,0,498,11365,0,11365,5.0,2
201300232,201300061,19,2,LOS ANGELES,2013,2013-03-05,Beverly Hills,0,City Council,2,City Council,,Full,3,Talei,Michael,Tech Entrepreneur - StudentFreelance.com,N,2,6,336,0,11365,11365,0.02956445226572811,2,55,6.0,0,0,201300061,201300232,0,336,11365,0,11365,6.0,2
201300233,201300062,19,2,LOS ANGELES,2013,2013-03-05,Calabasas,0,City Council,2,City Council,,Full,3,Maurer,Mary Sue,Mayor/Teacher/Parent,Y,1,4,2491,0,8242,8242,0.3022324678476098,1,57,1.0,0,0,201300062,201300233,0,2491,8242,0,8242,1.0,1
201300234,201300062,19,2,LOS ANGELES,2013,2013-03-05,Calabasas,0,City Council,2,City Council,,Full,3,Bozajian,James R.,Calabasas City Councilmember,Y,1,4,2475,0,8242,8242,0.3002911914583839,1,57,2.0,0,0,201300062,201300234,0,2475,8242,0,8242,2.0,1
201300235,201300062,19,2,LOS ANGELES,2013,2013-03-05,Calabasas,0,City Council,2,City Council,,Full,3,Shapiro,David J.,Attorney,N,2,4,2196,0,8242,8242,0.266440184421257,1,57,3.0,0,0,201300062,201300235,0,2196,8242,0,8242,3.0,1
201300236,201300062,19,2,LOS ANGELES,2013,2013-03-05,Calabasas,0,City Council,2,City Council,,Full,3,Thomas,Judy,Businessowner,N,2,4,1080,0,8242,8242,0.13103615627274934,2,57,4.0,0,0,201300062,201300236,0,1080,8242,0,8242,4.0,2
201300237,201300063,19,2,LOS ANGELES,2013,2013-03-05,Carson,0,City Council,2,City Council,,Full,2,Gipson,Mike A.,Councilmember,Y,1,8,6360,0,21666,21666,0.29354749376903905,1,58,1.0,0,0,201300063,201300237,0,6360,21666,0,21666,1.0,1
201300238,201300063,19,2,LOS ANGELES,2013,2013-03-05,Carson,0,City Council,2,City Council,,Full,2,Robles,Albert,Constitutional Attorney/Professor,N,2,8,5170,0,21666,21666,0.23862272685313393,1,58,2.0,0,0,201300063,201300238,0,5170,21666,0,21666,2.0,1
201300239,201300063,19,2,LOS ANGELES,2013,2013-03-05,Carson,0,City Council,2,City Council,,Full,2,Ruiz-Raber,Julie,City Council Member,Y,1,8,4616,0,21666,21666,0.21305270931413275,2,58,3.0,0,0,201300063,201300239,0,4616,21666,0,21666,3.0,2
201300240,201300063,19,2,LOS ANGELES,2013,2013-03-05,Carson,0,City Council,2,City Council,,Full,2,Brimmer,Charlotte,Planning Commissioner,N,2,8,2183,0,21666,21666,0.10075694636758054,2,58,4.0,0,0,201300063,201300240,0,2183,21666,0,21666,4.0,2
201300241,201300063,19,2,LOS ANGELES,2013,2013-03-05,Carson,0,City Council,2,City Council,,Full,2,Boggs,Rita R.,Retired Businesswoman/Professor,N,2,8,2047,0,21666,21666,0.09447983014861996,2,58,5.0,0,0,201300063,201300241,0,2047,21666,0,21666,5.0,2
201300242,201300063,19,2,LOS ANGELES,2013,2013-03-05,Carson,0,City Council,2,City Council,,Full,2,Gordon,Joseph,Businessman,N,2,8,585,0,21666,21666,0.02700083079479369,2,58,6.0,0,0,201300063,201300242,0,585,21666,0,21666,6.0,2
201300243,201300063,19,2,LOS ANGELES,2013,2013-03-05,Carson,0,City Council,2,City Council,,Full,2,Anyaka,Stephen C.,No Ballot Designation,N,2,8,381,0,21666,21666,0.01758515646635281,2,58,7.0,0,0,201300063,201300243,0,381,21666,0,21666,7.0,2
201300244,201300063,19,2,LOS ANGELES,2013,2013-03-05,Carson,0,City Council,2,City Council,,Full,2,Muckey,Timothy R.,Educator,N,2,8,324,0,21666,21666,0.01495430628634727,2,58,8.0,0,0,201300063,201300244,0,324,21666,0,21666,8.0,2
201300245,201300064,19,2,LOS ANGELES,2013,2013-03-05,Cerritos,0,City Council,2,City Council,,Full,2,Chen,Carol,Councilmember/Business Owner,Y,1,7,3795,0,13436,13436,0.282450133968443,1,60,1.0,0,0,201300064,201300245,0,3795,13436,0,13436,1.0,1
201300246,201300064,19,2,LOS ANGELES,2013,2013-03-05,Cerritos,0,City Council,2,City Council,,Full,2,Ray,George,Businessman,N,2,7,3574,0,13436,13436,0.26600178624590654,1,60,2.0,0,0,201300064,201300246,0,3574,13436,0,13436,2.0,1
201300247,201300064,19,2,LOS ANGELES,2013,2013-03-05,Cerritos,0,City Council,2,City Council,,Full,2,Yokoyama,Frank Aurelio,Businessman/Attorney,N,2,7,2939,0,13436,13436,0.21874069663590354,2,60,3.0,0,0,201300064,201300247,0,2939,13436,0,13436,3.0,2
201300248,201300064,19,2,LOS ANGELES,2013,2013-03-05,Cerritos,0,City Council,2,City Council,,Full,2,Kang,James,"Boardmember, ABC Unified School District",N,2,7,1199,0,13436,13436,0.08923786841321822,2,60,4.0,0,0,201300064,201300248,0,1199,13436,0,13436,4.0,2
201300249,201300064,19,2,LOS ANGELES,2013,2013-03-05,Cerritos,0,City Council,2,City Council,,Full,2,Ma,K.Y.,Retired Police Officer,N,2,7,1030,0,13436,13436,0.07665972015480797,2,60,5.0,0,0,201300064,201300249,0,1030,13436,0,13436,5.0,2
201300250,201300064,19,2,LOS ANGELES,2013,2013-03-05,Cerritos,0,City Council,2,City Council,,Full,2,Estella,Alejandro,Retired Social Worker,N,2,7,678,0,13436,13436,0.05046144685918428,2,60,6.0,0,0,201300064,201300250,0,678,13436,0,13436,6.0,2
201300251,201300064,19,2,LOS ANGELES,2013,2013-03-05,Cerritos,0,City Council,2,City Council,,Full,2,Valencia,Gerad,Homemaker,N,2,7,221,0,13436,13436,0.01644834772253647,2,60,7.0,0,0,201300064,201300251,0,221,13436,0,13436,7.0,2
201300252,201300065,19,2,LOS ANGELES,2013,2013-03-05,Claremont,0,City Council,2,City Council,,Full,2,Schroeder,Larry,City Councilmember,Y,1,3,3369,0,7412,7412,0.454533189422558,1,61,1.0,0,0,201300065,201300252,0,3369,7412,0,7412,1.0,1
201300253,201300065,19,2,LOS ANGELES,2013,2013-03-05,Claremont,0,City Council,2,City Council,,Full,2,Calaycay,Corey,City Councilmember,Y,1,3,3204,0,7412,7412,0.4322719913653535,1,61,2.0,0,0,201300065,201300253,0,3204,7412,0,7412,2.0,1
201300254,201300065,19,2,LOS ANGELES,2013,2013-03-05,Claremont,0,City Council,2,City Council,,Full,2,Keenan,Michael,Professional Window Cleaner,N,2,3,839,0,7412,7412,0.1131948192120885,2,61,3.0,0,0,201300065,201300254,0,839,7412,0,7412,3.0,2
201300255,201300066,19,2,LOS ANGELES,2013,2013-03-05,Commerce,0,City Council,2,City Council,,Full,3,Del Rio,Tina Baca,Councilmember,Y,1,6,686,0,3549,3549,0.1932938856015779,1,62,1.0,0,0,201300066,201300255,0,686,3549,0,3549,1.0,1
201300256,201300066,19,2,LOS ANGELES,2013,2013-03-05,Commerce,0,City Council,2,City Council,,Full,3,Altamirano,Ivan,Appointed Councilmember/Businessman,N,2,6,635,0,3549,3549,0.178923640462102,1,62,2.0,0,0,201300066,201300256,0,635,3549,0,3549,2.0,1
201300257,201300066,19,2,LOS ANGELES,2013,2013-03-05,Commerce,0,City Council,2,City Council,,Full,3,Leon,Lilia R.,Councilmember/Businesswoman,Y,1,6,623,0,3549,3549,0.1755424063116371,1,62,3.0,0,0,201300066,201300257,0,623,3549,0,3549,3.0,1
201300258,201300066,19,2,LOS ANGELES,2013,2013-03-05,Commerce,0,City Council,2,City Council,,Full,3,Flores,Joanna,Educator,N,2,6,589,0,3549,3549,0.1659622428853198,2,62,4.0,0,0,201300066,201300258,0,589,3549,0,3549,4.0,2
201300259,201300066,19,2,LOS ANGELES,2013,2013-03-05,Commerce,0,City Council,2,City Council,,Full,3,Valencia,Jaime,Accounting Associate,N,2,6,551,0,3549,3549,0.15525500140884757,2,62,5.0,0,0,201300066,201300259,0,551,3549,0,3549,5.0,2
201300260,201300066,19,2,LOS ANGELES,2013,2013-03-05,Commerce,0,City Council,2,City Council,,Full,3,Gonzalez,Art A.,Business Owner/Commissioner,N,2,6,465,0,3549,3549,0.13102282333051563,2,62,6.0,0,0,201300066,201300260,0,465,3549,0,3549,6.0,2
201300261,201300067,19,2,LOS ANGELES,2013,2013-03-05,Covina,0,City Council,2,City Council,,Full,3,Stapleton,Kevin,Businessman / Volunteer / Councilman,Y,1,4,2013,0,7448,7448,0.2702738990332975,1,64,1.0,0,0,201300067,201300261,0,2013,7448,0,7448,1.0,1
201300262,201300067,19,2,LOS ANGELES,2013,2013-03-05,Covina,0,City Council,2,City Council,,Full,3,King,John C.,Councilmember / Business Manager,Y,1,4,1860,0,7448,7448,0.24973147153598282,1,64,2.0,0,0,201300067,201300262,0,1860,7448,0,7448,2.0,1
201300263,201300067,19,2,LOS ANGELES,2013,2013-03-05,Covina,0,City Council,2,City Council,,Full,3,Marquez,Jorge A.,Field Deputy,N,2,4,1837,0,7448,7448,0.24664339419978518,1,64,3.0,0,0,201300067,201300263,0,1837,7448,0,7448,3.0,1
201300264,201300067,19,2,LOS ANGELES,2013,2013-03-05,Covina,0,City Council,2,City Council,,Full,3,Manning,Kay,University Administrator,N,2,4,1738,0,7448,7448,0.23335123523093448,2,64,4.0,0,0,201300067,201300264,0,1738,7448,0,7448,4.0,2
201300265,201300068,19,2,LOS ANGELES,2013,2013-03-05,Cudahy,0,City Council,2,City Council,,Full,2,Garcia,Chris,Business Consultant,N,2,6,543,0,2131,2131,0.25480994838104176,1,66,1.0,0,0,201300068,201300265,0,543,2131,0,2131,1.0,1
201300266,201300068,19,2,LOS ANGELES,2013,2013-03-05,Cudahy,0,City Council,2,City Council,,Full,2,Guerrero,Jack M.,Interim Councilman/C.P.A,N,2,6,513,0,2131,2131,0.24073205068043171,1,66,2.0,0,0,201300068,201300266,0,513,2131,0,2131,2.0,1
201300267,201300068,19,2,LOS ANGELES,2013,2013-03-05,Cudahy,0,City Council,2,City Council,,Full,2,Pivaral,Ruben,Teacher,N,2,6,328,0,2131,2131,0.15391834819333647,2,66,3.0,0,0,201300068,201300267,0,328,2131,0,2131,3.0,2
201300268,201300068,19,2,LOS ANGELES,2013,2013-03-05,Cudahy,0,City Council,2,City Council,,Full,2,Lara,Richard,Procurement Aid,N,2,6,289,0,2131,2131,0.1356170811825434,2,66,4.0,0,0,201300068,201300268,0,289,2131,0,2131,4.0,2
201300269,201300068,19,2,LOS ANGELES,2013,2013-03-05,Cudahy,0,City Council,2,City Council,,Full,2,Aguilera,Martin,Garment Industry Supervisor,N,2,6,273,0,2131,2131,0.12810886907555138,2,66,5.0,0,0,201300068,201300269,0,273,2131,0,2131,5.0,2
201300270,201300068,19,2,LOS ANGELES,2013,2013-03-05,Cudahy,0,City Council,2,City Council,,Full,2,Velasquez,Isaac D.,Commercial Broker,N,2,6,185,0,2131,2131,0.08681370248709526,2,66,6.0,0,0,201300068,201300270,0,185,2131,0,2131,6.0,2
201300271,201300069,19,2,LOS ANGELES,2013,2013-03-05,Cudahy,0,City Council,2,City Council,,Short,1,Sanchez,Baru A.,Auditor/C.P.A,N,2,3,533,0,1178,1178,0.4524617996604414,1,67,1.0,1,0,201300069,201300271,0,533,1178,0,1178,1.0,1
201300272,201300069,19,2,LOS ANGELES,2013,2013-03-05,Cudahy,0,City Council,2,City Council,,Short,1,Barrios,Josue,Councilmember/Business Owner,Y,1,3,366,0,1178,1178,0.31069609507640067,2,67,2.0,0,0,201300069,201300272,0,366,1178,0,1178,2.0,2
201300273,201300069,19,2,LOS ANGELES,2013,2013-03-05,Cudahy,0,City Council,2,City Council,,Short,1,Iglesias,Richard,Purchasing Officer,N,2,3,279,0,1178,1178,0.23684210526315788,2,67,3.0,0,0,201300069,201300273,0,279,1178,0,1178,3.0,2
201300274,201300070,19,2,LOS ANGELES,2013,2013-03-05,Gardena,0,City Council,2,City Council,,Full,2,Cerda,Tasha,City Council Member,Y,1,5,2611,0,8702,8702,0.3000459664444955,1,69,1.0,0,0,201300070,201300274,0,2611,8702,0,8702,1.0,1
201300275,201300070,19,2,LOS ANGELES,2013,2013-03-05,Gardena,0,City Council,2,City Council,,Full,2,Terauchi,"Terrence ""Terry""",Los Angeles County Criminal Prosecutor,N,2,5,2301,0,8702,8702,0.26442197196046885,1,69,2.0,0,0,201300070,201300275,0,2301,8702,0,8702,2.0,1
201300276,201300070,19,2,LOS ANGELES,2013,2013-03-05,Gardena,0,City Council,2,City Council,,Full,2,Tanaka,Rodney G.,Pastor / Retired Policeman,N,2,5,2242,0,8702,8702,0.2576419213973799,2,69,3.0,0,0,201300070,201300276,0,2242,8702,0,8702,3.0,2
201300277,201300070,19,2,LOS ANGELES,2013,2013-03-05,Gardena,0,City Council,2,City Council,,Full,2,Henderson,Mark E.,College Director / Commissioner,N,2,5,1199,0,8702,8702,0.13778441737531602,2,69,4.0,0,0,201300070,201300277,0,1199,8702,0,8702,4.0,2
201300278,201300070,19,2,LOS ANGELES,2013,2013-03-05,Gardena,0,City Council,2,City Council,,Full,2,Evans,"Kathleen ""Suzy""",Business Owner / Producer,N,2,5,349,0,8702,8702,0.04010572282233969,2,69,5.0,0,0,201300070,201300278,0,349,8702,0,8702,5.0,2
