RecordID,RACEID,CO,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INCUMB,NUM_INC,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,RVOTES,PERCENT,ELECTED,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Total_writein,Newtotvotes,Rindivto,Newelected
201600012,7,1,1,ALAMEDA,2016,2016-11-08,Alameda,0,SUPERIOR JUDGE,5,SUPERIOR JUDGE,1,Full,1,Jackson,Scott,Discrimination Attorney/Law Professor,N,2,2,256107,3728,539503,543231,2.0,0.47145137151598493,2,0,0,201600007,201600012,0,256107,539503,3728,543231,2.0,2
201600013,8,2,1,ALPINE,2016,2016-06-07,Alpine,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Hames,Ron,Alpine County Supervisor,Y,1,2,75,0,121,121,1.0,0.6198347107438017,1,0,0,201600008,201600013,0,75,121,0,121,1.0,1
201600014,8,2,1,ALPINE,2016,2016-06-07,Alpine,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,"Holdridge, Jr.",James,Retired Fire Officer,N,2,2,46,0,121,121,2.0,0.38016528925619836,2,0,0,201600008,201600014,0,46,121,0,121,2.0,2
201600015,9,2,1,ALPINE,2016,2016-06-07,Alpine,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Rakow,Katherine,Incumbent,Y,1,1,33,5,33,38,1.0,0.868421052631579,1,0,0,201600009,201600015,0,33,33,5,38,1.0,1
201600016,10,2,1,ALPINE,2016,2016-06-07,Alpine,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Griffith,David Julius,Geologist,N,2,3,55,0,135,135,1.0,0.4074074074074074,3,1,1,201600010,201600016,0,55,135,0,135,1.0,3
201600017,10,2,1,ALPINE,2016,2016-06-07,Alpine,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Sweeney,Tom,Retired College Professor,N,2,3,43,0,135,135,2.0,0.31851851851851853,3,1,1,201600010,201600017,0,43,135,0,135,2.0,3
201600018,10,2,1,ALPINE,2016,2016-06-07,Alpine,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Garrity,Michael,Law Enforcement Officer,N,2,3,37,0,135,135,3.0,0.2740740740740741,2,0,0,201600010,201600018,0,37,135,0,135,3.0,2
201600019,11,2,1,ALPINE,2016,2016-06-07,Alpine,0,SUPERIOR JUDGE,5,SUPERIOR JUDGE,,Full,1,Kolpacoff,Thomas D.,Incumbent,Y,1,1,389,8,389,397,1.0,0.9798488664987406,1,0,0,201600011,201600019,0,389,389,8,397,1.0,1
201600020,12,2,1,ALPINE,2016,2016-11-08,Alpine,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Griffith,David Julius,Geologist,N,2,2,86,0,141,141,1.0,0.6099290780141844,1,0,0,201600012,201600020,0,86,141,0,141,1.0,1
201600021,12,2,1,ALPINE,2016,2016-11-08,Alpine,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Sweeney,Tom,Retired College Professor,N,2,2,55,0,141,141,2.0,0.3900709219858156,2,0,0,201600012,201600021,0,55,141,0,141,2.0,2
201600022,13,3,1,AMADOR,2016,2016-06-07,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Crew,Patrick,Jackson City Council,N,2,1,1682,73,1682,1755,1.0,0.9584045584045584,1,0,0,201600013,201600022,0,1682,1682,73,1755,1.0,1
201600023,14,3,1,AMADOR,2016,2016-06-07,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Forster,Richard M.,Amador County District 2 Supervisor,Y,1,2,1761,6,2428,2434,1.0,0.7235004108463434,1,0,0,201600014,201600023,0,1761,2428,6,2434,1.0,1
201600024,14,3,1,AMADOR,2016,2016-06-07,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Hoiska,Amber,Financial Risk Analyst,N,2,2,667,6,2428,2434,2.0,0.27403451109285126,2,0,0,201600014,201600024,0,667,2428,6,2434,2.0,2
201600025,15,3,1,AMADOR,2016,2016-06-07,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Boitano,Louis D.,Incumbent Supervisor District 4,Y,1,3,1251,6,2589,2595,1.0,0.4820809248554913,3,1,1,201600015,201600025,0,1251,2589,6,2595,1.0,3
201600026,15,3,1,AMADOR,2016,2016-06-07,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Axe,Frank,Teacher/Manager,N,2,3,1085,6,2589,2595,2.0,0.41811175337186895,3,1,1,201600015,201600026,0,1085,2589,6,2595,2.0,3
201600027,15,3,1,AMADOR,2016,2016-06-07,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Clayton,Gwen,Administrative Assistant,N,2,3,253,6,2589,2595,3.0,0.097495183044316,2,0,0,201600015,201600027,0,253,2589,6,2595,3.0,2
201600028,16,3,1,AMADOR,2016,2016-11-08,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Axe,Frank,Teacher/Manager,N,2,2,1872,12,3657,3669,1.0,0.5102207686017989,1,0,0,201600016,201600028,0,1872,3657,12,3669,1.0,1
201600029,16,3,1,AMADOR,2016,2016-11-08,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Boitano,Louis D.,Incumbent Supervisor District 4,Y,1,2,1785,12,3657,3669,2.0,0.48650858544562553,2,0,0,201600016,201600029,0,1785,3657,12,3669,2.0,2
201600030,17,4,1,BUTTE,2016,2016-06-07,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Connelly,Bill,Small Businessman,Y,1,3,6795,51,11163,11214,1.0,0.6059390048154093,1,0,0,201600017,201600030,0,6795,11163,51,11214,1.0,1
201600031,17,4,1,BUTTE,2016,2016-06-07,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Warner,Tom,Employment Eligibility Supervisor,N,2,3,2610,51,11163,11214,2.0,0.23274478330658105,2,0,0,201600017,201600031,0,2610,11163,51,11214,2.0,2
201600032,17,4,1,BUTTE,2016,2016-06-07,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Stoker,"J.R. ""Ron""",Retired,N,2,3,1758,51,11163,11214,3.0,0.15676832530765114,2,0,0,201600017,201600032,0,1758,11163,51,11214,3.0,2
201600033,18,4,1,BUTTE,2016,2016-06-07,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Lambert,Steve,Rancher/County Supervisor,Y,1,2,6740,74,9318,9392,1.0,0.7176320272572402,1,0,0,201600018,201600033,0,6740,9318,74,9392,1.0,1
201600034,18,4,1,BUTTE,2016,2016-06-07,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Jensen,Mark,Retired,N,2,2,2578,74,9318,9392,2.0,0.27448892674616693,2,0,0,201600018,201600034,0,2578,9318,74,9392,2.0,2
201600035,19,4,1,BUTTE,2016,2016-06-07,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Teeter,Doug,County Supervisor District 5,Y,1,4,6990,37,15096,15133,1.0,0.46190444723452057,3,1,1,201600019,201600035,0,6990,15096,37,15133,1.0,3
201600036,19,4,1,BUTTE,2016,2016-06-07,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Huffman,"Maurice ""Big Mo""",Small Business Owner,N,2,4,3377,37,15096,15133,2.0,0.22315469503733562,3,1,1,201600019,201600036,0,3377,15096,37,15133,2.0,3
201600037,19,4,1,BUTTE,2016,2016-06-07,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Wright,Dianna,Business Owner,N,2,4,3062,37,15096,15133,3.0,0.2023392585739774,2,0,0,201600019,201600037,0,3062,15096,37,15133,3.0,2
201600038,19,4,1,BUTTE,2016,2016-06-07,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Grumbles,"Dwight ""DH""",Businessowner/Flooring Contractor,N,2,4,1667,37,15096,15133,4.0,0.11015661137910526,2,0,0,201600019,201600038,0,1667,15096,37,15133,4.0,2
201600039,20,4,1,BUTTE,2016,2016-11-08,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,,Full,1,Teeter,Doug,County Supervisor District 5,Y,1,2,12093,43,20789,20832,1.0,0.5805011520737328,1,0,0,201600020,201600039,0,12093,20789,43,20832,1.0,1
201600040,20,4,1,BUTTE,2016,2016-11-08,Butte,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,,Full,1,Huffman,"Maurice ""Big Mo""",Small Business Owner,N,2,2,8696,43,20789,20832,2.0,0.4174347158218126,2,0,0,201600020,201600040,0,8696,20789,43,20832,2.0,2
201600041,21,5,1,CALAVERAS,2016,2016-06-07,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Tofanelli,Gary N.,Business Owner,N,2,3,1089,8,2777,2785,1.0,0.3910233393177738,3,1,1,201600021,201600041,0,1089,2777,8,2785,1.0,3
201600042,21,5,1,CALAVERAS,2016,2016-06-07,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Edson,Cliff,Incumbent,Y,1,3,1083,8,2777,2785,2.0,0.3888689407540395,3,1,1,201600021,201600042,0,1083,2777,8,2785,2.0,3
201600043,21,5,1,CALAVERAS,2016,2016-06-07,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Romano,Sharon,Retired Business Consultant,N,2,3,605,8,2777,2785,3.0,0.21723518850987433,2,0,0,201600021,201600043,0,605,2777,8,2785,3.0,2
201600044,22,5,1,CALAVERAS,2016,2016-06-07,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,"Garamendi, Jr.","John ""Jack""",Business Owner/Rancher,N,2,1,2262,118,2262,2380,1.0,0.9504201680672268,1,0,0,201600022,201600044,0,2262,2262,118,2380,1.0,1
201600045,23,5,1,CALAVERAS,2016,2016-06-07,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Mills,Dennis E.,Calaveras County Water Director,N,2,3,1758,10,3176,3186,1.0,0.551789077212806,1,0,0,201600023,201600045,0,1758,3176,10,3186,1.0,1
201600046,23,5,1,CALAVERAS,2016,2016-06-07,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Smith,Sherri,Restaurateur,N,2,3,867,10,3176,3186,2.0,0.2721280602636535,2,0,0,201600023,201600046,0,867,3176,10,3186,2.0,2
201600047,23,5,1,CALAVERAS,2016,2016-06-07,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Radford,Ann,Family Nurse Practicioner,N,2,3,551,10,3176,3186,3.0,0.17294413057124922,2,0,0,201600023,201600047,0,551,3176,10,3186,3.0,2
201600048,24,5,1,CALAVERAS,2016,2016-11-08,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Tofanelli,Gary N.,Business Owner,N,2,2,2247,26,4180,4206,1.0,0.5342368045649073,1,0,0,201600024,201600048,0,2247,4180,26,4206,1.0,1
201600049,24,5,1,CALAVERAS,2016,2016-11-08,Calaveras,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Edson,Cliff,County Supervisor/Business Owner,Y,1,2,1933,26,4180,4206,2.0,0.45958155016642893,2,0,0,201600024,201600049,0,1933,4180,26,4206,2.0,2
201600050,25,5,1,CALAVERAS,2016,2016-11-08,Calaveras,0,COUNTY SUPERVISOR-R,1,COUNTY SUPERVISOR,5,Short,1,Clapp,Clyde,Retired General Contractor,N,2,4,1186,76,3511,3587,1.0,0.33063841650404235,1,1,0,201600025,201600050,0,1186,3511,76,3587,1.0,1
201600051,25,5,1,CALAVERAS,2016,2016-11-08,Calaveras,0,COUNTY SUPERVISOR-R,1,COUNTY SUPERVISOR,5,Short,1,Bowerman,Bob,Retired Adverstising Executive,N,2,4,835,76,3511,3587,2.0,0.23278505715082243,2,1,0,201600025,201600051,0,835,3511,76,3587,2.0,2
201600052,25,5,1,CALAVERAS,2016,2016-11-08,Calaveras,0,COUNTY SUPERVISOR-R,1,COUNTY SUPERVISOR,5,Short,1,Giudici,Bruce,Non-Profit Fiscal Officer,N,2,4,821,76,3511,3587,3.0,0.22888207415667688,2,0,0,201600025,201600052,0,821,3511,76,3587,3.0,2
201600053,25,5,1,CALAVERAS,2016,2016-11-08,Calaveras,0,COUNTY SUPERVISOR-R,1,COUNTY SUPERVISOR,5,Short,1,Tunno,David,Trial Consultant,N,2,4,669,76,3511,3587,4.0,0.18650683022023976,2,0,0,201600025,201600053,0,669,3511,76,3587,4.0,2
201600054,26,6,1,COLUSA,2016,2016-06-07,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Loudon,John D.,Appointed Incumbent,Y,1,3,463,3,955,958,1.0,0.48329853862212946,3,1,1,201600026,201600054,0,463,955,3,958,1.0,3
201600055,26,6,1,COLUSA,2016,2016-06-07,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Moriconi,Robert,Farmer/Businessman,N,2,3,340,3,955,958,2.0,0.35490605427974947,3,1,1,201600026,201600055,0,340,955,3,958,2.0,3
201600056,26,6,1,COLUSA,2016,2016-06-07,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Bressler,Terry,Reclamation District Manager,N,2,3,152,3,955,958,3.0,0.15866388308977036,2,0,0,201600026,201600056,0,152,955,3,958,3.0,2
201600057,27,6,1,COLUSA,2016,2016-06-07,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Marshall,Mark D.,Incumbent,Y,1,3,349,4,714,718,1.0,0.4860724233983287,3,1,1,201600027,201600057,0,349,714,4,718,1.0,3
201600058,27,6,1,COLUSA,2016,2016-06-07,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Boes,Kent,Transit Manager/Councilmember,N,2,3,227,4,714,718,2.0,0.3161559888579387,3,1,1,201600027,201600058,0,227,714,4,718,2.0,3
201600059,27,6,1,COLUSA,2016,2016-06-07,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Plachek-Fulcher,Angela,Businesswoman,N,2,3,138,4,714,718,3.0,0.19220055710306408,2,0,0,201600027,201600059,0,138,714,4,718,3.0,2
201600060,28,6,1,COLUSA,2016,2016-06-07,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Evans,Gary J.,Contractor,Y,1,3,329,2,729,731,1.0,0.45006839945280436,3,1,1,201600028,201600060,0,329,729,2,731,1.0,3
201600061,28,6,1,COLUSA,2016,2016-06-07,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Meeker,Susan,Writer/Journalist,N,2,3,271,2,729,731,2.0,0.3707250341997264,3,1,1,201600028,201600061,0,271,729,2,731,2.0,3
201600062,28,6,1,COLUSA,2016,2016-06-07,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Lazarus,Ed,Road Maintenance/Businessman,N,2,3,129,2,729,731,3.0,0.17647058823529413,2,0,0,201600028,201600062,0,129,729,2,731,3.0,2
201600063,29,6,1,COLUSA,2016,2016-11-08,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,3,Loudon,John D.,Appointed Incumbent,Y,1,2,790,0,1417,1417,1.0,0.5575158786167961,1,0,0,201600029,201600063,0,790,1417,0,1417,1.0,1
201600064,29,6,1,COLUSA,2016,2016-11-08,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,3,Moriconi,Robert,Farmer/Businessman,N,2,2,627,0,1417,1417,2.0,0.442484121383204,1,0,0,201600029,201600064,0,627,1417,0,1417,2.0,1
201600065,30,6,1,COLUSA,2016,2016-11-08,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Boes,Kent,Transit Manager/Councilmember,N,2,2,560,0,1066,1066,1.0,0.525328330206379,1,0,0,201600030,201600065,0,560,1066,0,1066,1.0,1
201600066,30,6,1,COLUSA,2016,2016-11-08,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Marshall,Mark D.,Incumbent,Y,1,2,506,0,1066,1066,2.0,0.474671669793621,2,0,0,201600030,201600066,0,506,1066,0,1066,2.0,2
201600067,31,6,1,COLUSA,2016,2016-11-08,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Evans,Gary J.,Contractor,Y,1,2,595,0,1061,1061,1.0,0.5607917059377945,1,0,0,201600031,201600067,0,595,1061,0,1061,1.0,1
201600068,31,6,1,COLUSA,2016,2016-11-08,Colusa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Meeker,Susan,Writer/Journalist,N,2,2,466,0,1061,1061,2.0,0.43920829406220546,2,0,0,201600031,201600068,0,466,1061,0,1061,2.0,2
201600069,32,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Andersen,Candace,"Contra Costa County Supervisor, District 2",Y,1,1,44686,817,44686,45503,1.0,0.9820451398808869,1,0,0,201600032,201600069,0,44686,44686,817,45503,1.0,1
201600070,33,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Barr,Steve,"Council Member, City of Brentwood",N,2,6,11490,87,40783,40870,1.0,0.2811353070712014,3,1,1,201600033,201600070,0,11490,40783,87,40870,1.0,3
201600071,33,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Burgis,Diane,East Bay Regional Park District Board Member,N,2,6,9383,87,40783,40870,2.0,0.22958160019574259,3,1,1,201600033,201600071,0,9383,40783,87,40870,2.0,3
201600072,33,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Hardcastle,Douglas F.,Smallbusinessman/Councilman,N,2,6,7516,87,40783,40870,3.0,0.18390017127477368,2,0,0,201600033,201600072,0,7516,40783,87,40870,3.0,2
201600073,33,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Harper,Wade,Mayor/Retired Policeman,N,2,6,6080,87,40783,40870,4.0,0.1487643748470761,2,0,0,201600033,201600073,0,6080,40783,87,40870,4.0,2
201600074,33,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Wilson,Monica E.,Councilmember/Workforce Representative,N,2,6,3827,87,40783,40870,5.0,0.09363836554930266,2,0,0,201600033,201600074,0,3827,40783,87,40870,5.0,2
201600075,33,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,LeFrancois,Odessa,Respiratory Therapist,N,2,6,2487,87,40783,40870,6.0,0.06085148030340103,2,0,0,201600033,201600075,0,2487,40783,87,40870,6.0,2
201600076,34,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Glover,Federal,"Supervisor, 5th District",Y,1,5,13101,145,38107,38252,1.0,0.3424918958485831,3,1,1,201600034,201600076,0,13101,38107,145,38252,1.0,3
201600077,34,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Farias,Anamarie Avila,Vice Mayor City of Martinez,N,2,5,12125,145,38107,38252,2.0,0.31697689009724983,3,1,1,201600034,201600077,0,12125,38107,145,38252,2.0,3
201600078,34,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Menesini,Michael,Assistant District Attorney,N,2,5,5541,145,38107,38252,3.0,0.14485517097145248,2,0,0,201600034,201600078,0,5541,38107,145,38252,3.0,2
201600079,34,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Romero,Dan,Mayor City of Hercules,N,2,5,5217,145,38107,38252,4.0,0.13638502561957544,2,0,0,201600034,201600079,0,5217,38107,145,38252,4.0,2
201600080,34,7,1,CONTRA COSTA,2016,2016-06-07,Contra Costa,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Dandridge,Conrad,Program Analyst,N,2,5,2123,145,38107,38252,5.0,0.05550036599393496,2,0,0,201600034,201600080,0,2123,38107,145,38252,5.0,2
201600085,35,7,1,CONTRA COSTA,2016,2016-11-08,Contra Costa,1,"DIRECTOR, Discovery Bay CSD",4,DIRECTOR,,Full,2,Pease,Bill,Town of Discovery Bay CSD Director,Y,1,4,3178,31,9079,9110,1.0,0.348847420417124,1,0,0,201600035,201600085,0,3178,9079,31,9110,1.0,1
201600086,35,7,1,CONTRA COSTA,2016,2016-11-08,Contra Costa,1,"DIRECTOR, Discovery Bay CSD",4,DIRECTOR,,Full,2,Mayer,Bill,Business Owner,N,2,4,2120,31,9079,9110,2.0,0.2327113062568606,1,0,0,201600035,201600086,0,2120,9079,31,9110,2.0,1
201600087,35,7,1,CONTRA COSTA,2016,2016-11-08,Contra Costa,1,"DIRECTOR, Discovery Bay CSD",4,DIRECTOR,,Full,2,Simon,Mark,Incumbent,Y,1,4,2015,31,9079,9110,3.0,0.221185510428101,2,0,0,201600035,201600087,0,2015,9079,31,9110,3.0,2
201600088,35,7,1,CONTRA COSTA,2016,2016-11-08,Contra Costa,1,"DIRECTOR, Discovery Bay CSD",4,DIRECTOR,,Full,2,Wiesen,Mariane B.,Nursing Home Adminstrator,N,2,4,1766,31,9079,9110,4.0,0.19385290889132822,2,0,0,201600035,201600088,0,1766,9079,31,9110,4.0,2
201600081,36,7,1,CONTRA COSTA,2016,2016-11-08,Contra Costa County,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Burgis,Diane,East Bay Regional Park District Board Director,N,2,2,45413,195,75196,75391,1.0,0.6023663301985648,1,0,0,201600036,201600081,0,45413,75196,195,75391,1.0,1
201600082,36,7,1,CONTRA COSTA,2016,2016-11-08,Contra Costa County,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Barr,Steve,City of Brentwood,N,2,2,29783,195,75196,75391,2.0,0.39504715416959585,2,0,0,201600036,201600082,0,29783,75196,195,75391,2.0,2
201600083,37,7,1,CONTRA COSTA,2016,2016-11-08,Contra Costa County,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Glover,Federal,"Supervisor, 5th District",Y,1,2,36371,311,68227,68538,1.0,0.5306691178616242,1,0,0,201600037,201600083,0,36371,68227,311,68538,1.0,1
