RecordID,RACEID,CO#,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INC,NUM_INC,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,ELECTED,RVOTES,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Total_writein,Newtotvotes,Rindivto,Newelected
202100025,7,10,2,FRESNO,2021,2021-03-02,Clovis,0,CITY COUNCIL,2,,Full,2,Mouanoutoua,Vong,Incumbent,Y,1,5,9164,0,28588,28588,0.32055407863439206,1,1,0,0,202100007,202100025,0,9164,28588,0,28588,1,1
202100026,7,10,2,FRESNO,2021,2021-03-02,Clovis,0,CITY COUNCIL,2,,Full,2,Ashbeck,Lynne,Councilmember/Hospital Vice-President,Y,1,5,8994,0,28588,28588,0.3146075276339723,1,2,0,0,202100007,202100026,0,8994,28588,0,28588,2,1
202100027,7,10,2,FRESNO,2021,2021-03-02,Clovis,0,CITY COUNCIL,2,,Full,2,Pearce,Diane,Business Owner,N,2,5,6089,0,28588,28588,0.2129914649503288,2,3,0,0,202100007,202100027,0,6089,28588,0,28588,3,2
202100028,7,10,2,FRESNO,2021,2021-03-02,Clovis,0,CITY COUNCIL,2,,Full,2,Elbaz,Noha,Businesswoman/Educator,N,2,5,3446,0,28588,28588,0.12054008674968518,2,4,0,0,202100007,202100028,0,3446,28588,0,28588,4,2
202100029,7,10,2,FRESNO,2021,2021-03-02,Clovis,0,CITY COUNCIL,2,,Full,2,Nagra,Herman,Business Owner,N,2,5,895,0,28588,28588,0.03130684203162166,2,5,0,0,202100007,202100029,0,895,28588,0,28588,5,2
202100030,8,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,CITY ATTORNEY,6,,Full,1,Webb,Michael W.,Redondo Beach City Attorney,Y,1,2,7739,0,13265,13265,0.5834150018846589,1,1,0,0,202100008,202100030,0,7739,13265,0,13265,1,1
202100031,8,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,CITY ATTORNEY,6,,Full,1,Sooper,Harden,Deputy District Attorney,N,2,2,5526,0,13265,13265,0.4165849981153411,2,2,0,0,202100008,202100031,0,5526,13265,0,13265,2,2
202100032,9,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,CITY COUNCIL,2,1.0,Full,1,Nehrenheim,Nils,"Councilmember, City of Redondo Beach",Y,1,2,1937,0,3170,3170,0.6110410094637224,1,1,0,0,202100009,202100032,0,1937,3170,0,3170,1,1
202100033,9,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,CITY COUNCIL,2,1.0,Full,1,Waller,Brad,Businessowner/RBUSD Trustee,N,2,2,1233,0,3170,3170,0.3889589905362776,2,2,0,0,202100009,202100033,0,1233,3170,0,3170,2,2
202100034,10,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,CITY COUNCIL,2,2.0,Full,1,Loewenstein,Todd,"Councilmember, District 2, City of Redondo Beach",Y,1,3,2067,0,2943,2943,0.7023445463812437,1,1,0,0,202100010,202100034,0,2067,2943,0,2943,1,1
202100035,10,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,CITY COUNCIL,2,2.0,Full,1,Robinson,Erika Snow,Operations Director/Artist,N,2,3,601,0,2943,2943,0.20421338769962624,2,2,0,0,202100010,202100035,0,601,2943,0,2943,2,2
202100036,10,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,CITY COUNCIL,2,2.0,Full,1,Moses,Paul David,Property Manager,N,2,3,275,0,2943,2943,0.09344206591913014,2,3,0,0,202100010,202100036,0,275,2943,0,2943,3,2
202100037,11,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,CITY COUNCIL,2,4.0,Full,1,"Obagi, Jr.",Zein,Business Owner/Attorney,N,2,2,1314,0,2595,2595,0.5063583815028901,1,1,0,0,202100011,202100037,0,1314,2595,0,2595,1,1
202100038,11,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,CITY COUNCIL,2,4.0,Full,1,Gran,John F.,City Councilmember/Businessman,Y,1,2,1281,0,2595,2595,0.4936416184971098,2,2,0,0,202100011,202100038,0,1281,2595,0,2595,2,2
202100039,12,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,MAYOR,6,,Full,1,Brand,Bill,Redondo Beach Mayor,Y,1,4,9305,0,13707,13707,0.6788502225140439,1,1,0,0,202100012,202100039,0,9305,13707,0,13707,1,1
202100040,12,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,MAYOR,6,,Full,1,Voisey,Chris,Chief Technology Officer,N,2,4,2808,0,13707,13707,0.20485883125410373,2,2,0,0,202100012,202100040,0,2808,13707,0,13707,2,2
202100041,12,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,MAYOR,6,,Full,1,Sachs,Michael Ian,Retired Environmental Technician,N,2,4,1105,0,13707,13707,0.08061574378055009,2,3,0,0,202100012,202100041,0,1105,13707,0,13707,3,2
202100042,12,19,2,LOS ANGELES,2021,2021-03-02,Redondo Beach,0,MAYOR,6,,Full,1,Hartman,Shayne T.,Northrop Grumman Analyst,N,2,4,489,0,13707,13707,0.03567520245130226,2,4,0,0,202100012,202100042,0,489,13707,0,13707,4,2
202100043,13,19,2,LOS ANGELES,2021,2021-04-13,Vernon,0,CITY COUNCIL,2,,Full,1,Lopez,Leticia,Incumbent,Y,1,2,61,0,104,104,0.5865384615384616,1,1,0,0,202100013,202100043,0,61,104,0,104,1,1
202100044,13,19,2,LOS ANGELES,2021,2021-04-13,Vernon,0,CITY COUNCIL,2,,Full,1,"Tovar, Jr.",Rafael Alvarez,Student,N,2,2,43,0,104,104,0.41346153846153844,2,2,0,0,202100013,202100044,0,43,104,0,104,2,2
202100045,14,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY ATTORNEY,6,,Full,1,Brown,Damon,Appointed Incumbent,Y,1,1,5746,0,5746,5746,1.0,1,1,0,0,202100014,202100045,0,5746,5746,0,5746,1,1
202100046,15,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY CLERK,6,,Full,1,Godwin,Alita L.,Compton City Clerk,Y,1,2,3731,0,7102,7102,0.5253449732469727,1,1,0,0,202100015,202100046,0,3731,7102,0,7102,1,1
202100047,15,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY CLERK,6,,Full,1,Boone,Lynne,Community Educator,N,2,2,3371,0,7102,7102,0.47465502675302734,2,2,0,0,202100015,202100047,0,3371,7102,0,7102,2,2
202100048,16,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY COUNCIL,2,2.0,Full,1,Spicer,"Andre ""Hubcitydre""",Business Owner/Entrepreneur,N,2,5,531,0,1459,1459,0.36394790952707334,3,1,1,1,202100016,202100048,0,531,1459,0,1459,1,3
202100049,16,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY COUNCIL,2,2.0,Full,1,Galvan,Isaac,Councilman/Business Owner,Y,1,5,375,0,1459,1459,0.2570253598355038,3,2,1,1,202100016,202100049,0,375,1459,0,1459,2,3
202100050,16,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY COUNCIL,2,2.0,Full,1,Fisher,Skyy,Small Business Owner,N,2,5,205,0,1459,1459,0.1405071967100754,2,3,0,0,202100016,202100050,0,205,1459,0,1459,3,2
202100051,16,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY COUNCIL,2,2.0,Full,1,Hamade,Alin,Businessman,N,2,5,175,0,1459,1459,0.11994516792323509,2,4,0,0,202100016,202100051,0,175,1459,0,1459,4,2
202100052,16,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY COUNCIL,2,2.0,Full,1,Dawson,Jace,Mental Health Professional,N,2,5,173,0,1459,1459,0.1185743660041124,2,5,0,0,202100016,202100052,0,173,1459,0,1459,5,2
202100053,17,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY COUNCIL,2,3.0,Full,1,McCoy,Tana L.,Compton City Councilmember,Y,1,6,726,0,2253,2253,0.322237017310253,3,1,1,1,202100017,202100053,0,726,2253,0,2253,1,3
202100054,17,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY COUNCIL,2,3.0,Full,1,Bowers,Jonathan,Fire Captain Educator,N,2,6,575,0,2253,2253,0.25521526853084775,3,2,1,1,202100017,202100054,0,575,2253,0,2253,2,3
202100055,17,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY COUNCIL,2,3.0,Full,1,Carlos,Tomas,Architectural Engineering Associate,N,2,6,409,0,2253,2253,0.18153573013759433,2,3,0,0,202100017,202100055,0,409,2253,0,2253,3,2
202100056,17,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY COUNCIL,2,3.0,Full,1,Flores,Jennifer,Operations Supervisor/Mother,N,2,6,349,0,2253,2253,0.1549045716822015,2,4,0,0,202100017,202100056,0,349,2253,0,2253,4,2
202100057,17,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY COUNCIL,2,3.0,Full,1,Robinson-Blue,Harrieth,No Ballot Designation,N,2,6,141,0,2253,2253,0.06258322237017311,2,5,0,0,202100017,202100057,0,141,2253,0,2253,5,2
202100058,17,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY COUNCIL,2,3.0,Full,1,Smith,Renard,Business Owner,N,2,6,53,0,2253,2253,0.02352418996893032,2,6,0,0,202100017,202100058,0,53,2253,0,2253,6,2
202100059,18,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY TREASURER,6,,Full,1,Mims,Brandon,Public Finance Manager,N,2,3,3102,0,7439,7439,0.41699153111977416,3,1,1,1,202100018,202100059,0,3102,7439,0,7439,1,3
202100060,18,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY TREASURER,6,,Full,1,Zurita,Satra,School Boardmember/Businesswoman,N,2,3,2721,0,7439,7439,0.3657749697539992,3,2,1,1,202100018,202100060,0,2721,7439,0,7439,2,3
202100061,18,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,CITY TREASURER,6,,Full,1,Sanders,Douglas,Compton City Treasurer,Y,1,3,1616,0,7439,7439,0.21723349912622664,2,3,0,0,202100018,202100061,0,1616,7439,0,7439,3,2
202100062,19,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,MAYOR,6,,Full,1,Reynaga,Cristian,City Commissioner/Businessman,N,2,10,2300,0,7420,7420,0.30997304582210244,3,1,1,1,202100019,202100062,0,2300,7420,0,7420,1,3
202100063,19,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,MAYOR,6,,Full,1,Sharif,Emma,Councilwoman,N,2,10,1432,0,7420,7420,0.19299191374663072,3,2,1,1,202100019,202100063,0,1432,7420,0,7420,2,3
202100064,19,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,MAYOR,6,,Full,1,Hays,James,"Member, Democratic Central Committee",N,2,10,1352,0,7420,7420,0.18221024258760107,2,3,0,0,202100019,202100064,0,1352,7420,0,7420,3,2
202100065,19,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,MAYOR,6,,Full,1,Willis,Lamar,Senior Housing Developer,N,2,10,978,0,7420,7420,0.13180592991913748,2,4,0,0,202100019,202100065,0,978,7420,0,7420,4,2
202100066,19,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,MAYOR,6,,Full,1,Jimenez,Amy,Financial Coach,N,2,10,331,0,7420,7420,0.04460916442048517,2,5,0,0,202100019,202100066,0,331,7420,0,7420,5,2
202100067,19,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,MAYOR,6,,Full,1,Willie,Mike,Professional Football Player,N,2,10,311,0,7420,7420,0.04191374663072776,2,6,0,0,202100019,202100067,0,311,7420,0,7420,6,2
202100068,19,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,MAYOR,6,,Full,1,Perry,Anthony,Businessman/Educator,N,2,10,240,0,7420,7420,0.03234501347708895,2,7,0,0,202100019,202100068,0,240,7420,0,7420,7,2
202100069,19,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,MAYOR,6,,Full,1,Ortega,Janet Lopez,Entreprenuer/Realtor,N,2,10,232,0,7420,7420,0.03126684636118598,2,8,0,0,202100019,202100069,0,232,7420,0,7420,8,2
202100070,19,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,MAYOR,6,,Full,1,Lister,Rodney,Public Policy Analyst,N,2,10,201,0,7420,7420,0.02708894878706199,2,9,0,0,202100019,202100070,0,201,7420,0,7420,9,2
202100071,19,19,2,LOS ANGELES,2021,2021-04-20,Compton,0,MAYOR,6,,Full,1,Acevedo,"Elias ""Elijah""",Small Business Owner,N,2,10,43,0,7420,7420,0.00579514824797844,2,10,0,0,202100019,202100071,0,43,7420,0,7420,10,2
202100072,20,19,2,LOS ANGELES,2021,2021-05-11,Hermosa Beach,0,CITY COUNCIL,2,,Short,1,Jackson,Raymond A.,"Retired Colonel, Army",N,2,5,1576,0,4461,4461,0.3532840170365389,1,1,1,0,202100020,202100072,0,1576,4461,0,4461,1,1
202100073,20,19,2,LOS ANGELES,2021,2021-05-11,Hermosa Beach,0,CITY COUNCIL,2,,Short,1,Balik,Randy,Contractor/Business Owner,N,2,5,1118,0,4461,4461,0.2506164537099305,2,2,1,0,202100020,202100073,0,1118,4461,0,4461,2,2
202100074,20,19,2,LOS ANGELES,2021,2021-05-11,Hermosa Beach,0,CITY COUNCIL,2,,Short,1,Francois,Dean,Retired Budget Director,N,2,5,838,0,4461,4461,0.18785025778973324,2,3,0,0,202100020,202100074,0,838,4461,0,4461,3,2
202100075,20,19,2,LOS ANGELES,2021,2021-05-11,Hermosa Beach,0,CITY COUNCIL,2,,Short,1,Rittenhouse,Daniel,Renewable Energy Executive,N,2,5,671,0,4461,4461,0.15041470522304415,2,4,0,0,202100020,202100075,0,671,4461,0,4461,4,2
202100076,20,19,2,LOS ANGELES,2021,2021-05-11,Hermosa Beach,0,CITY COUNCIL,2,,Short,1,Stabile,Tara McNamara,Mom/Film Journalist,N,2,5,258,0,4461,4461,0.05783456624075319,2,5,0,0,202100020,202100076,0,258,4461,0,4461,5,2
202100077,21,19,2,LOS ANGELES,2021,2021-06-01,Compton,0,CITY COUNCIL,2,2.0,Full,1,Galvan,Isaac,Councilman/Business Owner,N,2,2,855,0,1709,1709,0.5002925687536571,1,1,0,0,202100021,202100077,0,855,1709,0,1709,1,1
202100078,21,19,2,LOS ANGELES,2021,2021-06-01,Compton,0,CITY COUNCIL,2,2.0,Full,1,Spicer,"Andre ""Hubcitydre""",Business Owner/Entrepreneur,N,2,2,854,0,1709,1709,0.49970743124634287,2,2,0,0,202100021,202100078,0,854,1709,0,1709,2,2
202100079,22,19,2,LOS ANGELES,2021,2021-06-01,Compton,0,CITY COUNCIL,2,3.0,Full,1,Bowers,Jonathan,Fire Captain Educator,N,2,2,1569,0,2558,2558,0.6133698201720094,1,1,0,0,202100022,202100079,0,1569,2558,0,2558,1,1
202100080,22,19,2,LOS ANGELES,2021,2021-06-01,Compton,0,CITY COUNCIL,2,3.0,Full,1,McCoy,Tana L.,Compton City Councilmember,N,2,2,989,0,2558,2558,0.38663017982799064,2,2,0,0,202100022,202100080,0,989,2558,0,2558,2,2
202100083,23,19,2,LOS ANGELES,2021,2021-06-01,Compton,0,CITY TREASURER,6,,Full,1,Mims,Brandon,Public Finance Manager,N,2,2,4929,0,8449,8449,0.5833826488341816,1,1,0,0,202100023,202100083,0,4929,8449,0,8449,1,1
202100084,23,19,2,LOS ANGELES,2021,2021-06-01,Compton,0,CITY TREASURER,6,,Full,1,Zurita,Satra,School Boardmember/Businesswoman,N,2,2,3520,0,8449,8449,0.41661735116581844,2,2,0,0,202100023,202100084,0,3520,8449,0,8449,2,2
202100085,24,19,2,LOS ANGELES,2021,2021-06-01,Compton,0,MAYOR,6,,Full,1,Sharif,Emma,Councilwoman,N,2,2,4339,0,8460,8460,0.5128841607565012,1,1,0,0,202100024,202100085,0,4339,8460,0,8460,1,1
202100086,24,19,2,LOS ANGELES,2021,2021-06-01,Compton,0,MAYOR,6,,Full,1,Reynaga,Cristian,City Commissioner/Businessman,N,2,2,4121,0,8460,8460,0.4871158392434988,2,2,0,0,202100024,202100086,0,4121,8460,0,8460,2,2
202100081,25,19,2,LOS ANGELES,2021,2021-06-01,Vernon,0,CITY COUNCIL-R,2,1.0,Short,1,Merlo,Judith,No Ballot Designation,N,2,1,53,0,53,53,1.0,1,1,0,0,202100025,202100081,0,53,53,0,53,1,1
202100082,26,19,2,LOS ANGELES,2021,2021-06-01,Vernon,0,CITY COUNCIL-R,2,2.0,Short,1,Larios,Crystal,No Ballot Designation,N,2,1,55,0,55,55,1.0,1,1,0,0,202100026,202100082,0,55,55,0,55,1,1
202100087,27,19,2,LOS ANGELES,2021,2021-09-14,Vernon,0,CITY COUNCIL-R,2,1.0,Short,1,Gonzales,Diana,No Ballot Designation,N,2,1,18,0,18,18,1.0,1,1,0,0,202100027,202100087,0,18,18,0,18,1,1
202100088,28,19,2,LOS ANGELES,2021,2021-09-14,Vernon,0,CITY COUNCIL-R,2,2.0,Short,1,Menke,Carol,No Ballot Designation,N,2,1,20,0,20,20,1.0,1,1,0,0,202100028,202100088,0,20,20,0,20,1,1
202100089,29,19,2,LOS ANGELES,2021,2021-11-02,Carson,0,CITY CLERK,6,,Short,1,Rahman,Myla,District Director,N,2,5,2686,0,9385,9385,0.2862013851891316,1,1,1,0,202100029,202100089,0,2686,9385,0,9385,1,1
202100090,29,19,2,LOS ANGELES,2021,2021-11-02,Carson,0,CITY CLERK,6,,Short,1,Gavino,"Monette ""Maria""",Public School Teacher,N,2,5,2355,0,9385,9385,0.2509323388385722,2,2,1,0,202100029,202100090,0,2355,9385,0,9385,2,2
202100091,29,19,2,LOS ANGELES,2021,2021-11-02,Carson,0,CITY CLERK,6,,Short,1,Dewitt,Vera Robles,Clerk Legal Assistant,N,2,5,1965,0,9385,9385,0.20937666489078316,2,3,0,0,202100029,202100091,0,1965,9385,0,9385,3,2
202100092,29,19,2,LOS ANGELES,2021,2021-11-02,Carson,0,CITY CLERK,6,,Short,1,Meni,"Falea'ana Arieta ""Ana""",Buyer/Union Representative,N,2,5,1348,0,9385,9385,0.1436334576451785,2,4,0,0,202100029,202100092,0,1348,9385,0,9385,4,2
202100093,29,19,2,LOS ANGELES,2021,2021-11-02,Carson,0,CITY CLERK,6,,Short,1,Caballero,Jeffry H.,Attorney/Educator,N,2,5,1031,0,9385,9385,0.10985615343633458,2,5,0,0,202100029,202100093,0,1031,9385,0,9385,5,2
202100094,30,19,2,LOS ANGELES,2021,2021-11-02,Carson,0,CITY COUNCIL,2,4.0,Short,1,Rojas,Arleen,Law Enforcement Officer,N,2,5,886,0,2549,2549,0.3475872891329933,1,1,1,0,202100030,202100094,0,886,2549,0,2549,1,1
202100095,30,19,2,LOS ANGELES,2021,2021-11-02,Carson,0,CITY COUNCIL,2,4.0,Short,1,Gomez,Freddie,Director Supervising Counselors,N,2,5,627,0,2549,2549,0.24597881522165554,2,2,1,0,202100030,202100095,0,627,2549,0,2549,2,2
202100096,30,19,2,LOS ANGELES,2021,2021-11-02,Carson,0,CITY COUNCIL,2,4.0,Short,1,Henderson,Sharma,Nonprofit Executive/Consultant,N,2,5,377,0,2549,2549,0.14790113770105923,2,3,0,0,202100030,202100096,0,377,2549,0,2549,3,2
202100097,30,19,2,LOS ANGELES,2021,2021-11-02,Carson,0,CITY COUNCIL,2,4.0,Short,1,Mitoma,"Michael ""Mike""",Business Owner/Commissioner,N,2,5,338,0,2549,2549,0.1326010200078462,2,4,0,0,202100030,202100097,0,338,2549,0,2549,4,2
202100098,30,19,2,LOS ANGELES,2021,2021-11-02,Carson,0,CITY COUNCIL,2,4.0,Short,1,Pulido,"Isaias ""Isa"" Jesus",City of Carson Council Aide,N,2,5,321,0,2549,2549,0.12593173793644566,2,5,0,0,202100030,202100098,0,321,2549,0,2549,5,2
202100099,31,20,2,MADERA,2021,2021-11-02,Madera,0,CITY COUNCIL,2,5.0,Short,1,Mejia,Elsa,Communications Specialist,N,2,2,383,0,624,624,0.6137820512820513,1,1,0,0,202100031,202100099,0,383,624,0,624,1,1
202100100,31,20,2,MADERA,2021,2021-11-02,Madera,0,CITY COUNCIL,2,5.0,Short,1,Villafan,Matilda,Mother,N,2,2,241,0,624,624,0.38621794871794873,2,2,0,0,202100031,202100100,0,241,624,0,624,2,2
202100101,32,21,2,MARIN,2021,2021-11-02,Tiburon,0,CITY COUNCIL,2,,Full,1,Griffin,Noah,Public Affairs Consultant,N,2,4,1249,0,2611,2611,0.478360781309843,1,1,1,0,202100032,202100101,0,1249,2611,0,2611,1,1
