RecordID,RaceID,CO,JUR,CNTYNAME,YEAR,DATE,CSD,PLACE,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INCUMB,NUM_INC,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,ELECTED,RVOTES,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Totalwritein_votes,Newtotvotes,Rindivto,Newelected
201200046,201200020,5,1,CALAVERAS,2012,2012-06-05,0,Calaveras,County Supervisor,1,County Supervisor,2,Full,1,Dell'Orto,Michael,Small Business Owner,N,2,4,650,2.0,2930,2932.0,0.22169167803547066,2,3.0,1,1,201200020,201200046,0,650,2930,2,2932,3.0,2
201200047,201200020,5,1,CALAVERAS,2012,2012-06-05,0,Calaveras,County Supervisor,1,County Supervisor,2,Full,1,Swartz,Tom,No Ballot Designation,N,2,4,80,2.0,2930,2932.0,0.027285129604365622,2,4.0,1,1,201200020,201200047,0,80,2930,2,2932,4.0,2
201200048,201200021,5,1,CALAVERAS,2012,2012-06-05,0,Calaveras,County Supervisor,1,County Supervisor,4,Full,1,Thomas,Russell L.,Self-Employed Consultant,N,2,3,684,3.0,2964,2967.0,0.23053589484327602,2,3.0,1,1,201200021,201200048,0,684,2964,3,2967,3.0,2
201200049,201200022,5,1,CALAVERAS,2012,2012-06-05,0,Calaveras,District Attorney,5,Other County Office,,Full,1,Yook,Barbara M.,Appointed Incumbent,N,2,2,8361,27.0,12827,12854.0,0.6504590010891551,1,1.0,0,0,201200022,201200049,0,8361,12827,27,12854,1.0,1
201200050,201200022,5,1,CALAVERAS,2012,2012-06-05,0,Calaveras,District Attorney,5,Other County Office,,Full,1,Singer,David K.,Attorney at Law,N,2,2,4466,27.0,12827,12854.0,0.3474404854519994,2,2.0,0,0,201200022,201200050,0,4466,12827,27,12854,2.0,2
201200051,201200023,5,1,CALAVERAS,2012,2012-11-06,0,Calaveras,County Supervisor,1,County Supervisor,1,Full,1,Edson,Cliff,Local Business Owner,N,2,2,2089,11.0,3704,3715.0,0.5623149394347241,1,1.0,0,0,201200023,201200051,0,2089,3704,11,3715,1.0,1
201200052,201200024,5,1,CALAVERAS,2012,2012-11-06,0,Calaveras,County Supervisor,1,County Supervisor,2,Full,1,Wright,Chris,Non-Profit Manager,N,2,2,2042,3.0,3949,3952.0,0.5167004048582996,1,1.0,0,0,201200024,201200052,0,2042,3949,3,3952,1.0,1
201200053,201200025,5,1,CALAVERAS,2012,2012-11-06,0,Calaveras,County Supervisor,1,County Supervisor,4,Full,1,Ponte,Debbie,Business Person,N,2,2,2605,17.0,4318,4335.0,0.6009227220299884,1,1.0,0,0,201200025,201200053,0,2605,4318,17,4335,1.0,1
201200055,201200024,5,1,CALAVERAS,2012,2012-11-06,0,Calaveras,County Supervisor,1,County Supervisor,2,Full,1,Randall,Bryce,Small Business Owner,N,2,2,1907,3.0,3949,3952.0,0.4825404858299595,2,2.0,0,0,201200024,201200055,0,1907,3949,3,3952,2.0,2
201200060,201200026,6,1,COLUSA,2012,2012-06-05,0,Colusa,County Supervisor,1,County Supervisor,2,Full,1,Reische,Thomas,Business Owner,N,2,3,239,0.0,787,787.0,0.3036848792884371,2,2.0,0,0,201200026,201200060,0,239,787,0,787,2.0,2
201200061,201200026,6,1,COLUSA,2012,2012-06-05,0,Colusa,County Supervisor,1,County Supervisor,2,Full,1,Boewer,Curtis R.,Counselor/Retired Administrator,N,2,3,92,0.0,787,787.0,0.11689961880559085,2,3.0,0,0,201200026,201200061,0,92,787,0,787,3.0,2
201200062,201200027,6,1,COLUSA,2012,2012-06-05,0,Colusa,County Supervisor,1,County Supervisor,3,Full,1,Plachek-Fulcher,Angela,Small Business Owner,N,2,2,200,2.0,486,488.0,0.4098360655737705,2,2.0,0,0,201200027,201200062,0,200,486,2,488,2.0,2
201200063,201200028,6,1,COLUSA,2012,2012-06-05,0,Colusa,County Supervisor,1,County Supervisor,4,Full,1,Cohen,Kenneth R.,Firefighter,N,2,2,289,1.0,620,621.0,0.46537842190016104,2,2.0,0,0,201200028,201200063,0,289,620,1,621,2.0,2
201200064,201200029,7,1,CONTRA COSTA,2012,2012-06-05,0,Contra Costa,County Supervisor,1,County Supervisor,2,Full,1,Andersen,Candace,Mayor of Danville,N,2,3,29203,99.0,48886,48985.0,0.5961620904358477,1,1.0,0,0,201200029,201200064,0,29203,48886,99,48985,1.0,1
201200067,201200029,7,1,CONTRA COSTA,2012,2012-06-05,0,Contra Costa,County Supervisor,1,County Supervisor,2,Full,1,Van de Brooke,Tomi D.,Businesswoman/College Trustee,N,2,3,13888,99.0,48886,48985.0,0.2835153618454629,2,2.0,0,0,201200029,201200067,0,13888,48886,99,48985,2.0,2
201200068,201200029,7,1,CONTRA COSTA,2012,2012-06-05,0,Contra Costa,County Supervisor,1,County Supervisor,2,Full,1,White,Sean,Solar Energy Professor,N,2,3,5795,99.0,48886,48985.0,0.11830152087373685,2,3.0,0,0,201200029,201200068,0,5795,48886,99,48985,3.0,2
201200069,201200032,7,1,CONTRA COSTA,2012,2012-11-06,1,Contra Costa,"Director, Discovery Bay CSD",4,CSD/CSA Director,,Full,2,Pease,Bill,Retired Business Owner,N,2,3,2898,29.0,7343,7372.0,0.3931090613130765,1,1.0,0,0,201200032,201200069,0,2898,7343,29,7372,1.0,1
201200071,201200033,7,1,CONTRA COSTA,2012,2012-11-06,1,Contra Costa,"Director, Discovery Bay CSD",4,CSD/CSA Director,,Short,1,Tetreault,Ray,Retired,N,2,2,2703,14.0,4427,4441.0,0.6086467011934249,1,1.0,0,0,201200033,201200071,0,2703,4427,14,4441,1.0,1
201200072,201200032,7,1,CONTRA COSTA,2012,2012-11-06,1,Contra Costa,"Director, Discovery Bay CSD",4,CSD/CSA Director,,Full,2,Mattison,Jim,Commercial Real Estate,N,2,3,1642,29.0,7343,7372.0,0.22273467173087358,2,3.0,0,0,201200032,201200072,0,1642,7343,29,7372,3.0,2
201200073,201200033,7,1,CONTRA COSTA,2012,2012-11-06,1,Contra Costa,"Director, Discovery Bay CSD",4,CSD/CSA Director,,Short,1,Temby,Michael,Realtor,N,2,2,1724,14.0,4427,4441.0,0.38820085566313894,2,2.0,0,0,201200033,201200073,0,1724,4427,14,4441,2.0,2
201200074,201200034,7,1,CONTRA COSTA,2012,2012-11-06,1,Contra Costa,"Director, Dublin San Ramon CSD",4,CSD/CSA Director,,Full,3,Duarte,Edward R.,General Engineering Contractor,N,2,4,6093,51.0,22942,22993.0,0.26499369373287524,1,1.0,0,0,201200034,201200074,0,6093,22942,51,22993,1.0,1
201200077,201200034,7,1,CONTRA COSTA,2012,2012-11-06,1,Contra Costa,"Director, Dublin San Ramon CSD",4,CSD/CSA Director,,Full,3,Hayes,Scott,Businessman,N,2,4,4812,51.0,22942,22993.0,0.20928108554777541,2,4.0,0,0,201200034,201200077,0,4812,22942,51,22993,4.0,2
201200079,201200035,7,1,CONTRA COSTA,2012,2012-11-06,1,Contra Costa,"Director, Kensington CSD",4,CSD/CSA Director,,Full,2,Gillette,Patricia K.,Labor/Employment Lawyer,N,2,5,1875,9.0,5744,5753.0,0.32591691291500086,1,2.0,0,0,201200035,201200079,0,1875,5744,9,5753,2.0,1
201200081,201200035,7,1,CONTRA COSTA,2012,2012-11-06,1,Contra Costa,"Director, Kensington CSD",4,CSD/CSA Director,,Full,2,Hausken,Jim,Retired Teacher,N,2,5,735,9.0,5744,5753.0,0.12775942986268035,2,4.0,0,0,201200035,201200081,0,735,5744,9,5753,4.0,2
201200082,201200035,7,1,CONTRA COSTA,2012,2012-11-06,1,Contra Costa,"Director, Kensington CSD",4,CSD/CSA Director,,Full,2,Zvik,Kim,IT Consultant,N,2,5,512,9.0,5744,5753.0,0.08899704501998958,2,5.0,0,0,201200035,201200082,0,512,5744,9,5753,5.0,2
201200083,201200036,8,1,DEL NORTE,2012,2012-06-05,0,Del Norte,County Supervisor,1,County Supervisor,1,Full,1,Gitlin,Roger,Educator,N,2,3,313,0.0,714,714.0,0.438375350140056,1,1.0,1,1,201200036,201200083,0,313,714,0,714,1.0,3
201200085,201200038,8,1,DEL NORTE,2012,2012-06-05,0,Del Norte,County Supervisor,1,County Supervisor,5,Full,1,Finigan,David,Supervisor District 5,N,2,2,855,0.0,1292,1292.0,0.6617647058823529,1,1.0,0,0,201200038,201200085,0,855,1292,0,1292,1.0,1
201200087,201200036,8,1,DEL NORTE,2012,2012-06-05,0,Del Norte,County Supervisor,1,County Supervisor,1,Full,1,Westfall,Donna A.,Councilwoman Political Activist,N,2,3,104,0.0,714,714.0,0.14565826330532214,2,3.0,1,1,201200036,201200087,0,104,714,0,714,3.0,2
201200088,201200037,8,1,DEL NORTE,2012,2012-06-05,0,Del Norte,County Supervisor,1,County Supervisor,2,Full,1,Gray,Bill,Attorney at Law,N,2,2,455,0.0,945,945.0,0.48148148148148145,2,2.0,0,0,201200037,201200088,0,455,945,0,945,2.0,2
201200089,201200038,8,1,DEL NORTE,2012,2012-06-05,0,Del Norte,County Supervisor,1,County Supervisor,5,Full,1,Childs,Larry,Businessman,N,2,2,437,0.0,1292,1292.0,0.3382352941176471,2,2.0,0,0,201200038,201200089,0,437,1292,0,1292,2.0,2
201200090,201200039,8,1,DEL NORTE,2012,2012-11-06,0,Del Norte,County Supervisor,1,County Supervisor,1,Full,1,Gitlin,Roger,Educator,N,2,2,650,0.0,1237,1237.0,0.5254648342764754,1,1.0,0,0,201200039,201200090,0,650,1237,0,1237,1.0,1
201200094,201200040,8,1,DEL NORTE,2012,2012-11-06,1,Del Norte,"Director, Smith River CSD",4,CSD/CSA Director,,Full,2,Flowers,Jim,Registered Nurse/Businessman,N,2,4,248,0.0,981,981.0,0.2528032619775739,2,3.0,0,0,201200040,201200094,0,248,981,0,981,3.0,2
201200095,201200040,8,1,DEL NORTE,2012,2012-11-06,1,Del Norte,"Director, Smith River CSD",4,CSD/CSA Director,,Full,2,Edwards,Lisa A.,No Ballot Designation,N,2,4,156,0.0,981,981.0,0.15902140672782875,2,4.0,0,0,201200040,201200095,0,156,981,0,981,4.0,2
201200096,201200041,9,1,EL DORADO,2012,2012-06-05,0,El Dorado,County Supervisor,1,County Supervisor,3,Full,1,Veerkamp,Brian K.,Retired Administrator/Instructor,N,2,6,3262,0.0,9956,9956.0,0.32764162314182405,1,1.0,1,1,201200041,201200096,0,3262,9956,0,9956,1.0,3
201200097,201200042,9,1,EL DORADO,2012,2012-06-05,0,El Dorado,County Supervisor,1,County Supervisor,1,Full,1,Mikulaco,Ron 'Mik',Small Business Owner,N,2,2,4981,0.0,9218,9218.0,0.5403558255586896,1,1.0,0,0,201200042,201200097,0,4981,9218,0,9218,1.0,1
201200099,201200041,9,1,EL DORADO,2012,2012-06-05,0,El Dorado,County Supervisor,1,County Supervisor,3,Full,1,Barb,Richard,Small Business Owner,N,2,6,2347,0.0,9956,9956.0,0.23573724387304137,2,2.0,1,1,201200041,201200099,0,2347,9956,0,9956,2.0,2
201200100,201200041,9,1,EL DORADO,2012,2012-06-05,0,El Dorado,County Supervisor,1,County Supervisor,3,Full,1,Hamilton,A.L.,Senior Citizens Attorney,N,2,6,2085,0.0,9956,9956.0,0.20942145439935717,2,3.0,1,1,201200041,201200100,0,2085,9956,0,9956,3.0,2
201200101,201200041,9,1,EL DORADO,2012,2012-06-05,0,El Dorado,County Supervisor,1,County Supervisor,3,Full,1,Taylor,Sue,Building Designer,N,2,6,1169,0.0,9956,9956.0,0.11741663318601848,2,4.0,1,1,201200041,201200101,0,1169,9956,0,9956,4.0,2
201200102,201200041,9,1,EL DORADO,2012,2012-06-05,0,El Dorado,County Supervisor,1,County Supervisor,3,Full,1,Nerwinksi,Cathy,Retired Investigator,N,2,6,884,0.0,9956,9956.0,0.0887906789875452,2,5.0,1,1,201200041,201200102,0,884,9956,0,9956,5.0,2
201200103,201200041,9,1,EL DORADO,2012,2012-06-05,0,El Dorado,County Supervisor,1,County Supervisor,3,Full,1,Amaro,Allen,Retired Businessman,N,2,6,209,0.0,9956,9956.0,0.02099236641221374,2,6.0,1,1,201200041,201200103,0,209,9956,0,9956,6.0,2
201200105,201200043,9,1,EL DORADO,2012,2012-06-05,0,El Dorado,County Supervisor,1,County Supervisor,2,Full,1,Turnboo,George,Local Business Owner,N,2,2,3181,0.0,10097,10097.0,0.31504407249678124,2,2.0,0,0,201200043,201200105,0,3181,10097,0,10097,2.0,2
201200106,201200044,9,1,EL DORADO,2012,2012-06-05,0,El Dorado,Superior Judge,5,Other County Office,7,Full,1,Stracener,Warren,Superior Court Judge,N,2,3,17728,0.0,41795,41795.0,0.4241655700442637,1,1.0,1,1,201200044,201200106,0,17728,41795,0,41795,1.0,3
201200107,201200044,9,1,EL DORADO,2012,2012-06-05,0,El Dorado,Superior Judge,5,Other County Office,7,Full,1,Hoffman,Joseph,Attorney at Law/Judge Pro Tem,N,2,3,15347,0.0,41795,41795.0,0.36719703313793517,2,2.0,1,1,201200044,201200107,0,15347,41795,0,41795,2.0,2
201200108,201200044,9,1,EL DORADO,2012,2012-06-05,0,El Dorado,Superior Judge,5,Other County Office,7,Full,1,Valentine,Steve,Retired Court Commissioner,N,2,3,8720,0.0,41795,41795.0,0.20863739681780116,2,3.0,1,1,201200044,201200108,0,8720,41795,0,41795,3.0,2
201200109,201200045,9,1,EL DORADO,2012,2012-11-06,0,El Dorado,County Supervisor,1,County Supervisor,3,Full,1,Veerkamp,Brian K.,Retired Fire Chief,N,2,2,8846,0.0,16003,16003.0,0.552771355370868,1,1.0,0,0,201200045,201200109,0,8846,16003,0,16003,1.0,1
201200110,201200045,9,1,EL DORADO,2012,2012-11-06,0,El Dorado,County Supervisor,1,County Supervisor,3,Full,1,Barb,Richard,Small Business Owner,N,2,2,7157,0.0,16003,16003.0,0.44722864462913203,2,2.0,0,0,201200045,201200110,0,7157,16003,0,16003,2.0,2
201200111,201200046,9,1,EL DORADO,2012,2012-11-06,1,El Dorado,"Director, Cameron Park CSD",4,CSD/CSA Director,,Full,2,Neibauer,Vicky,Budget Analyst,N,2,3,4804,0.0,11100,11100.0,0.4327927927927928,1,1.0,0,0,201200046,201200111,0,4804,11100,0,11100,1.0,1
201200112,201200046,9,1,EL DORADO,2012,2012-11-06,1,El Dorado,"Director, Cameron Park CSD",4,CSD/CSA Director,,Full,2,Tucker,Sean,Manager/Appointed Director,N,2,3,3440,0.0,11100,11100.0,0.3099099099099099,1,2.0,0,0,201200046,201200112,0,3440,11100,0,11100,2.0,1
201200113,201200046,9,1,EL DORADO,2012,2012-11-06,1,El Dorado,"Director, Cameron Park CSD",4,CSD/CSA Director,,Full,2,Theusen,Joe,Emergency Dispatch Supervisor,N,2,3,2856,0.0,11100,11100.0,0.2572972972972973,2,3.0,0,0,201200046,201200113,0,2856,11100,0,11100,3.0,2
201200115,201200047,9,1,EL DORADO,2012,2012-11-06,1,El Dorado,"Director, El Dorado Hills CSD",4,CSD/CSA Director,,Full,2,Crumpley,Terry,Small Business Owner,N,2,6,5389,0.0,25627,25627.0,0.21028602645647168,1,2.0,0,0,201200047,201200115,0,5389,25627,0,25627,2.0,1
201200116,201200047,9,1,EL DORADO,2012,2012-11-06,1,El Dorado,"Director, El Dorado Hills CSD",4,CSD/CSA Director,,Full,2,Hammond,Charles E.,Businessman/Youth Coach,N,2,6,4682,0.0,25627,25627.0,0.18269793577086665,2,3.0,0,0,201200047,201200116,0,4682,25627,0,25627,3.0,2
201200118,201200047,9,1,EL DORADO,2012,2012-11-06,1,El Dorado,"Director, El Dorado Hills CSD",4,CSD/CSA Director,,Full,2,Clark,Don,Systems Engineer,N,2,6,3587,0.0,25627,25627.0,0.13996956335115307,2,5.0,0,0,201200047,201200118,0,3587,25627,0,25627,5.0,2
201200119,201200047,9,1,EL DORADO,2012,2012-11-06,1,El Dorado,"Director, El Dorado Hills CSD",4,CSD/CSA Director,,Full,2,Tobin,Bill,Data Analyst,N,2,6,2811,0.0,25627,25627.0,0.10968899988293597,2,6.0,0,0,201200047,201200119,0,2811,25627,0,25627,6.0,2
201200120,201200048,9,1,EL DORADO,2012,2012-11-06,1,El Dorado,"Director, Greenstone Country CSD",4,CSD/CSA Director,,Full,3,Rozman,Rod R.,Retired Engineer,N,2,4,348,0.0,1133,1133.0,0.30714916151809357,1,1.0,0,0,201200048,201200120,0,348,1133,0,1133,1.0,1
201200121,201200048,9,1,EL DORADO,2012,2012-11-06,1,El Dorado,"Director, Greenstone Country CSD",4,CSD/CSA Director,,Full,3,Schmidt,Daniel,Retired Business Owner,N,2,4,344,0.0,1133,1133.0,0.3036187113857017,1,2.0,0,0,201200048,201200121,0,344,1133,0,1133,2.0,1
201200123,201200048,9,1,EL DORADO,2012,2012-11-06,1,El Dorado,"Director, Greenstone Country CSD",4,CSD/CSA Director,,Full,3,Huckeba,Aaron,Student/Office Manager,N,2,4,136,0.0,1133,1133.0,0.12003530450132392,2,4.0,0,0,201200048,201200123,0,136,1133,0,1133,4.0,2
201200124,201200049,9,1,EL DORADO,2012,2012-11-06,0,El Dorado,Superior Judge,5,Other County Office,7,Full,1,Stracener,Warren,Superior Court Judge,N,2,2,38826,0.0,73466,73466.0,0.5284893692320257,1,1.0,0,0,201200049,201200124,0,38826,73466,0,73466,1.0,1
201200125,201200049,9,1,EL DORADO,2012,2012-11-06,0,El Dorado,Superior Judge,5,Other County Office,7,Full,1,Hoffman,Joseph,Attorney at Law,N,2,2,34640,0.0,73466,73466.0,0.4715106307679743,2,2.0,0,0,201200049,201200125,0,34640,73466,0,73466,2.0,2
201200126,201200050,10,1,FRESNO,2012,2012-06-05,0,Fresno,County Supervisor,1,County Supervisor,2,Full,1,Borgeas,Andreas,Councilman/Law Professor,N,2,3,18176,102.0,34991,35093.0,0.5179380503234263,1,1.0,0,0,201200050,201200126,0,18176,34991,102,35093,1.0,1
201200129,201200050,10,1,FRESNO,2012,2012-06-05,0,Fresno,County Supervisor,1,County Supervisor,2,Full,1,Fortune,Larry,Business Owner,N,2,3,11106,102.0,34991,35093.0,0.316473370757701,2,2.0,0,0,201200050,201200129,0,11106,34991,102,35093,2.0,2
